decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicySearch this siteSkip to main contentSkip to navigationPrivacy PolicyPrivacy PolicyPrivacy PolicyLast Updated: March 2019Hi Dictionary -Translation App, Language Translator (""us"", ""we"", or ""our"") operates the Hi Dictionary -Translation App, Language Translator mobile application (the ""Service"").",309,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Your privacy is important to us. This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Service and the choices you have associated with that data. Our Privacy Policy for Hi Dictionary -Translation App, Language Translator is managed throughFree Privacy Policy.",324,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"We use your data to provide and improve the Service. By using the Service, you agree to the collection and use of information in accordance with this policy. Unless otherwise defined in this Privacy Policy, terms used in this Privacy Policy have the same meanings as in our Terms and Conditions.",295,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"We encourage you to read this Privacy Policy carefully. If you do not wish your personal data to be used by us as set out in this Privacy Policy, please do not provide us with your personal data. Please note that in such a case, we may not be able to provide you with our services, you may not have access to and/or be able to use some features of the Website, and your customer experience may be impacted.",406,<generic>,<error>
Information Collection And Use,Information Collection And Use,100.0,1348,main,Information Collection And UseWe collect several different types of information for various purposes to provide and improve our Service to you.,143,<generic>,<error>
Types of Data Collected,Types of Data Collected,100.0,1493,sub,Types of Data Collected,23,<first>,<what>
Personal Data,Personal Data,100.0,1517,main,"Personal DataWhile using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data""). Personally identifiable information may include, but is not limited to:",250,<first>,<what>
Usage Data,Usage Data,100.0,1769,main,"Usage DataUsage DataWhen you access the Service by or through a mobile device, we may collect certain information automatically, including, but not limited to, the type of mobile device you use, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browser you use, unique device identifiers and other diagnostic data (""Usage Data"").",375,<first>,<what>
Use of Data,Use of Data,100.0,2147,main,"Use of DataHi Dictionary -Translation App, Language Translator uses the collected data for various purposes:",108,<first>,<how-used>
To provide and maintain the Service,To provide and maintain the Service,100.0,2257,sub,To provide and maintain the Service,35,<first>,<why>
To notify you about changes to our Service,To notify you about changes to our Service,100.0,2293,sub,To notify you about changes to our Service,42,<first>,<why>
To allow you to participate in interactive features of our Service when you choose to do so,To allow you to participate in interactive features of our Service when you choose to do so,100.0,2336,sub,To allow you to participate in interactive features of our Service when you choose to do so,91,<first>,<why>
To provide customer care and support,To provide customer care and support,100.0,2428,sub,To provide customer care and support,36,<first>,<why>
To provide analysis or valuable information so that we can improve the Service,To provide analysis or valuable information so that we can improve the Service,100.0,2465,sub,To provide analysis or valuable information so that we can improve the Service,78,<first>,<why>
To monitor the usage of the Service,To monitor the usage of the Service,100.0,2544,sub,To monitor the usage of the Service,35,<first>,<why>
"To detect, prevent and address technical issues","To detect, prevent and address technical issues",100.0,2580,sub,"To detect, prevent and address technical issues",47,<first>,<why>
Disclosure Of Data,Disclosure Of Data,100.0,2628,main,Disclosure Of Data,18,<third>,<how-gathered>
Legal Requirements,Legal Requirements,100.0,2647,sub,"Legal RequirementsHi Dictionary -Translation App, Language Translator may disclose your Personal Data in the good faith belief that such action is necessary to:To comply with a legal obligationTo protect and defend the rights or property of Hi Dictionary -Translation App, Language TranslatorTo prevent or investigate possible wrongdoing in connection with the ServiceTo protect the personal safety of users of the Service or the publicTo protect against legal liability",470,<security>,<how-gathered>
