decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy of TeliportMePrivacy Policy ofTeliportMeThis privacy policy (""Policy"") describes how the personally        identifiable information (""Personal Information"") you may        provide in the ""P360/Panorama 360/TeliportMe"" mobile        application (""Mobile Application"" or ""Service"") and        any of its related products and services (collectively,        ""Services"") is collected, protected and used. It also        describes the choices available to you regarding our use of your",494,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"        Personal Information and how you can access and update this information.        This Policy is a legally binding agreement between you        (""User"", ""you"" or ""your"") and A Good World        LLC  (""A Good World LLC"", ""we"", ""us""        or ""our""). By accessing and using the Mobile Application and        Services, you acknowledge that you have read, understood, and agree to        be bound by the terms of this Policy. This Policy does not apply to the",461,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"        practices of companies that we do not own or control, or to individuals        that we do not employ or manage.We may change this Privacy Policy from time to time. If we make        changes, we will notify you by revising the date at the top of the        policy and, in some cases, we may provide you with additional notice        (such as adding a statement to our website homepage or sending you a        notification). We encourage you to review the Privacy Policy whenever",485,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"        you access the Services or otherwise interact with us to stay informed        about our information practices and the choices available to you.Users may be subject to different protection standards and broader        standards may therefore apply to some. In order to learn more about the        protection criteria, Users can refer to the applicability section.This document can be printed for reference by using the print command        in the settings of any browser.Owner and Data Controller",503,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"A Good World LLC124 Broadkill Road, #518Milton DE 19968United StatesOwner contact email:help@teliportme.com",107,<generic>,<error>
Data we collect,Data we collect,100.0,2088,main,"Data we collectYou can access and use the Mobile Application and Services without        telling us who you are or revealing any information by which someone        could identify you as a specific, identifiable individual.In this instance, your unique device ID is used only to backup        and restore your settings, panoramas, and subscription plans. If,        however, you wish to use some of the features in the Mobile Application,",438,<generic>,<what>
Data we collect,Data we collect,100.0,2088,main,"        you may be asked to provide certain Personal Information (for example,        your name and email address). We receive and store any information you        knowingly provide to us when you create an account, publish content,        make a purchase, or fill any online forms in the Mobile Application.        When required, this information may include the following:",374,<generic>,<what>
Contact details,Contact details,100.0,2912,sub,"Contact details: including your name, email address, and the content of        any correspondence between you and us.",117,<first>,<what>
Authentication Data,Authentication Data,100.0,3031,sub,"Authentication Data: including your username and password when you          log in via the Application, a third-party user ID if you log in via a          third-party login provider, and your device ID.",202,<first>,<what>
Profile data,Profile data,100.0,3236,sub,"Profile data: information you add to any profile you create through          our Services or Mobile applications, including any photos you upload          and information about yourself. If you log in via a third-party login          provider your profile photo will be used from the third-party          provider. Only applicable if you set up an account with us.",364,<first>,<what>
Profile Preference Data,Profile Preference Data,100.0,3605,sub,"Profile Preference Data: The Mobile Application may ask you for          preference information you voluntarily provide about yourself, such as          likes, comments, language, and content preferences.",204,<first>,<what>
