decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Application Privacy Policy,Application Privacy Policy,100.0,0,main,Application Privacy PolicyApplication Privacy PolicyMobile Application Privacy Policy,85,<generic>,<error>
Introduction,Introduction,100.0,88,main,Introduction,12,<error>,<error>
We respect your privacy and are committed to protecting it through our compliance with this policy.,We respect your privacy and are committed to protecting it through our compliance with this policy.,100.0,101,sub,We respect your privacy and are committed to protecting it through our compliance with this policy. ,100,<generic>,<error>
This policy describes:,This policy describes:,100.0,201,sub,This policy describes:,22,<generic>,<error>
"The types of information we may collect or that you may provide when you download, install, register with, access, or use the NoiseFit Track application (the “App”).","The types of information we may collect or that you may provide when you download, install, register with, access, or use the NoiseFit Track application (the “
App
”",98.7878787878788,224,sub,"The types of information we may collect or that you may provide when you download, install, register with, access, or use the NoiseFit Track application (the “App”).",165,<first>,<error>
"Our practices for collecting, using, maintaining, protecting, and disclosing that information.","Our practices for collecting, using, maintaining, protecting, and disclosing that information.",100.0,392,sub,"Our practices for collecting, using, maintaining, protecting, and disclosing that information.This policy applies only to information we collect in this App, and in email, text, and other electronic communications sent through or in connection with this App.This policy DOES NOT apply to information that:We collect offline or on any other Company apps or websites, including websites you may access through this App.You provide to or is collected by any third party (seebelow).",478,<first>,<error>
"Our practices for collecting, using, maintaining, protecting, and disclosing that information.","Our practices for collecting, using, maintaining, protecting, and disclosing that information.",100.0,392,sub,"Our websites and apps, and these other third parties may have their own privacy policies, which we encourage you to read before providing information on or through them.Please read this policy carefully to understand our policies and practices regarding your information and how we will treat it. If you do not agree with our policies and practices, do not download, register with, or use this App. By downloading, registering with, or using this App, you agree to this privacy policy. This policy may change from time to time (see",531,<first>,<error>
"Our practices for collecting, using, maintaining, protecting, and disclosing that information.","Our practices for collecting, using, maintaining, protecting, and disclosing that information.",100.0,392,sub,"below). Your continued use of this App after we revise this policy means you accept those changes, so please check the policy periodically for updates.",151,<first>,<error>
Children Under the Age of 13,Children Under the Age of 13,100.0,1563,main,Children Under the Age of 13,28,<audience>,<error>
"The App is not intended for children under 16 years of age, and we do not knowingly collect personal information from children under 16.","The App is not intended for children under 16 years of age, and we do not knowingly collect personal information from children under 16.",100.0,1592,sub,"The App is not intended for children under 16 years of age, and we do not knowingly collect personal information from children under 16. ",137,<retention>,<error>
"If we learn we have collected or received personal information from a child under 16 without verification of parental consent, we will delete that information.","If we learn we have collected or received personal information from a child under 16 without verification of parental consent, we will delete that information.",100.0,1729,sub,"If we learn we have collected or received personal information from a child under 16 without verification of parental consent, we will delete that information. If you believe we might have any information from or about a child under 16, please contact us atsupport@moyoung.com.",277,<retention>,<error>
Information We Collect and How We Collect It,Information We Collect and How We Collect It,100.0,2009,main,Information We Collect and How We Collect It,44,<first>,<error>
