decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Talking Translator Privacy PolicyThe Privacy Policy shall take effect as of Feb 1 2016, replacing any and all former versions.We are continuously improving Our Privacy Policy, and with the extension of the scope of Our Products and service, we may update Our Privacy Policy at any time. Please notice our Privacy Policy regularly to acknowledge the latest update.",363,<error>,<error>
Statement,Statement,100.0,366,main,"StatementThe Service is designed to provide translation of text (â€œTranslation(s)â€) by third party translators (â€œService Providersâ€).GreenLife Apps respect your preferences concerning the treatment of Information that we may collect. This Privacy Policy explains what kind of information we collect, use, share and the security of your information in relation to our mobile applications (â€œApplicationsâ€ or â€œAppsâ€) and  services (â€œServicesâ€). Please take a moment to familiarize yourself with our privacy practices.",533,<error>,<error>
Statement,Statement,100.0,366,main,"BY INSTALLING THE APPS ON YOUR MOBILE AND OTHER DEVICES, ENTERING INTO, CONNECTING TO, ACCESSING AND/OR USING THE APPS, YOU AGREE TO THE TERMS AND CONDITIONS SET FORTH IN THIS PRIVACY POLICY, INCLUDING TO THE POSSIBLE COLLECTION AND PROCESSING OF YOUR INFORMATION AND YOU ARE CONSENTING TO THE USE OF COOKIES AND OTHER TRACKING TECHNOLOGIES ON YOUR DEVICE. PLEASE NOTE: IF YOU OR, AS APPLICABLE, YOUR LEGAL GUARDIAN, DISAGREE TO ANY TERM PROVIDED HEREIN, YOU MAY NOT INSTALL, ACCESS AND/OR USE THE APPS AND YOU ARE REQUESTED TO PROMPTLY ERASE THEM, AND ANY PART THEREOF, FROM YOUR DEVICE.",588,<error>,<error>
Children's online privacy protection,Children's online privacy protection,100.0,1491,main,"Children's online privacy protectionWe understand the importance of protecting children's privacy, especially in an online environment. Accordingly, the Apps are not designed for or directed at children under the age of 13. Likewise, it is our policy not to knowingly collect, maintain, use or disclose information about anyone under the age of 13. Those under 13 years of age are not authorized to use our Apps or our Services.",428,<error>,<error>
What information we collect,What information we collect,100.0,1921,main,What information we collect1. ,30,<generic>,<what>
Personal Information,Personal Information,100.0,1952,sub,"Personal InformationWe do NOT collect any Personal Information about you. ""Personal Information"" means personally identifiable information, such as your name, email address, physical address, calendar entries, contact entries, files, photos, etc.2. ",249,<first>,<what>
Non-Personal Information,Non-Personal Information,100.0,2203,sub,"Non-Personal InformationWe collect non-personal information about your use of our Apps and aggregated information regarding the usages of the Apps. ""Non-Personal Information"" means information that is of an anonymous nature, such as the type of mobile device you use, your mobile devices unique device ID, the IP address of your mobile device, locaation of your mobile device, your mobile operating system, and information about the way you use the Applications.",462,<first>,<what>
How we use your information we collect,How we use your information we collect,100.0,2667,main,How we use your information we collect1. ,41,<first>,<why>
Personal Information,Personal Information,100.0,2709,sub,Personal Information.We do NOT collect and use Personal Information in any way.2. ,82,<first>,<why>
Non-personal Information,Non-personal Information,100.0,2793,sub,"Non-personal Information.Generally non-personal information is used internally to monitor and improve the Services, to perform analyses of the behavior of our users, to measure user demographics and interests, to describe our services to third parties such as advertisers and to analyze how and where best to use our resources. We do not combine Non-Personal Information with Personal Information.",397,<first>,<why>
How we share the information we collect,How we share the information we collect,100.0,3192,main,How we share the information we collect1. ,42,<third>,<how-used>
Personal Information,Personal Information,100.0,3235,sub,Personal Information.We do NOT collect and share Personal Information in any way.2. ,84,<third>,<how-used>
Non-personal information,Non-personal information,100.0,3321,sub,Non-personal information.,25,<third>,<how-used>
Non-personal information,Non-personal information,100.0,3321,sub,"We provide translation and other services by sharing the text and data provied by you or actions performed by you within the App with our Third Party Service Providers. We accept advertisements from Third Parties ad networks which may be displayed in our Apps. We may share certain information with third-party advertisers, ad networks and ad platforms (""Advertising Entities"") to develop and deliver targeted advertising in the Apps. We may also allow Advertising Entities to collect non-personal information within the Services which they may share with us, including your device identifier, device type, device brand, device model, network type, device language, location, and IP address. Advertising entities may also collect non-personal information related to the performance of the advertisements, such as how many times an advertisement is shown, how long an advertisement is viewed, and any click-throughs of an advertisement.",935,<third>,<how-used>
Links to third-party websites and services,Links to third-party websites and services,100.0,4283,main,Links to third-party websites and services,42,<third>,<other>
