decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Raz Games Privacy Policy,24,<error>,<error>
Privacy and terms of use,Privacy and terms of use,100.0,25,main,"Privacy and terms of useThis Privacy Policy (“Policy”) provides important information regarding Razmobi, Raz Games (“Razmobi"", ""Raz Games”, “we” or “our”) in respect to user information collected through our mobile applications and the use of the information.",259,<generic>,<error>
1. Children under the age of 13 years old,1. Children under the age of 13 years old,100.0,286,main,"1. Children under the age of 13 years oldIf you are under the age of 13 years old and intent to have access or play our games designed for Families, you have to pay attention on this Privacy Policy. We are committed to protecting the privacy of children who use our sites and applications. This online child privacy policy explains our parental consent, information gathering, and disclosure practices provided by children under 13 (“child” or “children”) and uses terms set out in our general privacy policy.",509,<generic>,<when>
1. Children under the age of 13 years old,1. Children under the age of 13 years old,100.0,286,main,"We provide online games for children. Children have access to its games, but the apps do not collect any information from them including device identifiers, advirtising identifiers or any personal information. We do not condition a children’s participation on the disclosure of Information, as well as we do not directly collect and store any information from children. for chindren’s directed games all of our third parties are set with COPPA compliant policies, so they will not also collect information that is not allowed under COPPA. We do not collect personal contact information (eg. full name, e-mail address, home address, or phone number) or any geolocation information form children under the age of 13. We may collect information that is reasonably necessary to support internal operations.",802,<generic>,<when>
1. Children under the age of 13 years old,1. Children under the age of 13 years old,100.0,286,main,We are available to clarify any doubt through our communication’s channels.,75,<generic>,<when>
2. Personal and non-personal information:,2. Personal and non-personal information:,100.0,1676,main,"2. Personal and non-personal information:We understand the importance of our users’ personal information, and more importantly the information pertaining to children under 13 years of age. We do not collect or require users to enter their personal information when using our Products. We do not collect any personal information from children with our Products.",360,<first>,<what>
2. Personal and non-personal information:,2. Personal and non-personal information:,100.0,1676,main,"In our ad-supported apps our third-party Ad SDK's may use the IP address and mobile advertising ID of your device in order to show non-personalized ads. Please refer to our Data Policy below for details, including how to opt out of such usage.",243,<first>,<what>
3. COPPA,3. COPPA,100.0,2282,main,"3. COPPA:We comply with the Children’s Online Privacy Protection Act. We do not knowingly collect personal information on children under the age of 13. When a user identifies himself or herself as a child under the age of 13 through a support request or through any feedback, we will not collect, store or use, and will delete in a secure manner, any personal information of such user.",385,<third>,<error>
4. Data retention,4. Data retention,100.0,2669,main,"4. Data retention:If we do happen to obtain any personal information, including emails or phone numbers perhaps obtained through support requests or other correspondence, it will be treated with the strictest confidentiality. Any such personal information will never be shared with any other entities. Any such personal information will not be retained beyond the resolution of the support request or other correspondence.",422,<retention>,<how-used>
5. Anonymous usage information,5. Anonymous usage information,100.0,3093,main,5. Anonymous usage information:Our apps and websites may collect anonymous usage information to help improve the quality of our services and applications.,154,<third>,<what>
6. Internet permissions,6. Internet permissions,100.0,3249,main,"6. Internet permissions:Our apps do typically require internet permissions, for the purpose of providing links to the app store entry of our products and to collect anonymous usage information (see above).",205,<access>,<how-gathered>
7. In-app purchases,7. In-app purchases,100.0,3456,main,7. In-app purchases:Our apps may contain in-app purchases (IAP’s).,66,<choice>,<what>
8. Advertising,8. Advertising,100.0,3524,main,8. Advertising:Some of our apps contain third-party advertising. We may occasionally promote other products of our own within our apps. We may occasionally cross-promote the products of other affiliated developers that offer similar products and share similar values as expressed on their own published privacy policies.,320,<third>,<what>
9. Social media,9. Social media,100.0,3846,main,9. Social media:Our apps do not interact with any social media sites. We may provide links to our own social media sites for the purpose of providing support and product information.,182,<third>,<what>
Data Policy,Data Policy,100.0,4030,main,Data Policy,11,<generic>,<other>
10. Advirtising,10. Advirtising,100.0,4042,main,"10. AdvirtisingMany of our apps use advertising to provide the content free of charge. When you use these apps your device automatically sends certain information to our advertising partners Admob, Kidoz and Unity Ads. This information includes, for example, the name of the app, the device type, and the advertising ID.",320,<third>,<error>
10. Advirtising,10. Advirtising,100.0,4042,main,"The information gathered is solely used to provide our advertising partners with the bare minimum of information they need to provide their services and combat click fraud. Within the EU, we serve house ads which collects zero data, non-personalized ads, or consent is collected via the Unity Ads SDK.Any games which are targeted to kids would solely use kids friendly ads provided by Kidoz or Admob and does not collect any personal data.",439,<third>,<error>
10. Advirtising,10. Advirtising,100.0,4042,main,Kidoz is only used on iOS and has parental gate features if any ads are tapped. All Kidoz ads are carefuly selected as part of being a kid safe network. Please refer tohttps://kidoz.net/privacy-policies#safe-ad-policy.Please find the list of third party advirtising  companies and sdk's below:Kids Games:Google Play: AdMob (Kid Safe Ads) -Privacy Policy|Opt OutiOS: KIDOZ (Kid Safe Ads) -Privacy Policy|Opt OutGeneral Games:AdMob -Privacy Policy|Opt OutUnityAds -Privacy Policy|Opt Out,485,<third>,<error>
11. Amendments,11. Amendments,100.0,5312,main,"11. Amendments.We may amend our privacy policy from time to time by posting the amended Policy on our website, without directly informing our users. Therefore we encourage our users to review this policy frequently. Raz Games reserves all rights and interpretation to the Policy and its amendments.",298,<change>,<other>
12. Contact us,12. Contact us,100.0,5612,main,"12. Contact us.If you have any questions or concerns regarding this Privacy Policy, please send us an email at info@razgames.com",128,<contact>,<other>
