decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,MAA FOR APPSâ€¢ ,16,<error>,<error>
Privacy Policy,PRIVACY POLICY,100.0,17,main,"PRIVACY POLICYPlease read this Policy carefully.FirstlyMAA FOR APPS DOES NOT COLLECT ANY DATA, the below privacy policy is totally about the Ad        networks that we use in our apps        This Policy provides you with information on how they collect, use and/or share the information obtained from you.        This Policy applies to our applications and does not apply to any third-party services, websites, software, and",424,<generic>,<error>
Privacy Policy,PRIVACY POLICY,100.0,17,main,"        content that may be linked to from within the Application. BY ACCESSING, VISITING, AND/OR USING THE APPLICATION,        YOU CONSENT TO OUR USE OF ANY INFORMATION THAT YOU PROVIDE TO US OR OUR PARTNERS IN ACCORDANCE WITH THIS POLICY.        IF YOU DO NOT AGREE TO THIS POLICY, DO NOT ACCESS, VISIT AND/OR USE THE APPLICATION.",332,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,784,main,"Information Collection and UseFor a better experience, while using our Service, we may require you to provide us        with certain personally identifiable information, including but not limited to screen resolution, device model,        operating system version, viewed and downloaded and installed images in the application. The information that we        request is retained on your device and is not collected by us in any way The app does use third-party services",469,<first>,<error>
Information Collection and Use,Information Collection and Use,100.0,784,main,        that may collect information used to identify you. Link to the privacy policy of third party service providers        used by the app.â€¢ Google Play          Servicesâ€¢ AdMobâ€¢ Firebaseâ€¢ Facebook          Audience Network,234,<first>,<error>
Log Data,Log Data,100.0,1500,main,"Log DataWe want to inform you that whenever you use our Service, in a case of an error in the app we collect data and        information (through third party products) on your phone called Log Data. This Log Data may include information        such as your device Internet Protocol (â€œIPâ€) address, device name, operating system version, the configuration of        the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",471,<first>,<error>
Cookies,Cookies,100.0,1976,main,"CookiesCookies are files with small amount of data that is commonly used an anonymous unique identifier. These are sent        to your browser from the website that you visit and are stored on your device internal memory.        This Service does not use these â€œcookiesâ€ explicitly. However, the app may use third party code and libraries that        use â€œcookiesâ€ to collection information and to improve their services. You have the option to either accept or",469,<tracking>,<error>
Cookies,Cookies,100.0,1976,main,"        refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you        may not be able to use some portions of this Service.",183,<tracking>,<error>
Service Providers,Service Providers,100.0,2635,main,"Service ProvidersWe may employ third-party companies and individuals due to the following reasons:â€¢ To facilitate our Service;â€¢ To provide the Service on our behalf;â€¢ To perform Service-related services; orâ€¢ To assist us in analyzing how our Service is used.We want to inform users of this Service that these third parties have access to your Personal Information. The        reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use",497,<third>,<error>
Service Providers,Service Providers,100.0,2635,main,        the information for any other purpose,45,<third>,<error>
Security,Security,100.0,3186,main,"SecurityWe have implemented security safeguards designed to protect your personal information in accordance with industry        standards. We limit access to your information on our servers, and it is password-protected/encrypted. We also        regularly monitor our servers for possible vulnerabilities and attacks. Nevertheless, as the Internet is not a        100% secure environment, we cannot guarantee the security of any information that you transmit to us. There is no",478,<security>,<error>
Security,Security,100.0,3186,main,"        guarantee that information on our servers may not be accessed, disclosed, altered, or destroyed by breach of our        safeguards.",139,<security>,<error>
Links to Other Sites,Links to Other Sites,100.0,3810,main,"Links to Other SitesThis Service may contain links to other sites. If you click on a third-party link, you will be directed to that        site. Note that these external sites are not operated by us. Therefore, we strongly advise you to review the        Privacy Policy of these websites. We have no control over and assume no responsibility for the content, privacy        policies, or practices of any third-party sites or services.",434,<third>,<error>
Children's Privacy,Childrenâ€™s Priva,83.33333333333334,4249,main,"Childrenâ€™s PrivacyWe do not knowingly collect personal information from children under the age of 13. If we become aware that a        child under that age has provided us with personal information, we take steps to remove such information from our        servers. If you become aware that your child has provided us with personal information, please contact us.",364,<audience>,<error>
Modifying Your Personal Information,Modifying Your Personal Information,100.0,4617,main,Modifying Your Personal Information.You have a right to request that we delete any of your personal information in our possession by sending us an        email (with your expressed request) using the Contact Us button inside the Application. We will generally delete        your information within 30 days of receipt of your request.,333,<choice>,<error>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4954,main,"Changes to This Privacy PolicyWe may need to change this Policy from time to time in order to address new issues and to reflect changes to the        Application or applicable law. We reserve the right to revise or make any changes to this policy in our soul        discretion, and your continual use of the Application after any changes to this policy, shall conclusively        mean that you accept such changes. You can tell when this Policy has been updated by checking the last updated",490,<change>,<error>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4954,main,        date posted on the top of this page.,44,<change>,<error>
Privacy Policies of bundled Services and SDKs,Privacy Policies of bundled Services and SDKs,100.0,5494,main,"Privacy Policies of bundled Services and SDKsFor us to be able to deliver the Application and its functionalities to you, we use third party sub-suppliers, too        whom we may transfer data. Our sub-suppliers have all guaranteed that they will live up to the terms of this        privacy policy, including ensuring safe-keeping of your personal data. With your acceptance of this Privacy Policy",397,<third>,<error>
Privacy Policies of bundled Services and SDKs,Privacy Policies of bundled Services and SDKs,100.0,5494,main,"        and by using the Application, you agree to the processing of your data in the form of a transfer to third parties.        All of our sub-suppliers reserve the right to use the transferred information for statistics and user support        without restrictions regarding applicability in time. Please note that we may also disclose information associated        with you as well as contact information to third parties if required by law, in order to protect or defend our        own rights.",498,<third>,<error>
Contact us,Contact us,100.0,6398,main,Contact usÂ©2022 MAA FOR APPS,29,<contact>,<error>
