decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,KHTSXR ,7,<error>,<error>
Privacy Policy,Privacy Policy,100.0,7,main,"Privacy Policy기본 콘텐츠로 건너뛰기이 블로그 검색khtsxrKHTSXR Privacy Policy공유 링크 만들기FacebookTwitterPinterest이메일기타 앱4월 13, 2022ENGLISH/한국어PrivacyPolicyKHTSXRhas made this Privacy Policy.",171,<generic>,<error>
"By using and installing the KHTSXR apps, you agree to this privacy policy and give an explicit and informed consent to the processing.","By
using and installing the KHTSXR apps, you agree to this privacy
policy and give an explicit and informed consent to the processing.",98.50746268656717,197,sub,"Byusing and installing the KHTSXR apps, you agree to this privacypolicy and give an explicit and informed consent to the processing.If you do not agree, please do not install the KHTSXR apps.",191,<first>,<error>
We Do Not Personally Identify You,"We
do not personally identify you",96.96969696969697,392,main,Wedo not personally identify you. ,34,<generic>,<error>
"We use device call state, microphone, camera, sensor data and other properties for a functional purpose.","We use device call state, microphone,
camera, sensor data and other properties for a functional purpose.",99.03846153846155,427,sub,"We use device call state, microphone,camera, sensor data and other properties for a functional purpose.",103,<first>,<error>
Some of the KHTSXR apps may request your Location data for a functional purpose.,"Some of the KHTSXR apps may request your Location data for a
functional purpose.",98.75,532,sub,Some of the KHTSXR apps may request your Location data for afunctional purpose. ,80,<first>,<error>
Your GPS location data is not accessed without your consent.,"Your GPS location data is not accessed without
your consent.",98.33333333333333,613,sub,Your GPS location data is not accessed withoutyour consent.,59,<first>,<error>
We do not share your GPS location data with anyone.,"We
do not share your GPS location data with anyone.",98.0392156862745,674,sub,Wedo not share your GPS location data with anyone. ,51,<first>,<error>
We Do Not Collect Any Personal User Data,"We do not collect
any personal user data",97.5,726,main,"We do not collectany personal user data.Contactus1006kds@gmail.com공유 링크 만들기FacebookTwitterPinterest이메일기타 앱이 블로그의 인기 게시물KHTSXR Terms of Service4월 13, 2022",153,<generic>,<error>
We Do Not Collect Any Personal User Data,"We do not collect
any personal user data",97.5,726,main,ENGLISH  / 한국어  Terms of Service    The rights and obligations of the use of the app between the user and provider are governed by these KHTSXR Terms of Service. ◦ The user is granted a free right to use the app for commercial or non-commercial purposes. ◦ The provider shall not be liable for any damage caused to the user resulting from the the use of the app. ◦ The provider guarantees neither the integrity nor the reliability of this app. It may not work well for some reasons. ◦ The provider may cancel or stop without any prior notification some or all the features in this app.             ◦ The user is responsible for the preparation and maintenance of telecommunication environment or telecommunication line to use this app(Banner Ads) and their associated costs. ,775,<generic>,<error>
Contact Us,Contact us,100.0,1668,main,Contact us ,11,<contact>,<error>
1006kds@gmail.com,1006kds@gmail.com,100.0,1679,sub,1006kds@gmail.com자세한 내용 보기,26,<contact>,<error>
KHTSXR 이용 약관,KHTSXR 이용 약관,100.0,1707,main,"KHTSXR 이용 약관4월 13, 2022ENGLISH  / 한국어 이용 약관",43,<region>,<error>
KHTSXR 앱 사용에 관련 사용자와 공급자 간의 권리 의무는 이 이용 약관에 따릅니다., KHTSXR 앱 사용에 관련 사용자와 공급자 간의 권리 의무는 이 이용 약관에 따릅니다,97.95918367346938,1752,sub, KHTSXR 앱 사용에 관련 사용자와 공급자 간의 권리 의무는 이 이용 약관에 따릅니다 .  ◦,54,<region>,<error>
이 앱을 이용하여 자유로운 사용이 가능하며 상업적 활용이 가능합니다., 이 앱을 이용하여 자유로운 사용이 가능하며 상업적 활용이 가능합니다,97.36842105263158,1806,sub, 이 앱을 이용하여 자유로운 사용이 가능하며 상업적 활용이 가능합니다 . ◦,42,<generic>,<error>
이 앱을 사용으로 인해 사용자에게 발생하는 모든 책임에 대해 제공자는 책임을 지지 않습니다., 이 앱을 사용으로 인해 사용자에게 발생하는 모든 책임에 대해 제공자는 책임을 지지 않습니다,98.0392156862745,1848,sub, 이 앱을 사용으로 인해 사용자에게 발생하는 모든 책임에 대해 제공자는 책임을 지지 않습니다 . ◦,55,<generic>,<error>
이 앱은 안정성 및 확실성을 보증하지 않습니다., 이 앱은 안정성 및 확실성을 보증하지 않습니다,96.15384615384616,1903,sub, 이 앱은 안정성 및 확실성을 보증하지 않습니다 .,28,<error>,<error>
알 수 없는 이유로 오작동 할 수 있습니다., 알 수 없는 이유로 오작동 할 수 있습니다,95.83333333333334,1931,sub, 알 수 없는 이유로 오작동 할 수 있습니다 . ◦,28,<error>,<error>
이 앱은 사전 통지 없이 앱의 일부 또는 모든 기능을 종료할 수 있습니다., 이 앱은 사전 통지 없이 앱의 일부 또는 모든 기능을 종료할 수 있습니다,97.5609756097561,1959,sub," 이 앱은 사전 통지 없이 앱의 일부 또는 모든 기능을 종료할 수 있습니다 . ◦ 이 앱의 사용 , 광고 노출과 관련하여 인터넷 접속 환경에 필요한 비용은 ",87,<error>,<error>
이용자의 책임,이용자의 책임,100.0,2046,main,이용자의 책임에 따릅니다 . ,16,<error>,<error>
KHTSXR 앱 문의,KHTSXR 앱 문의,100.0,2062,main,KHTSXR 앱 문의 ,12,<error>,<error>
1006kds@gmail.com,1006kds@gmail.com,100.0,2074,sub,1006kds@gmail.com자세한 내용 보기Powered by Blogger테마 이미지 제공:Michael Elkan자료실4월 20224신고하기,82,<error>,<error>
