decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Fuji Instax Studio:  TouchRetouch Eraser privacy policyFuji Instax Studiomercredi 10 octobre 2018TouchRetouch Eraser privacy policy,131,<error>,<error>
Privacy Policy For TouchRetouch Eraser,Privacy Policy For TouchRetouch Eraser,100.0,135,main,"Privacy Policy For TouchRetouch EraserYour privacy is important to Our App Service. Our Privacy Policy covers how we collect, use, disclose, transfer, and store your information. We hope our policy is straightforward and easy-to-understand. Please take a minute to review the details of our privacy practices below.",315,<error>,<error>
Collection and Use of Non-Personal Information,Collection and Use of Non-Personal Information,100.0,456,main,Collection and Use of Non-Personal Information,46,<error>,<why>
"We may collect non-personal information, such as data that does not allow direct association with any specific individual.","We
 may collect non-personal information, such as data that does not allow 
direct association with any specific individua",98.36065573770492,503,sub,"We may collect non-personal information, such as data that does not allow direct association with any specific individual. ",123,<first>,<error>
"Non-personal data is collected, used, transferred, and disclosed for a number of purposes.","Non-personal data is 
collected, used, transferred, and disclosed for a number of purposes",98.88888888888889,628,sub,"Non-personal data is collected, used, transferred, and disclosed for a number of purposes. ",91,<first>,<error>
These purposes include the use of cookies and other technologies that give us a better understanding of our users' needs.,"These purposes include the use of cookies and other technologies that 
give us a better understanding of our users' needs",99.17355371900827,721,sub,These purposes include the use of cookies and other technologies that give us a better understanding of our users' needs. We use information collected from cookies to improve users' experience and the overall quality of our services.,233,<first>,<error>
Collection and Use of Personal Information,Collection and Use of Personal Information,100.0,958,main,Collection and Use of Personal Information,42,<generic>,<why>
No personal information will be collected when you are using this app.,No personal information will be collected when you are using this app.,100.0,1001,sub,No personal information will be collected when you are using this app.,70,<first>,<error>
"When you use our email support services, we collect your correspondence in order to build up a public knowledge base, which will be available to all users of the site.","When
 you use our email support services, we collect your correspondence in 
order to build up a public knowledge base, which will be available to 
all users of the si",98.20359281437125,1072,sub,"When you use our email support services, we collect your correspondence in order to build up a public knowledge base, which will be available to all users of the site. ",168,<first>,<error>
"Your correspondence will most likely not be used verbatim, but paraphrased in an FAQ format.","Your correspondence will most likely not be used 
verbatim, but paraphrased in an FAQ format",98.91304347826086,1243,sub,"Your correspondence will most likely not be used verbatim, but paraphrased in an FAQ format.",92,<first>,<error>
We use the information collected through this app product:,"We use the information
 collected through this app product",98.27586206896551,1337,main,We use the information collected through this app product: ,59,<error>,<how-used>
(I) to communicate with you;,(I) to communicate with you;,100.0,1397,sub,(I) to communicate with you; ,29,<error>,<error>
(II) to process your requests and transactions;,"(II) 
to process your requests and transactions",97.87234042553192,1426,sub,(II) to process your requests and transactions; ,48,<error>,<error>
(III) to improve the app;,(III) to improve the app;,100.0,1475,sub,(III) to improve the app; ,26,<error>,<error>
(IV) to customize the services and/or products we provide to you;,(IV) to customize the services and/or products we provide to you;,100.0,1502,sub,(IV) to customize the services and/or products we provide to you; ,66,<error>,<error>
(V) to assist with our product and service development;,"(V) to
 assist with our product and service development",98.18181818181819,1568,sub,(V) to assist with our product and service development; ,56,<error>,<error>
(VI) to perform marketing analysis;,"(VI) to perform 
marketing analysis",97.14285714285714,1625,sub,(VI) to perform marketing analysis; and ,40,<error>,<error>
(VII) for other purposes related to our business.,"(VII) for other purposes related to our 
business",97.95918367346938,1666,sub,(VII) for other purposes related to our business.,49,<error>,<error>
Transparency and Choice,Transparency and Choice,100.0,1717,main,Transparency and Choice,23,<choice>,<other>
You can also control which social websites you wish to share or upload.,You can also control which social websites you wish to share or upload.,100.0,1741,sub,You can also control which social websites you wish to share or upload.,71,<choice>,<error>
Third party accounts,Third party accounts,100.0,1813,main,Third party accounts,20,<error>,<other>
Our App Service does not store any other third part service passwords.,"Our
 App Service does not store any other third part service passwords",98.57142857142858,1834,sub,Our App Service does not store any other third part service passwords. ,71,<third>,<error>
