decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy of AppHoldingsPrivacy Policy ofAppHoldingsThis Application collects some Personal Data from its Users.Policy summaryPersonal Data collected for the following purposes and using the following services:AdvertisingAdColony, AppLovin, Chartboost, MoPub, Unity Ads, Vungle and FyberPersonal Data: Cookies and Usage DataAdMob, Appodeal and Facebook Audience NetworkPersonal Data: Cookies, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and Usage DataAnalytics",507,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Facebook Analytics for AppsPersonal Data: Usage Data and various types of Data as specified in the privacy policy of the serviceGoogle AnalyticsPersonal Data: Cookies and Usage DataFlurry AnalyticsPersonal Data: Cookies, Usage Data and various types of Data as specified in the privacy policy of the serviceContacting the UserMailing list or newsletterPersonal Data: email address, first name and Usage DataContent performance and features testing (A/B testing)Firebase Remote Config",483,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Personal Data: various types of Data as specified in the privacy policy of the serviceInfrastructure monitoringFirebase Crash ReportingPersonal Data: various types of Data as specified in the privacy policy of the serviceCrashlyticsPersonal Data: geographic position, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and various types of Data as specified in the privacy policy of the serviceManaging contacts and sending messagesOneSignal",476,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Personal Data: Cookies, email address, geographic position, language, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example), Usage Data and various types of Data as specified in the privacy policy of the serviceRegistration and authenticationFacebook AuthenticationPersonal Data: various types of Data as specified in the privacy policy of the serviceDirect registrationPersonal Data: email address, first name, last name, birthday.Contact informationOwner and Data Controller",508,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,AppHoldingsOwner contact email:[email protected]Opt-out[email protected]Full policyOwner and Data ControllerAppHoldingsOwner contact email:[email protected]Opt-out[email protected],180,<generic>,<error>
Types of Data collected,Types of Data collected,100.0,2205,main,"Types of Data collectedAmong the types of Personal Data that this Application collects, by itself or through third parties, there are:       Cookies, Usage Data, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example), geographic position, email address and first name.Complete details on each type of Personal Data collected are provided in the dedicated sections of this privacy policy or by specific explanation texts displayed prior to the Data collection.",490,<generic>,<what>
Types of Data collected,Types of Data collected,100.0,2205,main,"Personal Data may be freely provided by the User, or, in case of Usage Data, collected automatically when using this Application.Unless specified otherwise, all Data requested by this Application is mandatory and failure to provide this Data may make it impossible for this Application to provide its services. In cases where this Application specifically states that some Data is not mandatory, Users are free not to communicate this Data without consequences to the availability or the functioning of the Service.",515,<generic>,<what>
Types of Data collected,Types of Data collected,100.0,2205,main,"Users who are uncertain about which Personal Data is mandatory are welcome to contact the Owner.Any use of Cookies â€“ or of other tracking tools â€“ by this Application or by the owners of third-party services used by this Application serves the purpose of providing the Service required by the User, in addition to any other purposes described in the present document and in the Cookie Policy, if available.",409,<generic>,<what>
Types of Data collected,Types of Data collected,100.0,2205,main,"Users are responsible for any third-party Personal Data obtained, published or shared through this Application and confirm that they have the third party's consent to provide the Data to the Owner.",197,<generic>,<what>
Mode and place of processing the Data,Mode and place of processing the Data,100.0,3825,main,Mode and place of processing the Data,37,<first>,<what>
Methods of processing,Methods of processing,100.0,3863,main,"Methods of processingThe Owner takes appropriate security measures to prevent unauthorized access, disclosure, modification, or unauthorized destruction of the Data.",165,<first>,<what>
Methods of processing,Methods of processing,100.0,3863,main,"The Data processing is carried out using computers and/or IT enabled tools, following organizational procedures and modes strictly related to the purposes indicated. In addition to the Owner, in some cases, the Data may be accessible to certain types of persons in charge, involved with the operation of this Application (administration, sales, marketing, legal, system administration) or external parties (such as third-party technical service providers, mail carriers, hosting providers, IT companies, communications agencies) appointed, if necessary, as Data Processors by the Owner. The updated list of these parties may be requested from the Owner at any time.",665,<first>,<what>
Legal basis of processing,Legal basis of processing,100.0,4696,main,"Legal basis of processingThe Owner may process Personal Data relating to Users if one of the following applies:Users have given their consent for one or more specific purposes. Note: Under some legislations the Owner may be allowed to process Personal Data until the User objects to such processing (â€œopt-outâ€), without having to rely on consent or any other of the following legal bases. This, however, does not apply, whenever the processing of Personal Data is subject to European data protection law;",508,<first>,<why>
Legal basis of processing,Legal basis of processing,100.0,4696,main,provision of Data is necessary for the performance of an agreement with the User and/or for any pre-contractual obligations thereof;processing is necessary for compliance with a legal obligation to which the Owner is subject;processing is related to a task that is carried out in the public interest or in the exercise of official authority vested in the Owner;processing is necessary for the purposes of the legitimate interests pursued by the Owner or by a third party.,471,<first>,<why>
Legal basis of processing,Legal basis of processing,100.0,4696,main,"In any case, the Owner will gladly help to clarify the specific legal basis that applies to the processing, and in particular whether the provision of Personal Data is a statutory or contractual requirement, or a requirement necessary to enter into a contract.",260,<first>,<why>
Place,Place,100.0,5943,main,"PlaceThe Data is processed at the Owner's operating locations and in any other places where the parties involved in the processing are located.Depending on the User's location, data transfers may involve transferring the User's Data to a country other than their own. To find out more about the place of processing of such transferred Data, Users can check the section containing details about the processing of Personal Data.",426,<region>,<where>
Place,Place,100.0,5943,main,"Users are also entitled to learn about the legal basis of Data transfers to a country outside the European Union or to any international organization governed by public international law or set up by two or more countries, such as the UN, and about the security measures taken by the Owner to safeguard their Data.If any such transfer takes place, Users can find out more by checking the relevant sections of this document or inquire with the Owner using the information provided in the contact section.",503,<region>,<where>
Retention time,Retention time,100.0,6877,main,Retention timePersonal Data shall be processed and stored for as long as required by the purpose they have been collected for.Therefore:Personal Data collected for purposes related to the performance of a contract between the Owner and the User shall be retained until such contract has been fully performed.,308,<retention>,<error>
Retention time,Retention time,100.0,6877,main,Personal Data collected for the purposes of the Ownerâ€™s legitimate interests shall be retained as long as needed to fulfill such purposes. Users may find specific information regarding the legitimate interests pursued by the Owner within the relevant sections of  this document or by contacting the Owner.,307,<retention>,<error>
Retention time,Retention time,100.0,6877,main,"The Owner may be allowed to retain Personal Data for a longer period whenever the User has given consent to such processing, as long as such consent is not withdrawn. Furthermore, the Owner may be obliged to retain Personal Data for a longer period whenever required to do so for the performance of a legal obligation or upon order of an authority.",348,<retention>,<error>
Retention time,Retention time,100.0,6877,main,"Once the retention period expires, Personal Data shall be deleted. Therefore, the right to access, the right to erasure, the right to rectification and the right to data portability cannot be enforced after expiration of the retention period.",242,<retention>,<error>
The purposes of processing,The purposes of processing,100.0,8089,main,"The purposes of processingThe Data concerning the User is collected to allow the Owner to provide its Services, as well as for the following purposes:         Advertising, Content performance and features testing (A/B testing), Infrastructure monitoring, Registration and authentication, Analytics and Contacting the User.Users can find further detailed information about such purposes of processing and about the specific Personal Data used for each purpose in the respective sections of this document.",503,<first>,<how-gathered>
Detailed information on the processing of Personal Data,Detailed information on the processing of Personal Data,100.0,8596,main,Detailed information on the processing of Personal DataPersonal Data is collected for the following purposes and using the following services:,142,<third>,<how-used>
Advertising,Advertising,100.0,8740,main,"AdvertisingThis type of service allows User Data to be utilized for advertising communication purposes displayed in the form of banners and other advertisements on this Application, possibly based on User interests.This does not mean that all Personal Data are used for this purpose. Information and conditions of use are shown below.",334,<third>,<error>
Advertising,Advertising,100.0,8740,main,"Some of the services listed below may use Cookies to identify Users or they may use the behavioral retargeting technique, i.e. displaying ads tailored to the Userâ€™s interests and behavior, including those detected outside this Application. For more information, please check the privacy policies of the relevant services.In addition to any opt out offered by any of the services below, the User may opt out of a third-party service's use of cookies by visiting theNetwork Advertising Initiative opt-out page.",510,<third>,<error>
Advertising,Advertising,100.0,8740,main,"AdColony (Jirbo, Inc.)AdColony is an advertising service provided by Jirbo, Inc.Personal Data collected:                       Cookies and Usage Data.Place of processing:United States–Privacy Policy–Opt out.AdMob (AdMob Google Inc.)AdMob is an advertising service provided by AdMob Google Inc.In order to understand Google's use of Data, consultGoogle's partner policy.Personal Data collected:",393,<third>,<error>
