decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy Policy – Best ThemesSkip to contentMenuHomeContactBest ThemesPrivacy PolicyPrivacy PolicyTL;DR: We do NOT collect any ,126,<error>,<error>
PERSONAL INFORMATION,personal information,100.0,134,main,personal information.Your privacy is important to us and we are committed to protecting your privacy. Please take a moment to familiarize yourself with our privacy practices and let us know if you have any questions.PERSONAL INFORMATION,236,<generic>,<what>
Personal information is data that can be used to uniquely identify or contact a single person.,Personal information is data that can be used to uniquely identify or contact a single person.,100.0,373,sub,Personal information is data that can be used to uniquely identify or contact a single person.We,96,<error>,<error>
DO NOT,DO NOT,100.0,471,main,DO NOT,6,<error>,<other>
"collect, store or use any personal information while you visit, download or upgrade our website or our products or apps, excepting the personal information that you submit to us when you create a user account, send an error report or participate in online surveys and other activities.","collect, store or use any personal information while you visit, download or upgrade our website or our products or apps, excepting the personal information that you submit to us when you create a user account, send an error report or participate in online surveys and other activities.",100.0,478,sub,"collect, store or use any personal information while you visit, download or upgrade our website or our products or apps, excepting the personal information that you submit to us when you create a user account, send an error report or participate in online surveys and other activities.In the following circumstances, we may disclose your personal information according to your wish or regulations by law:Your prior permission;",426,<first>,<error>
"collect, store or use any personal information while you visit, download or upgrade our website or our products or apps, excepting the personal information that you submit to us when you create a user account, send an error report or participate in online surveys and other activities.","collect, store or use any personal information while you visit, download or upgrade our website or our products or apps, excepting the personal information that you submit to us when you create a user account, send an error report or participate in online surveys and other activities.",100.0,478,sub,"By the applicable law within or outside your country of residence, legal process, litigation requests;By requests from public and governmental authorities;To protect our legal rights and interests.",197,<first>,<error>
NON-PERSONAL INFORMATION,NON-PERSONAL INFORMATION,100.0,1107,main,NON-PERSONAL INFORMATION,24,<generic>,<what>
"Non-personal information is data in a form that does not permit direct association with any specific individual, such as your CPN model, memory size, phone model, rom, phone operator, location, installs, uninstalls, frequency of use, etc.","Non-personal information is data in a form that does not permit direct association with any specific individual, such as your CPN model, memory size, phone model, rom, phone operator, location, installs, uninstalls, frequency of use, etc.",100.0,1132,sub,"Non-personal information is data in a form that does not permit direct association with any specific individual, such as your CPN model, memory size, phone model, rom, phone operator, location, installs, uninstalls, frequency of use, etc.We may collect and use non-personal information in the following circumstances: to have a better understanding of our user’s behaviour, solve problems in products and services, improve our products, services and advertising; we may collect non-personal information such as the date of install, frequency of use, country, equipment and channel.",581,<first>,<error>
"Non-personal information is data in a form that does not permit direct association with any specific individual, such as your CPN model, memory size, phone model, rom, phone operator, location, installs, uninstalls, frequency of use, etc.","Non-personal information is data in a form that does not permit direct association with any specific individual, such as your CPN model, memory size, phone model, rom, phone operator, location, installs, uninstalls, frequency of use, etc.",100.0,1132,sub,"If non-personal information is combined with personal information, we treat the combined information as personal information for the purposes of this Privacy Policy.",165,<first>,<error>
PROTECTION OF PERSONAL INFORMATION,PROTECTION OF PERSONAL INFORMATION,100.0,1881,main,PROTECTION OF PERSONAL INFORMATION,34,<security>,<why>
