decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy PolicyThese ,20,<error>,<error>
Privacy Policies,privacy policies,100.0,21,main,"privacy policies arefor all developments made byEncodemx, ourdevelopments are available on the web or in stores such as Google Play Store,AppGalleryand App Store.Encodemxis a small developmentteam made up of 4 developers, we are located at Boulevard Tepic-Xalisco# 419-A in Tepic, Nayarit Mexico. Leading the teamis Michel Carvajal, contact personal email: michel@encodemx.comThis page is used to informvisitors regarding our policies with the collection, use, and disclosure of",478,<generic>,<error>
Privacy Policies,privacy policies,100.0,21,main,"Personal Information if anyone decided to use our Service.If you choose to use our Service, then you agree tothe collection and use of information in relation to this policy. The PersonalInformation that we collect is used for providing and improving the Service. Wewill not use or share your information with anyone except as described in thisPrivacy Policy.1.",361,<generic>,<error>
Our Applications,Our Applications,100.0,883,main,Our Applications:<![if !supportLists]>Â·<![endif]>Daily Expenses: Finances (iOS)<![if !supportLists]>Â·<![endif]>Daily Expenses 2 (Android)<![if !supportLists]>Â·<![endif]>Daily Expenses 3 (Android)<![if !supportLists]>Â·<![endif]>Daily Expenses 4 (Android)<![if !supportLists]>Â·<![endif]>Daily Expenses 4 (WEB)<![if !supportLists]>Â·<![endif]>Daily Expenses License (Android)<![if !supportLists]>Â·<![endif]>Shopping Expenses (Android)<![if !supportLists]>Â·<![endif]>Shopping Expenses: Finance (iOS),502,<generic>,<error>
Our Applications,Our Applications,100.0,883,main,<![if !supportLists]>Â·<![endif]>ShoppingExpenses (WEB)2.,57,<generic>,<error>
Data Collection and Use,Data Collection and Use,100.0,1481,main,"Data Collection and UseFor a better experience,while using our Service, we may ask you for certain personally identifiableinformation. The information we request will be retained by us and used asdescribed below:<![if !supportLists]>Â·<![endif]>Email accountto save backups.Theservice to create and retrieve backups on our server works with the user'semail account, this function is optional and not essential to use ourapplications.<![if !supportLists]>Â·<![endif]>Email accountto register premium version.",507,<first>,<error>
Data Collection and Use,Data Collection and Use,100.0,1481,main,"The accounts of users who purchase thepremium version are registered on ourserver,thisallows users to retrieve their license through their account.<![if !supportLists]>Â·<![endif]>Email accountto send emails.Some of ourapplications have a service so that the user can send their own information toone of their email accounts, this function is optional and is not essential touse our applications. Our server receives this information and forwards it to",452,<first>,<error>
Data Collection and Use,Data Collection and Use,100.0,1481,main,"the email that the user has indicated, for the email service we do not storethe email account, nor the information that the user is sending.3. ",143,<first>,<error>
Delete Data and Profile from Our Server,"Delete Data and Profile
from Our Server",97.43589743589743,2619,main,"Delete Data and Profilefrom Our Server<![if !supportLists]>Â·<![endif]>Ourapplications give the user an option so that they themselves can delete theirprofile account, their data and backups hosted on our server. The user mustbear in mind that once this action is executed, there is no way to recover thedeleted information.<![if !supportLists]>Â·<![endif]>The user willbe able to find this option in the configuration section of each application,",447,<choice>,<error>
Delete Data and Profile from Our Server,"Delete Data and Profile
from Our Server",97.43589743589743,2619,main,"if you have questions about it, please send an email to: support@encodemx.comwe will gladly explain where this option is located.4. ",132,<choice>,<error>
Third Party Services,"Third Party Service
",95.0,3215,sub,"Third Party ServiceProviders and Data SharingThe app does use thirdparty services that may collect information used to identify you, we only sharethe email account with some services.Link to privacy policy ofthird partyservice providers used by the app:<![if !supportLists]>Â·<![endif]>Google PlayServices(applicableonly on Android devices) - It is used for user authentication and works intandem with other Google tools.<![if !supportLists]>Â·<![endif]>GoogleAdMob(applicable only on free version) - It is the",510,<third>,<error>
Third Party Services,"Third Party Service
",95.0,3215,sub,"advertising provider that our applications show.<![if !supportLists]>Â·<![endif]>Google Drive(applicable only onAndroid devices with professional version) - It's a free data storage service,if the users sowishes, they can upload backups or XLSreports to their personal Google Drive account.<![if !supportLists]>Â·<![endif]>FirebaseAnalytics-collects statistical data on the use that is given to the application, forexample screens that are most visited, frequency, duration, etc.<![if !supportLists]>Â·<![endif]>",512,<third>,<error>
Third Party Services,"Third Party Service
",95.0,3215,sub,"FirebaseCrashlytics- collects information on failures ormalfunctions of applications.<![if !supportLists]>Â·<![endif]>LogData- (applicableonly on WEB) include information such as your device Internet Protocol (â€œIPâ€)address, device name, operating system version, the configuration of the appwhen utilizing our Service, the time and date of your use of the Service, andother statistics.<![if !supportLists]>Â·<![endif]>Dropbox(applicable only on",448,<third>,<error>
Third Party Services,"Third Party Service
",95.0,3215,sub,"professional version) - It's a free data storage service, if the users sowishes, they can upload backups or XLS reports to theirpersonal Dropbox account.<![if !supportLists]>Â·<![endif]>iCloud(applicable only onprofessional version) - It's a free data storage service, if the users sowishes, they can upload backups or XLS reports to theirpersonal iCloud account.5. ",366,<third>,<error>
Cookies (WEB),Cookies (WEB),100.0,5127,main,"Cookies (WEB)Cookies are files with asmall amount of data that are commonly used as anonymous unique identifiers.These are sent to your browser from the websites that you visit and are storedon your deviceâ€™s internal memory.This Service does not use these â€œcookiesâ€explicitly. However, the app may use third party code and libraries that useâ€œcookiesâ€ to collect information and improve their services. You have theoption to either accept or refuse these cookies and know when a cookie is being",503,<tracking>,<error>
Cookies (WEB),Cookies (WEB),100.0,5127,main,"sent to your device. If you choose to refuse our cookies, you may not be ableto use some portions of this Service.6. ",117,<tracking>,<error>
