decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy,Privacy,100.0,0,main,Privacy : Teazel LtdHomeProductsServicesMagazinesArticlesPrivacyAboutPress,74,<error>,<error>
Teazel Privacy Statement,Teazel Privacy Statement,100.0,83,main,Teazel Privacy Statement,24,<error>,<error>
We do not collect personal information in our apps.,We do not collect personal information in our apps.,100.0,108,main,We do not collect personal information in our apps.,51,<generic>,<error>
We count annoymous click & usage of our Dice application and website using Google Analytics.,We count annoymous click & usage of our Dice application and website using Google Analytics.,100.0,160,main,We count annoymous click & usage of our Dice application and website using Google Analytics.,92,<first>,<error>
"If you contact us (directly or via Google) we keep your email details in order to respond back to you, and we will keep a history of our conversation.","If you contact us (directly or via Google) we keep your email details in order to respond back to you, and we will keep a history of our conversation.",100.0,253,main,"If you contact us (directly or via Google) we keep your email details in order to respond back to you, and we will keep a history of our conversation.",150,<choice>,<error>
We do not forward your email details on to any other parties.,We do not forward your email details on to any other parties.,100.0,404,main,We do not forward your email details on to any other parties.,61,<third>,<error>
The Teazel website does use Amazon Affiliate links where suitable - here is the offical legal phrase:,The Teazel website does use Amazon Affiliate links where suitable - here is the offical legal phrase:,100.0,466,main,The Teazel website does use Amazon Affiliate links where suitable - here is the offical legal phrase: ,102,<third>,<error>
"Teazel Ltd is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for sites to earn advertising fees by advertising and linking to (www.amazon.com, www.amazon.co.uk)","Teazel Ltd is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for sites to earn advertising fees by advertising and linking to (www.amazon.com, www.amazon.co.uk)",100.0,568,main,"Teazel Ltd is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for sites to earn advertising fees by advertising and linking to (www.amazon.com, www.amazon.co.uk)We hope you find that refreshingly simple and straightforward - like our games.",314,<generic>,<error>
Coloring App only,Coloring App only,100.0,884,main,Coloring App only,17,<error>,<error>
If you would like us to remove pictures/data you have shared in the gallary please see here:,If you would like us to remove pictures/data you have shared in the gallary please see here:,100.0,902,main,If you would like us to remove pictures/data you have shared in the gallary please see here:instructions© Teazel Ltd 2022,121,<choice>,<error>
