decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"IDrive's commitment to privacySign upOnline Backup for PC, Mac and iPhone | IDriveFeaturesof IDrive online backupDownloadGet apps for PC, Mac, Linux and MobilesPricingStorage options made for allLegal Information",212,<error>,<error>
Privacy Policy,Privacy Policy,100.0,222,main,"Privacy PolicyTerms and ConditionsPrivacy PolicyGNU General Public License (GPL)Service Level Agreement (SLA)DMCA PolicyAcceptable Use PolicyGDPRCompliance StatementPrivacy PolicyLast Updated:  June 09, 2022IDrive Inc. has created this Privacy Policy in order to demonstrate ",275,<generic>,<error>
IDrive's commitment to privacy,our firm commitment to privacy,80.0,509,main,our firm commitment to privacy. The following discloses our information gathering and dissemination practices.,110,<generic>,<error>
IDrive's commitment to privacy,our firm commitment to privacy,80.0,509,main,"Users can access IDrive Inc. services (the ""Services"") through our websites, applications on Devices, through APIs and through third parties. A ""Device"" is any computer used to access the Services, including without limitation a desktop computer, laptop, mobile phone, tablet or other consumer electronic device. This Privacy Policy governs your access to IDrive Inc. Services, regardless of how you access it, and by using our Services you consent to the collection, transfer, processing, storage, disclosure and other uses described in this Privacy Policy. All of the different forms of data, content, and information described below are collectively referred to as ""information"".",682,<generic>,<error>
What Information Do We Gather?,What Information Do We Gather?,100.0,1303,main,What Information Do We Gather?,30,<first>,<what>
User Provided Information,User Provided Information,100.0,1334,sub,User Provided Information,25,<first>,<what>
User Provided Information,User Provided Information,100.0,1334,sub,"- Due to the nature of our Services, we must collect personal information from users during the registration process including first and last names, a valid credit card to process payment for service, home and/or business postal addresses, an email address and a password. In addition to required member information, we may conduct surveys and ask users to volunteer demographic information to be used on an aggregate basis for internal market research and/or joint research projects with outside companies involved in product development. You may also ask us to import your contacts by giving us access to your Device(s), third party services (for example, your email account) or to use your social networking information if you give us access to your account on social network connection services. You may also provide us with your contactsâ€™ email addresses when sharing folders or ",886,<first>,<what>
Files,files,100.0,2246,sub,"files with them. You may also provide us access to your SMS (messages) list, Call logs, and Calendar events from your Device(s) for backup.Files- We collect and store the files and data you transmit between your Devices and IDrive Inc. infrastructure using our Services.",270,<first>,<what>
Session Records,Session Records,100.0,2519,sub,"Session Records- To maintain our quality of service and to assist in the analysis of product performance, we may also gather data on connection information, including the timing and size of all packets sent over the Internet during a session, session date and times, Device Internet Protocol (""IP"") address, browser type, Device name and/or identification number, and other interactions with the Service. The gathered information is used to ensure the highest quality experience possible.",488,<first>,<what>
Cookies,Cookies,100.0,3009,sub,Cookies,7,<first>,<what>
Cookies,Cookies,100.0,3009,sub,"-  We use ""cookies"" to collect information and improve our Services. A cookie is a small data file that we transfer to your Device. We may use ""persistent cookies"" to save your registration ID and sign in password for future sign in to the Service. We may use ""session ID cookies"" to enable certain features of the Service, to better understand how you interact with the Service and to monitor aggregate usage and web traffic routing on the Service. The cookies are used solely for identifying user sessions and do not store any personal information regarding the user. You can instruct your browser, by changing its options, to stop accepting cookies or to prompt you before accepting a cookie from the websites you visit. If you do not accept cookies, however, you may not be able to use all aspects of the Service.",817,<first>,<what>
What Do We Do With Gathered Information?,What Do We Do With Gathered Information?,100.0,3835,main,What Do We Do With Gathered Information?,40,<first>,<why>
What Do We Do With Gathered Information?,What Do We Do With Gathered Information?,100.0,3835,main,"Information gathered by us may be used: (i) to provide and improve our Service, (ii) to administer your use of the Service, (iii) to better understand your needs and interests, (iv) to personalize and improve your experience, (v) to provide or offer software updates and (vi) to provide product announcements. For example, email addresses provided by you may be used to send periodic information about our Services and related products. In order to present the best possible product to the public, we track the category of services selected by our individual users as well as all information pertaining to user satisfaction. We reserve the right to maintain evaluation and feedback records indefinitely.",703,<first>,<why>
What Do We Do With Gathered Information?,What Do We Do With Gathered Information?,100.0,3835,main,Our website provides users the opportunity to opt-out of receiving communications from us at the point where we request information about the visitor. If you wish to not receive future communications or to no longer receive our service you can go to your personal profile (after signing in to our Service) and uncheck the option to receive communications regarding our services or use the unsubscribe link within email communications.,434,<first>,<why>
Who Do We Share Information With?,Who Do We Share Information With?,100.0,5015,main,"Who Do We Share Information With?We do not voluntarily share personally identifiable information with any third party without the user's express consent or unless compelled by applicable state and federal laws (see below). We do not control the practices of our affiliates. If you have questions about how affiliates use the information gathered when you link to them, please read their privacy policies. Our site may contain links to other sites. We are not responsible for the privacy practices or the content of such websites.",529,<third>,<why>
Users,Users,100.0,5546,sub,"Users-   We will display your personal information in your profile page. You can review and revise your profile information at any time by accessing your account settings. We may also share or disclose your information with your consent, for example if you use a third party application to access your account (see below).",322,<third>,<error>
