decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Personal Data Protection Policy,Personal data protection policy,100.0,0,main,Personal data protection policy - France MÃ©dias MondeLanguageFranÃ§aisEnglishEspaÃ±olØ§Ù„Ø¹Ø±Ø¨ÙŠØ©FulfuldeHausaKiswahiliMandenkanPortuguÃªsPortuguÃªs do BrasilRomÃ¢nÄƒÐ ÑƒÑÑÐºÐ¸Ð¹Ð£ÐºÑ€Ð°Ñ—Ð½ÑÑŒÐºÐ°Tiáº¿ng Viá»‡tåŽè¯­è¯èªžáž—áž¶ážŸáž¶ážáŸ’áž˜áŸ‚ážšÙØ§Ø±Ø³ÛŒÙ¾ÚšØªÙˆel.select.noDataLegal noticePrivacy policyCookiesPreference CenterContactCareersPublic tendersWebsitesRFIFrance 24MCDThe ObserversLe franÃ§ais facile avec RFIRFI MusicRFI InstrumentalRFI PlanÃ¨te RadioRFI AdvertisingMondoblogAcadÃ©mieCFI,511,<generic>,<other>
Personal Data Protection Policy,Personal data protection policy,100.0,0,main,"InfoMigrantsDocumentsFrance MÃ©dias Mondewatch andÂlisten toÂthe worldPersonal data protection policyAs part of its activities and in accordance with the regulations applicable in France and in Europe, particularly the EU General Data Protection Regulation, France MÃ©dias Monde is committed to ensuring the protection, confidentiality and security of the personal data of its users, customers, prospects and suppliers, as well as to respecting their privacy.",459,<generic>,<other>
Personal Data Protection Policy,Personal data protection policy,100.0,0,main,"The Personal Data Protection Policy applies to the data collection and processing performed on the websites of France MÃ©dias Monde (the ""Websites""), online applications for smartphones, tablets and other mobile devices (the ""Apps""), as well as the use of our services or online content.Our Websites and Apps are not intended for minors unless authorised by their legal representatives.",386,<generic>,<other>
Personal Data Protection Policy,Personal data protection policy,100.0,0,main,"The Personal Data Protection Policy may be subject to changes. It is specified that France MÃ©dias Monde may amend the Personal Data Protection Policy at any time, including to adapt it to current legislation. Users are made aware of these modifications simply through their publication online. We recommend that you regularly check the current version available.The Personal Data Protection Policy sets out the principles and methods of the data processing.",458,<generic>,<other>
Principles of data and privacy protection,Principles of data and privacy protection,100.0,1870,main,Principles of data and privacy protection,41,<generic>,<other>
"1. Fair collection of the personal data of its customers, prospects and users","1. Fair collection of the personal data of its customers, prospects and users",100.0,1912,sub,"1. Fair collection of the personal data of its customers, prospects and usersThe data is collected in a fair and transparent way. France MÃ©dias Monde is prohibited from collecting personal data without first informing the persons concerned, including what their data is used for.France MÃ©dias Monde collects this data in order to:provide the services requested by its users and customers,meet the management needs of its users, its customers and prospects.",458,<first>,<how-used>
"1. Fair collection of the personal data of its customers, prospects and users","1. Fair collection of the personal data of its customers, prospects and users",100.0,1912,sub,France MÃ©dias Monde informs users of: the placing of cookies and other trackers on the websites it produces; their purposes; the legal basis; and the option to object to them.For more information: Click hereCookies,215,<first>,<how-used>
"2. Use of the personal data of its customers, prospects and users","2. Use of the personal data of its customers, prospects and users",100.0,2593,sub,"2. Use of the personal data of its customers, prospects and usersFrance MÃ©dias Monde uses the data of natural persons for purposes of authentication, providing subscribed services and suggesting offers tailored to the needs of its customers, prospects and visitors. To this end, France MÃ©dias Monde is likely to carry out statistical studies based on this data.",363,<first>,<why>
"2. Use of the personal data of its customers, prospects and users","2. Use of the personal data of its customers, prospects and users",100.0,2593,sub,"France MÃ©dias Monde complies with the legal framework in force concerning the protection of personal data and the conditions of security and confidentiality. France MÃ©dias Monde only communicates the personal data to its authorised service providers and ensures that they meet strict conditions of confidentiality, use and protection of this data.",349,<first>,<why>
"2. Use of the personal data of its customers, prospects and users","2. Use of the personal data of its customers, prospects and users",100.0,2593,sub,"France MÃ©dias Monde is prohibited from communicating the personal data to business partners without informing its customers, prospects and visitors, and without having offered them the opportunity to exercise their right to object.",232,<first>,<why>
"3. Necessary measures to ensure the security of the personal data of its customers, prospects and users","3. Necessary measures to ensure the security of the personal data of its customers, prospects and users",100.0,3541,sub,"3. Necessary measures to ensure the security of the personal data of its customers, prospects and usersFrance MÃ©dias Monde ensures the protection of the personal data entrusted to it, from the design stage and throughout the lifecycle of the services of the sites or apps.It implements security measures appropriate to the degree of sensitivity of the data in order to protect personal data against malicious intrusion, any loss, alteration or disclosure to unauthorised third parties.",486,<security>,<other>
"3. Necessary measures to ensure the security of the personal data of its customers, prospects and users","3. Necessary measures to ensure the security of the personal data of its customers, prospects and users",100.0,3541,sub,"The information system, servers and networks that it uses to process and store personal data have security and protection systems (data encryption, firewall, redundancy, backup, etc.).It guarantees the security of the information exchanged in transactions or payments.It only issues access permissions for its information system to those who need them to perform their duties.",376,<security>,<other>
"3. Necessary measures to ensure the security of the personal data of its customers, prospects and users","3. Necessary measures to ensure the security of the personal data of its customers, prospects and users",100.0,3541,sub,It educates its employees on the protection of the personal data made available to them as part of their duties and ensures that they comply with the rules in force and company's ethics.It requires its suppliers to adhere to these same principles of protection.,261,<security>,<other>
Data protection at France MÃdias Monde,Data protection at France MÃ©dias Mond,97.36842105263158,4672,main,Data protection at France MÃ©dias Monde,39,<generic>,<other>
1. What data is collected and how?,1. What data is collected and how?,100.0,4712,sub,"1. What data is collected and how?By browsing our Websites or using our Apps and services, France MÃ©dias Monde, its service providers or business partners may collect data subject to your prior consent.Some data is communicated to us directly by you, such as your first and last names, email address, password, phone number, complaints or opinions you might share with us.This information is provided when:",407,<first>,<what>
1. What data is collected and how?,1. What data is collected and how?,100.0,4712,sub,"you create an account on The France 24 Observers (EN, FR, AR, FA, ES) Ma RFI and/or Le franÃ§ais facile avec RFI,you participate in a game or competition,you contact us and fill out a form,you write a comment,you subscribe to one of our newsletters,you download and use our mobile apps.",286,<first>,<what>
1. What data is collected and how?,1. What data is collected and how?,100.0,4712,sub,"Some data, subject to your prior consent, may be collected automatically as a result of your actions on the Websites and apps through cookies or similar technologies such as IP address, connection and browsing data, your preferences and hobbies, and general geographic location.This information is provided whenever you browse our Websites and Apps.",349,<first>,<what>
2. What are the purposes of the data collected about you?,2. What are the purposes of the data collected about you?,100.0,5766,sub,"2. What are the purposes of the data collected about you?We use the collected data to:Provide content and services which:recognise you when you return to browse our Websites or use our Apps;manage your User accounts and inform you of updates about your accounts and the services you use;reply to your requests expressed on our Websites and Apps, including on forms;offer you Services and personalised content according to your general geographic location (country);",465,<first>,<why>
2. What are the purposes of the data collected about you?,2. What are the purposes of the data collected about you?,100.0,5766,sub,"allow you to write comments about the content of our Websites and Apps;customise the display of content and Services;send you newsletters and push notifications, news alerts;Advertise our content and services, and those of our partners, which:offer content tailored to your interests and carry out targeted advertising;send communications and analyse their effectiveness;Perform studies and analyses on our content and services in order to:better understand the users of our Websites and Apps;",493,<first>,<why>
2. What are the purposes of the data collected about you?,2. What are the purposes of the data collected about you?,100.0,5766,sub,perform data analysis and statistical studies to develop and improve our Websites or Apps;To ensure the security of your data.,126,<first>,<why>
3. Who are the recipients of the data collected?,3. Who are the recipients of the data collected?,100.0,6867,sub,"3. Who are the recipients of the data collected?The data collected on the Sites and Apps are intended for France MÃ©dias Monde.They may be transmitted or accessed by the service providers of France MÃ©dias Monde in the context of performing processing, data analysis and computer services.",289,<third>,<error>
3. Who are the recipients of the data collected?,3. Who are the recipients of the data collected?,100.0,6867,sub,"France MÃ©dias Monde requires its service providers to only use your personal data to manage the services entrusted to them, in accordance with the regulations applicable for the protection of personal data and confidentiality of this data.France MÃ©dias Monde informs you that it has reached agreements with the business partners that may collect data about you. France MÃ©dias Monde has no visibility regarding this data. We invite you to consult the list of our main partners in the policy on cookies:Cookies.",512,<third>,<error>
4. Where is your personal data stored?,4. Where is your personal data stored?,100.0,7675,sub,"4. Where is your personal data stored?Your personal data is stored inside the European Union, either in our databases or in those of our service providers.In some cases, and mainly for technical reasons, data may be stored on servers located outside the European Union.",269,<first>,<error>
5. Data transfers outside the EU,5. Data transfers outside the EU,100.0,7947,sub,"5. Data transfers outside the EUDue in particular to the international dimension of France MÃ©dias Monde, some of our partners are located outside the European Union. The data collected may therefore be transferred to countries outside the European Union which have different personal data protection legislation from those inside the European Union.",350,<third>,<when>
5. Data transfers outside the EU,5. Data transfers outside the EU,100.0,7947,sub,"In this case, France MÃ©dias Monde implements the means to ensure the security and confidentiality of such data and ensures that the transfer meets the legal framework: the transfer to a country ensuring a sufficient level of protection, signature of contractual clauses issued by the European Commission, or any other regulatory or contractual means to ensure a sufficient level of protection.",394,<third>,<when>
5. Data transfers outside the EU,5. Data transfers outside the EU,100.0,7947,sub,"France MÃ©dias Monde strictly requires its partners to only use your personal data to manage or provide the services requested, and also asks its partners to always act in compliance with the applicable laws on personal data protection and pay particular attention to the confidentiality of such data.Transfers outside the European Union may be carried out, in particular, as part of our subsequent activities such as computer services on the systems in France MÃ©dias Monde.",475,<third>,<when>
6. How and for how long is your data stored?,6. How and for how long is your data stored?,100.0,9171,sub,"6. How and for how long is your data stored?France MÃ©dias Monde implements all administrative, technical and physical measures to protect personal data.Personal data is stored for the duration required for the processing purposes for which it was collected except where retention for a longer duration is required by law, regulations or for trial purposes.Examples:Purpose(s)DataStorage durationBusiness contactsFirst and last name, company, email address, message12 months from the last exchange",497,<retention>,<when>
6. How and for how long is your data stored?,6. How and for how long is your data stored?,100.0,9171,sub,"To report a problem, make a comment or suggestion about the WebsiteFirst and last name, email address, name and version of the browser used, message12 months from the last exchangeTo contact a journalist or presenter from France MÃ©dias MondeFirst and last name, email address, message12 months from the last exchange7. ",320,<retention>,<when>
What are your rights?,What are your rights?,100.0,10004,main,"What are your rights?France MÃ©dias Monde is committed to respecting the exercising of all of the rights of its customers, prospects, and visitors, with regard to access, correction, additional information and objection. As of 25 May 2018, the persons concerned also have limitation, portability and erasure rights (right to be forgotten).",339,<choice>,<other>
What are your rights?,What are your rights?,100.0,10004,main,"France MÃ©dias Monde has appointed a Data Protection Officer, who is the principal contact for the protection of personal data, both within France MÃ©dias Monde as well as in its relations with, on the one hand, the French Data Protection Authority (CNIL) and, on the other hand, the persons concerned.People can exercise their rights by sending a request accompanied by proof of identity:",389,<choice>,<other>
What are your rights?,What are your rights?,100.0,10004,main,"by post to the following address: France MÃ©dias Monde â€“ Legal Department â€“ Data Protection Officer â€“ 80 rue Camille Desmoulins â€“ 92130 Issy les Moulineaux â€“ Franceor by email to: dpd@francemm.comWhere your request for right of access, rectification or objection relates to the data collected by a partner of France MÃ©dias Monde, we invite you to contact that partner, in their capacity as controller.",412,<choice>,<other>
What are your rights?,What are your rights?,100.0,10004,main,"For information on the protection of personal data, you may consult the website of the French Data Protection Authority:CNIL.",125,<choice>,<other>
