decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Multimedia Editor Apps ,23,<error>,<error>
Privacy Policy,Privacy Policy,100.0,23,main,Privacy Policy: Birthday Video Maker Privacy Policy,51,<generic>,<error>
Multimedia Editor Apps Privacy Policy,Multimedia Editor Apps Privacy Policy,100.0,75,main,Multimedia Editor Apps Privacy Policy,37,<generic>,<error>
Birthday Video Maker Privacy Policy,Birthday Video Maker Privacy Policy,100.0,113,main,Birthday Video Maker Privacy PolicyPrivacy Policy,49,<generic>,<error>
Our Privacy Policy for Birthday Video Maker,Our Privacy Policy for Birthday Video Maker,100.0,164,main,Our Privacy Policy for ,23,<generic>,<error>
Birthday Video Maker,Birthday Video Maker,100.0,187,main,"Birthday Video MakerBirthday Video Makerandroid app under developer name of Photos And Video Apps, respect and protect all user's personal privacy.  Birthday Video Maker DO NOT use and disclose your ",199,<generic>,<error>
PERSONAL INFORMATION,personal information,100.0,388,main,"personal information. Except as otherwise provided in this privacy policy this information will not be disclosed or provided to third parties.  Birthday Video Maker update this privacy policy from time to time. At the time you agree Birthday Video Maker service agreement, you are deemed to have agreed to all of the contents of this privacy policy.PERSONAL INFORMATION",369,<first>,<what>
PERSONAL INFORMATION,personal information,100.0,388,main,"Since no data transmitted over Internet or stored on Internet, users can be guaranteed to be absolutely secure. Birthday Video Maker cannot ensure or warrant",157,<first>,<what>
Data Security, the security,76.92307692307692,916,sub," the security of any personally identifiable information you are transmitting to the websites or posting it on non-public (restricted or private) pages. You understand and acknowledge that the submission of any such information by you via the Internet or posting it on non-public (restricted or private) pages is at your own risk. To prevent unauthorised access, maintain data accuracy, and ensure the correct use of information,Birthday Video Maker maintains appropriate physical, electronic, and procedural safeguards.",520,<security>,<what>
NON PERSONAL INFORMATION,NON PERSONAL INFORMATION,100.0,1437,main,"NON PERSONAL INFORMATIONWe may collect and use non-personal information in the following circumstances. To have a better understanding in user's behavior, solve problems in products and services, improve our products, services and advertising, we may collect non-personal information such as the data of install and uninstall, frequency of use, country, equipment and channel.",376,<first>,<what>
MODIFICATIONS TO APPLICATION,MODIFICATIONS TO APPLICATION,100.0,1815,main,"MODIFICATIONS TO APPLICATIONBirthday Video Maker reserves the right to modify, suspend or discontinue, temporarily orpermanently, the Application or any service to which it connects, with or without notice and without liability to you.",235,<change>,<how-used>
LINKS TO THIRD PARTY APPS OR WEBSITES,LINKS TO THIRD PARTY APPS OR WEBSITES,100.0,2053,main,LINKS TO ,9,<third>,<other>
Third Party Apps or Websites,THIRD PARTY APPS OR WEBSITES,100.0,2062,sub,"THIRD PARTY APPS OR WEBSITESBirthday Video Maker may contain links to and from third party Apps of our business partners, advertisers, and social media sites. If you follow a link to any of these apps or websites, please note that these apps or websites have their own privacy policies and that we do not accept any responsibility or liability for their policies. Please check the individual policies before you submit any information to those apps or websites.",461,<third>,<how-gathered>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,2525,main,Link to privacy policy of third party service providers used by the app,71,<third>,<how-gathered>
Google Play Services,Google Play Services,100.0,2597,sub,Google Play Services,20,<third>,<how-gathered>
AdMob,AdMob,100.0,2618,sub,AdMob,5,<third>,<how-gathered>
Firebase Analytics,Firebase Analytics,100.0,2624,sub,Firebase Analytics,18,<third>,<how-gathered>
Facebook Audience Network,Facebook Audience Network,100.0,2643,sub,Facebook Audience Network,25,<third>,<how-gathered>
HOW OUR APP USES PERMISSIONS,HOW OUR APP USES PERMISSIONS,100.0,2669,main,HOW OUR APP USES PERMISSIONS,28,<access>,<error>
Photos/Media/Files,Photos/Media/Files,100.0,2698,sub,Photos/Media/Files:Read the contents of your phone memory and SD Card and create media files and also delete files as per your action taken.,140,<access>,<how-gathered>
View Wi-Fi Connections,View Wi-Fi Connections,100.0,2840,sub,View Wi-Fi Connections:This permission is used to check your wifi-connections status.,85,<access>,<how-gathered>
Full Network Access,Full Network Access,100.0,2927,sub,Full Network Access:This permission is used to access the device's network for certain functions including get content from api's and display ads.,146,<access>,<how-gathered>
UPDATE PRIVACY POLICY,UPDATE PRIVACY POLICY,100.0,3075,main,"UPDATE PRIVACY POLICYWe may update Privacy Policy from time to time. When we change the policy in a material way, a notice will be provided along with the updated Privacy Policy.",178,<change>,<when>
CONTACT US,CONTACT US,100.0,3255,main,"CONTACT USIf you have any questions or concerns about our Privacy Policy or data processing, please contact us: multimediaeditorapps@gmail.com©Photo And Video AppGo On.Email ThisBlogThis!Share to TwitterShare to FacebookShare to PinterestNo comments:Post a CommentHomeSubscribe to:Posts (Atom)About MeMultimedia Editor App Privacy PolicyView my complete profileSimple theme. Powered byBlogger.",393,<contact>,<other>
