decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy – SeattleAPPSSkip to contentSeattleAPPSMenuHomeAboutContactPrivacyPrivacySeattleAPPS ,93,<error>,<error>
Privacy Policy,Privacy Policy,100.0,102,main,Privacy Policy,14,<error>,<error>
Effective Date,Effective Date,100.0,117,main,"Effective Date: January 1, 2017. Last revised on January 1,2017.AtSeattleAPPS(“our” “us” or “we”) we recognize that privacy isimportant. This Privacy Policy (“Policy”) applies to all your use of theSeattleAPPSapplications, the related services we provide. We has created this Policyto explain our privacy practices so you will understand what information aboutyou is collected, used and disclosed with respect to the Applications and the",437,<error>,<error>
Effective Date,Effective Date,100.0,117,main,"Services. By using any Application and the Services€, you consent to the privacypractices described in this Policy.",115,<error>,<error>
1. WHAT KIND OF INFORMATION WE COLLECT,1. WHAT KIND OF INFORMATION WE COLLECT,100.0,681,main,1. WHAT KIND OF INFORMATION WE COLLECT,38,<generic>,<error>
Personal Information,Personal Information,100.0,720,main,"Personal Information.Wedo notcollect Personal Information.“Personal Information” is information that identifies you or another person,which may be transmitted or received when you use an Application, the Servicesand/or the Site. Personal Information includes your geographic locationinformation, names, physical addresses, email addresses, telephone, fax andother device numbers, social security numbers, calendar entries stored withinyour Device, contact entries stored within your Device, files, content,",506,<first>,<error>
Personal Information,Personal Information,100.0,720,main,"photographs, location information and other metadata in photographs and otherinformation you transmit or receive using an Application, the Services, and/orthe Site which identifies you or another personNon-PersonalInformation.We collect ",237,<first>,<error>
Non-Personal Information,Non-Personal Information,100.0,1478,main,"Non-Personal Information. “Non-Personal Information”is information that does not identify you or any other individual, and includes",131,<first>,<error>
Session and Usage Data,Session and Usage Data,100.0,1611,sub,Session and Usage Data and ,27,<first>,<error>
Log Data,Log Data,100.0,1638,sub,"Log Data, each as described below.Session and Usage Data.“Session and Usage Data” is information about your use of anApplication, the Services and/or the Site and includes, without limitation,connection and service-related data submitted to us through your use of anApplication, the Services or the Site. Session and Usage Data includesinformation relating to the connection request, server communication and datasharing, including network measurements, quality of service, and date, time and",492,<first>,<error>
Log Data,Log Data,100.0,1638,sub,"location of the bump. Please note that Session and Usage Data does not includeany Personal Information nor does it include Content you may transmit or sharethrough the use of an Application (such as photos, contacts, calendarappointments, etc.), the Services, or the Site.Log Data.When you interact with us or use an Application, the Services or our Site, our systemsmay automatically collect your unique User Device number, the IP address, type",445,<first>,<error>
Log Data,Log Data,100.0,1638,sub,"of browser or operating system you use, and the dates and times of your use(“Log Data”). Information helps us understand trends in our Users’ needs so thatwe can better consider new features or otherwise tailor the Applications, theServices and the Site.",254,<first>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,2848,main,2. HOW WE USE YOUR INFORMATION,30,<first>,<error>
Personal Information,Personal Information,100.0,2879,main,"Personal Information. Since we do not collect Personal Information, we maynot use your Personal Information in any way. ",120,<first>,<error>
Non-Personal Information,Non-Personal Information,100.0,3000,main,"Non-Personal Information. We mayuse Non-Personal Information for any purpose, including for our own internalpurposes; to measure traffic patterns; to understand demographics, customerinterest, and other trends among our Users; to provide, improve and modify theApplications, Services and the Site; and for promotion and marketing purposes.We do not combine Non-Personal Information with Personal Information (such ascombining your name with your unique User Device number).",473,<first>,<error>
3. THIRD-PARTY SITES,3. THIRD-PARTY SITES,100.0,3480,main,"3. THIRD-PARTY SITESThis Policy only covers our collection, use and disclosure of yourinformation through the Applications, the Services and the Site. It does notcover any collection, use or disclosure by third parties through anyapplications, Web sites, products or services that we do not control or own,such as Facebook, or any third party features or services made available via anApplication, the Services or the Site. We shall not be liable for the",454,<third>,<error>
3. THIRD-PARTY SITES,3. THIRD-PARTY SITES,100.0,3480,main,"collection, use and disclosure of your Personal Information by any thirdparties. Although we don’t collect any Personal Information, the Applications,the Services and the Site use third party services, which may do so. Theseservices are:• Google Admob. Their privacy policy can be foundhere:http://www.admob.com/home/privacy• Google Mobile App Analytics. Their privacy here:http://www.google.com/analytics/mobile.",413,<third>,<error>
4. SECURITY,4. SECURITY,100.0,4363,main,"4. SECURITYSeattleAPPSis very concerned about safeguarding the confidentiality ofyour information. We do not collect Personal Information, and we employadministrative, physical and electronic measures designed to protect yourNon-Personal Information from unauthorized access and use.",283,<security>,<error>
5. CONTACTING US / REPORTING VIOLATIONS,"5. CONTACTING US / REPORTING
VIOLATIONS",97.43589743589743,4652,main,"5. CONTACTING US / REPORTINGVIOLATIONSIf you have any questions or comments about this Policy or our privacypractices, or to report any violations of the Policy or abuse of an Application,the Services or the Site, please contact us atguanxiyis@gmail.comLike this:LikeLoading...Search for:SocialView #’s profile on FacebookView wordpressdotcom’s profile on TwitterView #’s profile on InstagramView #’s profile on PinterestView #’s profile on LinkedInWebsite Built with WordPress.com.",482,<choice>,<error>
5. CONTACTING US / REPORTING VIOLATIONS,"5. CONTACTING US / REPORTING
VIOLATIONS",97.43589743589743,4652,main,"Privacy & Cookies: This site uses cookies. By continuing to use this website, you agree to their use.To find out more, including how to control cookies, see here:Cookie PolicyFollowFollowingSeattleAPPSSign me upAlready have a WordPress.com account?Log in now.SeattleAPPSCustomizeFollowFollowingSign upLog inCopy shortlinkReport this contentView post in ReaderManage subscriptionsCollapse this bar%dbloggers like this:",417,<choice>,<error>
