decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Ursa Games privacy policy,Ursa Games privacy policy,100.0,0,main,"Ursa Games privacy policy – Ursa Games Privacy policySkip to contentUrsa Games Privacy policyUrsa Games privacy policyUrsa Games and its games and other applications (“we,” “our” or “us”) believe that your privacy is very important. This Policy outlines the types data that we will collect from you through the various games and applications we provide (“Apps”). Your installation and/or use of these Apps and/or submission of information to us constitute your consent to this Privacy Policy. This Privacy Policy is effective as of March 29, 2014 and was last modified on july 23, 2019.",586,<generic>,<error>
Only one type of information we may collect through your use of the Apps,Only one type of information we may collect through your use of the Apps,97.22222222222221,591,main,Only one type of information we may collect through your use of the Apps:​1. Non-personal “Usage Data” which is anonymous data about your use of the Apps that is tied to your computer and/or device through which you use the Apps.,229,<first>,<error>
Usage Data That We Collect and How We Collect It,Usage Data That We Collect and How We Collect It,100.0,824,main,"Usage Data That We Collect and How We Collect It We may collect the following Usage Data when you make use of the Apps: your game progress, play time, score and achievements",173,<first>,<error>
Use Usage Data That We Collect,Use Usage Data That We Collect,100.0,998,main,"Use Usage Data That We CollectUsage Data may be used by us for administrative, analytical, research, optimization, security and other purposes.",143,<first>,<error>
More info,More info,100.0,1142,main,"More infoIf you need more information about Ursa Games developer policy please contacting us atstore.ursagames@gmail.comShare this:TwitterFacebookLikeLoading...Ursa Games Privacy policy,Blog at WordPress.com.",208,<first>,<error>
Privacy & Cookies,Privacy & Cookies,100.0,1362,main,"Privacy & Cookies: This site uses cookies. By continuing to use this website, you agree to their use.To find out more, including how to control cookies, see here:",162,<third>,<error>
Cookie Policy,Cookie Policy,100.0,1526,main,Cookie Policy,13,<third>,<error>
Subscribe,Subscribe,100.0,1540,main,SubscribeSubscribedUrsa Games Privacy policy,44,<generic>,<error>
Sign me up,Sign me up,100.0,1587,main,Sign me up,10,<generic>,<error>
Already have a WordPress.com account?,Already have a WordPress.com account?,100.0,1598,main,Already have a WordPress.com account?,37,<generic>,<error>
Log in now,Log in now,100.0,1636,main,Log in now.Ursa Games Privacy policy,36,<error>,<error>
Customize,Customize,100.0,1674,main,Customize,9,<generic>,<error>
Subscribe,Subscribe,100.0,1684,main,SubscribeSubscribed,19,<generic>,<error>
Sign up,Sign up,100.0,1705,main,Sign up,7,<generic>,<error>
Log in,Log in,100.0,1713,main,Log in,6,<generic>,<error>
Copy shortlink,Copy shortlink,100.0,1720,main,Copy shortlink,14,<generic>,<error>
Report this content,Report this content,100.0,1735,main,Report this content,19,<generic>,<error>
View post in Reader,View post in Reader,100.0,1755,main,View post in Reader,19,<generic>,<error>
Manage subscriptions,Manage subscriptions,100.0,1775,main,Manage subscriptions,20,<generic>,<error>
Collapse this bar,Collapse this bar,100.0,1796,main,Collapse this bar%d,19,<generic>,<error>
Design a site like this with WordPress.com,Design a site like this with WordPress.com,100.0,1817,main,Design a site like this with WordPress.com,42,<generic>,<error>
Get started,"
Get starte",90.9090909090909,1859,main,Get started,11,<generic>,<error>
