decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyStyle Apps develops the applications, which collects personal data of its users. This document will explain how we use this data.",157,<generic>,<error>
Summary,Summary,100.0,160,main,Summary,7,<generic>,<error>
"We do not use the data to identify people or to share, under any circumstances, with third parties.","We do not use the data to identify people or to share, under any circumstances, with third parties.",100.0,168,sub,"We do not use the data to identify people or to share, under any circumstances, with third parties. ",100,<first>,<error>
The data is collected only so that the application works as expected.,The data is collected only so that the application works as expected.,100.0,268,sub,The data is collected only so that the application works as expected. ,70,<first>,<error>
The application is not available to users under 13 years and the functionality will be limited for users under 18 years.,The application is not available to users under 13 years and the functionality will be limited for users under 18 years.,100.0,338,sub,The application is not available to users under 13 years and the functionality will be limited for users under 18 years.,120,<audience>,<error>
We collect and use personal data of users for the following purposes,We collect and use personal data of users for the following purposes,100.0,459,main,We collect and use personal data of users for the following purposes,68,<first>,<error>
Content by users,Content by users,100.0,528,sub,"Content by usersThe application allows its users to share images. A system of this kind needs to recognize its users for several reasons such as administration, security, block in case of misuse, and so on.",206,<first>,<error>
Interactivity between users,Interactivity between users,100.0,736,sub,"Interactivity between usersThe application insentiva users to interact with each other, so users need a name and a profile picture to be recognizable.",150,<first>,<error>
Advertising,Advertising,100.0,888,sub,AdvertisingWe use data to offer users the best possible experience to show ads.,79,<first>,<error>
Data collected by the application,Data collected by the application,100.0,969,main,Data collected by the application,33,<first>,<error>
"When installed, the application site retrieves the device ID","When installed, the application site retrieves the device ID",100.0,1003,sub,"When installed, the application site retrieves the device ID, which is used to avoid conflicts with multiple installations or multiple instances of the application.",164,<first>,<error>
If the application requires users to identify themselves using their personal Facebook account,If the application requires users to identify themselves using their personal Facebook account,100.0,1168,sub,"If the application requires users to identify themselves using their personal Facebook account, we obtain the following personal data (if available):First, second and last nameProfile pictureEmailGenderBirthdateLocationLanguageAfter collecting the available data and register the user in the system, a form is presented in which the following information is requested, if it could not have been collected from the user profile:First nameGenderBirthdateBelow we explain how we use this data.",490,<first>,<error>
"Names, last name, and profile picture","Names, last name, and profile picture",100.0,1671,main,"Names, last name, and profile picture",37,<first>,<error>
We use this data for the sole purpose of making the user recognizable on the system for other users,We use this data for the sole purpose of making the user recognizable on the system for other users,100.0,1709,sub,"We use this data for the sole purpose of making the user recognizable on the system for other users. Each user is assigned their respective name, and is presented with a picture of their Facebook profile.",204,<first>,<error>
Gender and location,Gender and location,100.0,1914,main,Gender and location,19,<first>,<error>
The application makes public the list of users,The application makes public the list of users,100.0,1934,sub,"The application makes public the list of users, so they can interact with each other through private chat. This list can be filtered by gender, location and age.",161,<first>,<error>
Date of birth,Date of birth,100.0,2096,main,Date of birth,13,<first>,<error>
We use this information to calculate the user’s age for security reasons,We use this information to calculate the user’s age for (1) security rea,94.44444444444444,2110,sub,"We use this information to calculate the user’s age for (1) security reasons: the application will prevent any interaction with other users if the user is under 18 years old, and (2), ",184,<first>,<error>
It’s also needed to filter the user list,it’s also needed to filter the user list,100.0,2294,sub,it’s also needed to filter the user list as described in Gender and location. It should be noted that the application is rated for young audience.,146,<first>,<error>
Language,Language,100.0,2441,main,Language,8,<first>,<error>
This data will be used to show the user content in their language,This data will be used to show the user content in their language,100.0,2450,sub,"This data will be used to show the user content in their language, if available.",80,<first>,<error>
Email,Email,100.0,2531,main,Email,5,<first>,<error>
We use email as a unique identifier of users,We use email as a unique identifier of users,100.0,2537,sub,"We use email as a unique identifier of users, since eventually we will support registration through Google+ and Twitter. Also, ",127,<first>,<error>
We will subscribe the email to a bulletin,we will subscribe the email to a bulletin,100.0,2664,sub,"we will subscribe the email to a bulletin that will send emails from time to time with application updates, and promotions of other applications developed by The Company. The user can unsubscribe from this newsletter at any time.",229,<first>,<error>
Chat history,Chat history,100.0,2894,main,Chat history,12,<first>,<error>
We will record the conversations between users,We will record the conversations between users,100.0,2907,sub,"We will record the conversations between users. This data is not monitored in any way, or used for any purpose other than as a history for the participants in the conversation. Users involved are fully responsible for what they say in the conversation.",252,<first>,<error>
Third party libraries,Third party libraries,100.0,3160,main,Third party libraries,21,<third>,<error>
The application uses the following libraries developed by other companies,The application uses the following libraries developed by other companies,100.0,3182,sub,"The application uses the following libraries developed by other companies, that makes use of user data. To find out about their privacy policies, please follow the appropriate link.Google Play Services AdsGoogle Play Services Locationhttp://www.google.com/policies/privacy/",273,<first>,<error>
Manage your information,Manage your information,100.0,3459,main,Manage your information,23,<choice>,<error>
Currently there is no way to delete your user account partially and/or totally,Currently there is no way to delete your user account partially and/or totally,100.0,3483,sub,Currently there is no way to delete your user account partially and/or totally.,79,<not>,<error>
Responsibility,Responsibility,100.0,3563,main,Responsibility,14,<not>,<error>
