decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Community Matrimony, Matrimony, Indian MatrimonyCommunityMatrimony.comFrom Matrimony.com GroupKeep me logged inForgot Password?CommunityMatrimonyLoginHomeRegisterUpgradeTake a TourMobileAre you sure you want to delete this Saved Search?",236,<error>,<error>
Privacy Policy,Privacy Policy,100.0,251,main,"Privacy PolicyCommunitymatrimony.com, is an online matrimonial portal endeavoring constantly to provide you with premium matrimonial services. Since we are strongly committed to your right to privacy, we have drawn out a privacy statement with regard to the information we collect from you.We use a secure server for credit card transactions to protect the credit card information of our clients and Cookies are used to store the login information.",448,<generic>,<error>
What information you need to give in to use these sites?,What information you need to give in to use these sites?,100.0,702,main,"What information you need to give in to use these sites?We gather information from members and guests who apply for the various services our site offers. It includes, but may not be limited to, email address, first name, last name, a user-specified password, mailing address, zip code and telephone number or fax number.",320,<generic>,<how-gathered>
What information you need to give in to use these sites?,What information you need to give in to use these sites?,100.0,702,main,"If you establish a credit account with us to pay the fees we charge, we collect some additional information, including billing address, credit card number , credit card expiration date and tracking information from checks or money orders.How the site uses the ",260,<generic>,<how-gathered>
Information we collect,information it collect,90.9090909090909,1285,sub,information it collects/tracks?Communitymatrimony.com collects information from its clients primarily to ensure that we are able to fulfill your requirements and to deliver Personalised experience.With w,203,<first>,<what>
How the site uses the information it collects/tracks?,hom the site shares the information it collects/track,92.45283018867924,1490,main,hom the site shar,17,<first>,<how-used>
Use of information,es the information,77.77777777777779,1507,sub,"es the information it collects/tracks?The information collected from our clients will not be shared with any individual or organization without the client's approval.Communitymatrimony.com does not sell, rent, or loan any identifiable information at the individual level, regarding its customers to any third party. Any information you give to us is held with utmost care and security. We are also bound to cooperate fully should a situation arise where we are required by law or legal process to provide information about a customer.",534,<first>,<why>
Do all visitors have to pay?,Do all visitors have to pay?,100.0,2044,main,"Do all visitors have to pay?NO. All visitors to our site may browse the site, search the ads and features of our sites has to offer without providing / entering any personal information or paying money. However, Paid members enjoy certain privileges which is mentioned elsewhere in the site.Can users contact any number of profiles in a single day?",348,<not>,<other>
Do all visitors have to pay?,Do all visitors have to pay?,100.0,2044,main,"As a paid member of this site, you have the privilege to contact hundreds of profiles in a single day. However, there is a specified limit to 100 contacts for security reasons per day . If you want to contact more profiles than the specified limit in a single day, he/she can do so after the completion of 12 hours of their login time.",335,<not>,<other>
Notice,Notice,100.0,2731,main,"NoticeWe may change this Privacy Policy from time to time based on feedback from clients  or as a result of a change of policy in our company.If you have any questions regarding our Privacy Statement, please write in toprivacy@communitymatrimony.com",249,<choice>,<other>
About Us,About Us,100.0,2984,main,About UsCommunityMatrimony.com is the only portal in the history of online matrimony to provide matrimony services solely based on community. It has dedicated approximately 300+ portals for various communities across the globe..more »,234,<first>,<other>
Our Other Services,Our Other Services,100.0,3221,main,Our Other ServicesEliteMatrimony.comMandap.comWeddingBazaar.com,63,<first>,<other>
Help & Support,Help & Support,100.0,3288,main,Help & Support24x7 Live helpContact usFeedbackFAQs,50,<choice>,<other>
Quick Links,Quick Links,100.0,3343,main,Quick LinksSafe MatrimonyTerms and ConditionsPrivacy PolicyFacebookCopyright © 2023. All rights reserved.This website is strictly for matrimonial purpose only and not a dating websiteCongrats!You are now a Platinum memberSend Unlimited Personalized MessagesGet 100 Free AstroMatchesChat with Prospects DirectlyUnlimited Contact Views*Receive personalized messages even from free membersGet StartedWhatsApp your photos to us!Take photo ofyourself1Add+91 8695922899to your contact list2Send your photos,500,<generic>,<other>
Quick Links,Quick Links,100.0,3343,main,with Matrimony Idthrough WhatsApp!3,35,<generic>,<other>
