decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Yara Digital Farming ,21,<error>,<error>
Privacy Policy,privacy policy,100.0,21,main,"privacy policy | Yara InternationalYou are now leaving yara.comYou are about to leave yara.com and enter:Yes, I understand.No, I want to stay.Skip to main contentToggle country language navigationSearchToggle main menu navigationSearchWhat we offerCrop nutritionOur global fertilizer brandsOur fertilizer product rangeCrop and agronomy knowledgeHow we make our fertilizerWhy is fertilizer important?Digital farmingOur digital solutionsOur farmers talk about our solutionsIndustrial NitrogenCareersInvestors",506,<generic>,<error>
Privacy Policy,privacy policy,100.0,21,main,"News and mediaSustainabilityTransforming the food systemRegenerative agricultureThe food value chainGreen fertilizersDriving sustainability in EuropeAgoro Carbon AllianceYara Clean AmmoniaSustainability performanceReports and publicationsCommitments and policiesSustainable Development GoalsOur opinionsAboutYara at a glanceOur ambitionMission, vision and valuesCorporate governanceManagement and BoardOur organizationOur historyEthics and complianceProtecting people and the environmentYara Industrial Solutions",512,<generic>,<error>
Privacy Policy,privacy policy,100.0,21,main,Supplier informationWhere we operateChoose a countrySearchPrivacy and legalDigital farming privacy policyWhat we offerCrop nutritionOur global fertilizer brandsOur fertilizer product rangeCrop and agronomy knowledgeHow we make our fertilizerWhy is fertilizer important?Digital farmingOur digital solutionsOur farmers talk about our solutionsIndustrial NitrogenCareersInvestorsNews and mediaSustainabilityTransforming the food systemRegenerative agricultureThe food value chainGreen fertilizers,493,<generic>,<error>
Privacy Policy,privacy policy,100.0,21,main,"Driving sustainability in EuropeAgoro Carbon AllianceYara Clean AmmoniaSustainability performanceReports and publicationsCommitments and policiesSustainable Development GoalsOur opinionsAboutYara at a glanceOur ambitionMission, vision and valuesCorporate governanceManagement and BoardOur organizationOur historyEthics and complianceProtecting people and the environmentYara Industrial SolutionsSupplier informationWhere we operateChoose a locationYou are currently atYara Global websiteEuropeBelgiëBelgique",507,<generic>,<error>
Privacy Policy,privacy policy,100.0,21,main,Česká republikaDanmarkDeutschlandEestiEspañaFranceHrvatskaIrelandItaliaLatvijaLietuvaMagyarországNederlandNorgePolskaPortugalRomâniaSerbiaSuomiSverigeUnited KingdomΕλλάςБългарияРоссияУкраїнаAmericasArgentinaBoliviaBrasilCanada EnCanada FrChileColombiaCosta RicaEcuadorGuatemalaMéxicoPanamaPerúUnited StatesAsia and OceaniaAustraliaIndiaIndonesiaMalaysiaMyanmarNew ZealandPhilippinesVietnamไทย대한민국中国AfricaCameroonCamerounCôte d’IvoireGhanaKenyaMarocSouth AfricaTanzaniaZambiaHomePrivacy and legal,495,<generic>,<error>
Privacy Policy,privacy policy,100.0,21,main,"Yara Digital Farming privacy policyYara digital farming privacy policyThis privacy policy describes our privacy practices, and your rights, as to ",146,<generic>,<error>
What Personal Data Do We Collect?,the personal data that we collect,81.81818181818181,2846,sub,the personal data that we collect and use in connection with our digital farming solutions.Select your language belowDeutsch - DEEnglish - ENEspañol - ESFrançaise - FRPortuguês - PTThai - THCode of ConductWhere we operateSitemapContact usYara International ASADrammensveien 1310277 Oslo - NorwayTel:+47 24 15 70 00Vis,317,<first>,<error>
How to Contact Us,it our Contact us,76.47058823529412,3179,main,it our Contact us pageNavigateYara at a glanceCareersInvestor relationsCrop nutritionFollow usfacebooktwitterlinkedinyoutubeinstagramrssSafety data sheetsPrivacy and legal2023 YaraBack to topChoose a locationYou are currently atYara Global websiteEuropeBelgiëBelgiqueČeská republikaDanmarkDeutschlandEestiEspañaFranceHrvatskaIrelandItaliaLatvijaLietuvaMagyarországNederlandNorgePolskaPortugalRomâniaSerbiaSuomiSverigeUnited KingdomΕλλάςБългарияРоссияУкраїнаAmericasArgentinaBoliviaBrasilCanada EnCanada FrChile,510,<contact>,<error>
How to Contact Us,it our Contact us,76.47058823529412,3179,main,ColombiaCosta RicaEcuadorGuatemalaMéxicoPanamaPerúUnited StatesAsia and OceaniaAustraliaIndiaIndonesiaMalaysiaMyanmarNew ZealandPhilippinesVietnamไทย대한민국中国AfricaCameroonCamerounCôte d’IvoireGhanaKenyaMarocSouth AfricaTanzaniaZambia,231,<contact>,<error>
