decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy for [Apps Style]If you require any more information or have any questions about our privacy policy, please feel free to contact us by email at [info.appsstyle@gmail.com ].We consider the privacy of our visitors to be extremely important. This privacy policy document describes in detail the types of personal information is collected and recorded by our Apps and how we use it.",392,<generic>,<error>
Log Files,Log Files,100.0,395,main,"Log FilesWe want to inform you that whenever you use our Service, in a case of an error in the app we collect data and information (through third party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (IP) address, device name, operating system version, the configuration of the app when utilizing our Service, the time and date of your use of the Service, and other statistics.",446,<generic>,<error>
Cookies,Cookies,100.0,843,main,"CookiesCookies are files with small amount of data that is commonly used an anonymous unique identifier. These are sent to your browser from the website that you visit and are stored on your device internal memory.This Service does not use these â€œcookiesâ€ explicitly. However, the app may use third party code and libraries that use â€œcookiesâ€ to collection information and to improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",616,<tracking>,<error>
Our Advertising Partners,Our Advertising Partners,100.0,1463,main,Our Advertising PartnersWe may disclose Non-personal data to third parties or allow third party to collect Non-personal data through their own embedded system. In order to deliver ads to you the third party advertisement companies may place or recognize unique cookies and identify non-personal information.We use only AdMob by Google and Facebook Audience Network by Facebook. For more information please visit Google and Facebook Privacy Policies.,449,<third>,<error>
Information Collection and Use (third party),Information Collection and Use (third party),100.0,1914,main,"Information Collection and Use (third party)We may use third party services that may collect information used to identify you. The information collects and shares automatically for advertising, analytics , and fraud prevention purposes.",236,<third>,<error>
Link to privacy policy of third party service providers used by the apps are...,Link to privacy policy of third party service providers used by the apps are ..,98.73417721518987,2152,main,Link to privacy policy of third party service providers used by the apps are ...,80,<first>,<error>
Google Play Services,Google Play Services,100.0,2233,sub,Google Play Services,20,<third>,<error>
Firebase Analytics,Firebase Analytics,100.0,2254,sub,Firebase Analytics,18,<third>,<error>
Facebook Audience Network,Facebook Audience Network,100.0,2273,sub,Facebook Audience Network,25,<third>,<error>
Google Analytics for Firebase,Google Analytics for Firebase,100.0,2299,sub,Google Analytics for Firebase,29,<third>,<error>
Firebase Crashlytics,Firebase Crashlytics,100.0,2329,sub,Firebase Crashlytics,20,<third>,<error>
Facebook (Meta),Facebook (Meta),100.0,2350,sub,Facebook (Meta),15,<third>,<error>
Children's Information,Children's Information,100.0,2366,main,"Children's InformationWe believe it is important to provide added protection for children online. We encourage parents and guardians to spend time online with their children to observe, participate in and/or monitor and guide their online activity.Our Apps does not knowingly collect any personally identifiable information from children under the age of 13.  If a parent or guardian believes that Our Apps has in its database the personally-identifiable information of a child under the age of 13, please contact us immediately (using the contact in the first paragraph) and we will use our best efforts to promptly remove such information from our records.",658,<audience>,<error>
Permissions,Permissions,100.0,3027,main,"PermissionsOur Applications May require permission to perform certain task according to opertation and applications performances, but we do not collect any of the informations.Permissions we require from users are  ...",218,<access>,<error>
Microphone Access,Microphone Access,100.0,3248,sub,Microphone Access,17,<access>,<error>
Modify or delete the content of your storage:,Modify or delete the content of your storage:,100.0,3266,sub,Modify or delete the content of your storage:,45,<access>,<error>
Read the contact of your USB storage:,Read the contact of your USB storage:,100.0,3312,sub,Read the contact of your USB storage:,37,<access>,<error>
Control vibration,Control vibration,100.0,3350,sub,Control vibration,17,<access>,<error>
Read Phone Status and Identity,Read Phone Status and Identity,100.0,3368,sub,Read Phone Status and Identity,30,<access>,<error>
Read your contacts,Read your contacts,100.0,3399,sub,Read your contacts,18,<access>,<error>
Camera and Flash Blinking,Camera and Flash Blinking,100.0,3418,sub,Camera and Flash Blinking,25,<access>,<error>
Find Account on device,Find Account on device,100.0,3444,sub,Find Account on device,22,<access>,<error>
Online Privacy Policy Only,Online Privacy Policy Only,100.0,3467,main,Online Privacy Policy OnlyThis privacy policy applies only to our online activities and is valid for visitors to our Apps and regarding information shared and/or collected there.This policy does not apply to any information collected offline or via channels other than our Apps.,278,<region>,<error>
Consent,Consent,100.0,3748,main,"ConsentBy using our Apps, you hereby consent to our privacy policy and agree to its terms.",90,<choice>,<error>
Update,Update,100.0,3840,main,"UpdateWe may update our Privacy Policy from time to time. Thus, you are advised to review this page periodically for any changes.These changes are effective immediately after they are posted on this page.",204,<change>,<error>
