decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"PocketBook Reader Mobile application privacy noticeAbout usProductsWhere to buyFOR BUSINESSCloudAppNewsSupportENDEITPocketBook Reader Mobile application privacy noticeThis privacy policy came into force on May 25, 2018This privacy policy has been updated onDecember 27,2021. The previous versions can be foundhere",313,<error>,<error>
INTRODUCTION,INTRODUCTION,100.0,331,main,INTRODUCTIONWelcome to the PocketBook reader mobile application privacy notice.PocketBook reader mobile application respects your privacy and is committed to protecting your personal data. This privacy notice will inform you as to how we look after your personal data when you use your PocketBook reader mobile application and tell you about your privacy rights and how the law protects you.,391,<generic>,<other>
INTRODUCTION,INTRODUCTION,100.0,331,main,This privacy notice is provided in a layered format so you can click through to the specific areas set out below. Please also use the Glossary to understand the meaning of some of the terms used in this privacy notice.,218,<generic>,<other>
IMPORTANT INFORMATION AND WHO WE ARE,IMPORTANT INFORMATION AND WHO WE ARE,100.0,944,main,IMPORTANT INFORMATION AND WHO WE ARETHE DATA WE COLLECT ABOUT YOUHOW IS YOUR PERSONAL DATA COLLECTEDHOW WE USE YOUR PERSONAL DATADISCLOSURES OF YOUR PERSONAL DATAINTERNATIONAL TRANSFERSDATA SECURITYDATA RETENTIONYOUR LEGAL RIGHTSGLOSSARY1. IMPORTANT INFORMATION AND WHO WE ARE,276,<generic>,<other>
PURPOSE OF THIS PRIVACY NOTICE,PURPOSE OF THIS PRIVACY NOTICE,100.0,1231,sub,PURPOSE OF THIS PRIVACY NOTICE,30,<generic>,<why>
PURPOSE OF THIS PRIVACY NOTICE,PURPOSE OF THIS PRIVACY NOTICE,100.0,1231,sub,"This privacy notice aims to give you information on how Pocketbook International SA collects and processes your personal data through your use of your mobile application under the brand PocketBook (“Application”), including any data you may provide through Application or by using other services of Pocketbook International SA or our partners. We also own, operate and offer related services and products lik: e-Readers, Bookland, Readrate, Sent to PocketBook, Cloud and Support for e-Readers. We refer to e-Readers, together with our other services as (“Services”) in this policy. Services are part of the PocketBook Group Services and Products, which belong to PockeBook International SA, based in Lugano, Switherland. More information about PockeBook International SA is available at",786,<generic>,<why>
PURPOSE OF THIS PRIVACY NOTICE,PURPOSE OF THIS PRIVACY NOTICE,100.0,1231,sub,"https://www.pocketbook.ch.The Services are not intended for children under 16 and Pocketbook International SA do not knowingly collect data relating to children. Users must be at least 16 years old or older to register for a Services Account to use the PocketBook Services. If a parent or guardian believes that Pocketbook International SA has in its database the personal information of a child under the age of 16, please contact us atprivacy@pocketbook-int.com",463,<generic>,<why>
PURPOSE OF THIS PRIVACY NOTICE,PURPOSE OF THIS PRIVACY NOTICE,100.0,1231,sub,and we will use our best efforts to remove the information from our records.It is important that you read this privacy notice together with any other privacy notice or fair processing notice we may provide on specific occasions when we are collecting or processing personal data about you so that you are fully aware of how and why we are using your data. This privacy notice supplements the other notices and is not intended to override them.,443,<generic>,<why>
PURPOSE OF THIS PRIVACY NOTICE,PURPOSE OF THIS PRIVACY NOTICE,100.0,1231,sub,"If you do not agree with this policy, do not access or use our Services or interact with any other aspect of our business.CONTROLLERPocketbook International SA is the controller and responsible for your personal data (collectively referred to as “PocketBook”, “we”, “us” or “our”) in this privacy notice.If you have any questions about this privacy notice, including any requests to exercise your legal rights under the GDPR, please contact us by emailprivacy@pocketbook-int.com.",479,<generic>,<why>
PURPOSE OF THIS PRIVACY NOTICE,PURPOSE OF THIS PRIVACY NOTICE,100.0,1231,sub,"CHANGES TO THE PRIVACY NOTICE AND YOUR DUTY TO INFORM US OF CHANGESThis version was last updated onDecember 27,2021.We may revise the provisions of this Privacy Notice as necessary. The latest version of the Privacy Notice will govern the terms of use of your personal data by us and it will always be published athttps://pocketbook.ch/en-ch/reader-mobile-privacy-noticeTHIRD-PARTY LINKS",387,<generic>,<why>
PURPOSE OF THIS PRIVACY NOTICE,PURPOSE OF THIS PRIVACY NOTICE,100.0,1231,sub,"Applications may have links to third-party websites, plug-ins and applications. Clicking on those links or enabling those connections may allow third parties to collect or share data about you. We do not control these third-party websites, plug-ins and applications and are not responsible for their privacy statements. However, we use some third-party services, listed below. For more information, please follow sections 4 and 5 hereof.2.",439,<generic>,<why>
