decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
LEGAL NOTICES,LEGAL NOTICES,100.0,0,main,"LEGAL NOTICESThis application is edited by MWM, a French simplified joint-stock company (SAS), with a capital of 2098,79 euros, with registered offices at 54, Avenue du Général Leclerc, 92100, Boulogne Billancourt, France, registered in the Nanterre Trade and Companies Register under number 513 627 299, Tel: +33 9 82 29 20 98, (hereinafter “MWM”)The Head of Publication is Jean-Baptiste Hironde.",397,<error>,<error>
LEGAL NOTICES,LEGAL NOTICES,100.0,0,main,"The App is hosted on the Google Play Store, with servers geographically located in data centres in the world, with registered offices at 1600 Amphitheatre Parkway inMountain View, California, United States, and can be contacted through the following link: https://support.google.com/?hl=en.",290,<error>,<error>
TERMS OF USE FOR THE STREAM APPLICATION,TERMS OF USE FOR THE STREAM APPLICATION,100.0,695,main,TERMS OF USE FOR THE STREAM APPLICATIONLast updated: 2021-07-22,63,<generic>,<error>
DEFINITIONS,DEFINITIONS,100.0,760,main,DEFINITIONS,11,<generic>,<error>
App:,App:,100.0,772,sub,"App:the Stream application, developed by MWM;",45,<generic>,<error>
Premium Services:,Premium Services:,100.0,819,sub,Premium ,8,<generic>,<error>
Services:,Services:,100.0,827,sub,"Services:the paid services offered by MWM on the App, either through subscription or in-app purchase;Services:the services offered by MWM on the App, as further described in these Terms of Use;",193,<generic>,<error>
Terms of Use:,Terms of Use:,100.0,1024,sub,"Terms of Use:the present document called ""Terms of Use for the Stream Application"";",83,<generic>,<error>
"User, You:","User, You:",100.0,1109,sub,"User, You:any App user holding a User Account, or using the App without being registered;",89,<generic>,<error>
User Account:,User Account:,100.0,1200,sub,User Account:your personal account on theApp;,45,<generic>,<error>
Youtube Content :,Youtube Content :,100.0,1248,sub,"Youtube Content :third party content available through the use of Google’s API (such as text, images, videos, audio, or software) hosted by Youtube.",148,<generic>,<error>
SCOPE OF APPLICATION,SCOPE OF APPLICATION,100.0,1398,main,"SCOPE OF APPLICATIONThe purpose of the Terms of Use is to define the conditions under which you may use the App, and the ",121,<generic>,<error>
