decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"KisoftSearch this siteSkip to main contentSkip to navigationKisoftPrivacy PolicyWe take privacy very seriously.Kisoft (""us"", ""we"", or ""our"") operates this mobile application (the ""Service"").This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Service and the choices you have associated with that data.",367,<error>,<error>
,,-1.0,0,,"We use your data to provide and improve the Service. By using the Service, you agree to the collection and use of information in accordance with this policy. Unless otherwise defined in this Privacy Policy,  the terms used in this Privacy Policy have the same meanings as in our Terms and Conditions.",300,<error>,<error>
Collected User Information,Collected User Information,100.0,677,main,Collected User InformationOur apps do use third-party services that may collect information used to identify you. Below you can find a link to the privacy policy of third party service providers used by our apps,211,<generic>,<what>
Google AdMob,Google AdMob,100.0,890,sub,Google AdMob,12,<first>,<how-gathered>
Google Play Services,Google Play Services,100.0,903,sub,"Google Play ServicesDevice information data may be collected, such as mobile advertising ID, operating system version, hardware information, etc.",145,<first>,<how-gathered>
Purpose of User Information,Purpose of User Information,100.0,1050,main,Purpose of User InformationThe collected user Information shall be used for any of the following purposes:,106,<first>,<why>
1) to provide our services to you;,1) to provide our services to you;,100.0,1158,sub,1) to provide our services to you;,34,<first>,<error>
2) to provide you with better advertising and direct marketing experience;,2) to provide you with better advertising and direct marketing experience;,100.0,1193,sub,2) to provide you with better advertising and direct marketing experience;,74,<first>,<error>
3) for aggregated customer analytics and market research purposes.,3) for aggregated customer analytics and market research purposes.,100.0,1268,sub,3) for aggregated customer analytics and market research purposes.,66,<first>,<error>
Log Data,Log Data,100.0,1335,main,"Log DataWe want to inform you that whenever you use our Service, in a case of an error in the app we collect data and information (through third-party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing our Service, the time and date of your use of the Service, and other statistics.",447,<first>,<what>
Cookies,Cookies,100.0,1784,main,"CookiesCookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory.This Service does not use these “cookies” explicitly. However, the app may use third-party code and libraries that use “cookies” to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device.",514,<first>,<what>
Service Providers,Service Providers,100.0,2301,main,Service ProvidersWe may employ third-party companies and individuals due to the following reasons:,98,<third>,<what>
To facilitate our Service;,To facilitate our Service;,100.0,2401,sub,To facilitate our Service;,26,<third>,<how-used>
To provide the Service on our behalf;,To provide the Service on our behalf;,100.0,2428,sub,To provide the Service on our behalf;,37,<third>,<how-used>
To perform Service-related services;,To perform Service-related services;,100.0,2466,sub,To perform Service-related services; or,39,<third>,<how-used>
To assist us in analyzing how our Service is used.,To assist us in analyzing how our Service is used.,100.0,2506,sub,"To assist us in analyzing how our Service is used.We want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",313,<third>,<how-used>
Security,Security,100.0,2821,main,"SecurityWe value your trust in providing us with your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and we cannot guarantee its absolute security.",322,<security>,<why>
Children’s Privacy,Children’s Privacy,100.0,3145,main,"Children’s PrivacyThese Services do not address anyone under the age of 13. We do not knowingly collect personally identifiable information from children under 13. In the case we discover that a child under 13 has provided us with personal information, we immediately delete this from our servers.",297,<audience>,<when>
Opt-out right,Opt-out right,100.0,3444,main,Opt-out rightYou may limit the disclosure of certain Non-Personal Information by your mobile Device to the Company and our business partners by adjusting the advertising settings on your mobile device.,201,<choice>,<other>
Modifications to this Privacy Policy,Modifications to this Privacy Policy,100.0,3647,main,Modifications to this Privacy PolicyThis Privacy Policy may be revised periodically. We will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.,242,<change>,<other>
Inquiries,Inquiries,100.0,3891,main,"InquiriesIf a user has any questions about this Privacy Statement or any complaints or comments on how the Company handles the user information related to the Service, please write tosoftierider@gmail.com.",205,<contact>,<other>
This Privacy Policy,This Privacy Policy,100.0,4100,main,"This Privacy Policy has been created by Kisoft, January 11, 2020.Report abuseGoogle SitesReport abuse",101,<generic>,<error>
