decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy - HomestylerFor Interior DesignersFor Brands & RetailersFor Real EstateFor SchoolsFor HomeownersFeaturesDesignFloor PlannerKitchen & Bath DesignCollaborationMobile AppVisualizationVideo RenderVirtual StudioVR & AR TechnologyService3D ModelingHome Design3D Content CreationProductsPricingCommunityGalleryChallengeTutorialStep-by-step instructions & helpful tipsForumDiscuss and share ideas about designWhat's NewSee AllAdded a brand-new construction drawing editing and exporting function.,503,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"New parametric windows and doors allow custom parameters.Support importing multi-floor DWG files and floors alignment .Structure Model supports rotation, tile flooring and other functions.Added arc wall drawing, wall alignment and etc. in the floor plan.Added the function of quickly replacing the same models ,and more465LearnBusinessAffiliateHOTSign InJoin NowFree welcome gift for you!EnglishEnglish简体中文繁體中文日本语françaisitalianoPORTUGUÊSESPAÑOLРУССКИЙSTART DESIGNINGJoin NowFree welcome gift for you!",501,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy(Effective as of October 22nd, 2020)",50,<generic>,<error>
Terms and Conditions,Terms and conditions,100.0,1116,main,"Terms and conditionswww.homestyler.com(“Homestyler”or, the“Platform”) is a business to consumer (or“B2C”) platform which provides online 3D interior design program to registered users (or “Users”).This Privacy Policy sets out the ways in which we collect, use and disclose information in connection with the operation of the Platform, including personal information about you, Platform users, visitors and representatives. This Privacy Policy also applies to use of the Platform via your mobile device.",502,<generic>,<error>
Terms and Conditions,Terms and conditions,100.0,1116,main,"If you are a registered member of the Platform, you are contracting with Topping Homestyler (Shanghai) Technology Co., Ltd.A. ",126,<generic>,<error>
Collection of Information,COLLECTION OF INFORMATION,100.0,1755,main,COLLECTION OF INFORMATIONThe personal information that we collect broadly falls into the following categories:,110,<first>,<error>
Information That You Provide To Us,Information That You Provide To Us,100.0,1867,sub,"Information That You Provide To Us:If you are a User,we will ask you to provide:a)contact informationincluding: name; email address;b)information about your purchases at Homestyler’s official online store on any other Platform operated by Third Partyincluding: the services purchased and how many;c)information about and/or to support complaintsmade in connection with the Platform and/or services purchased at Homestyler’s official online store on any E-Commerce Platform operated by Third Party;",497,<first>,<what>
Information That You Provide To Us,Information That You Provide To Us,100.0,1867,sub,"If you attend one of our industry events or other functions, contact detailssuch as user name, address, phone number, and email address.If you are a certified blogger / influencer for Homestylerwe may also ask you to provide us with your contact information and social media accounts / blog information.If you choose to provide us with any additional information, such as in responseto questionnaires for market research / analytics. ",434,<first>,<what>
Information That You Provide To Us,Information That You Provide To Us,100.0,1867,sub,"    This may include marital status, nationality, gender, date and/or year of birth, annual income, monthly spending and u ser preferences.     If you prefer not to provide such information, the use of our service es and products will not be affected.",251,<first>,<what>
Information That We Collect Automatically,Information That We Collect Automatically,100.0,3069,sub,"Information That We Collect Automatically:If you are an User or prospective User we will automatically collect:a)A copy of any correspondence with us,including any verification information we ask for, if you contact us for any reason (such as our customer service department chat service, telephone or email).b)Details of transactions and communications over the Platform and/or at other other Platform where Homestyler’s official online store is operated,",456,<first>,<what>
Information That We Collect Automatically,Information That We Collect Automatically,100.0,3069,sub,"including the types and specifications of the goods and/or services purchased, pricing and delivery information, any dispute records, communications between You and Homestyler over the Platform and any information disclosed in any discussion forum.c)Details of Platform using and browsing activities,for these purposes we will automatically collect information from your device. ",379,<first>,<what>
Information That We Collect Automatically,Information That We Collect Automatically,100.0,3069,sub,"    In some jurisdictions, including countries in the European Economic Area and the UK, this information may be considered as personal information under applicable data protection laws.     Specifically this collected information may include IP addresses, device type, unique device identification numbers, browser type, broad geographic location (e.g. country or city-level location), browsing patterns and details of how you have interacted with our Platform and the goods and services available on it. ",506,<first>,<what>
Information That We Collect Automatically,Information That We Collect Automatically,100.0,3069,sub,"    In addition, we gather information about the Platform and visitors to the Platform, including browser software, operating system, software and hardware attributes, pages viewed, number of sessions and unique visitors.     Some of this information may be collected using cookies and similar tracking technology, as explained further under the section E“COOKIES”",364,<first>,<what>
Information That We Collect Automatically,Information That We Collect Automatically,100.0,3069,sub,"below. Where we are required by applicable law, we will seek your prior consent to the collection of information using cookies and similar tracking technologies.     We also may derive or collect inferences about you based on your buying and browsing activity information and other information we have collected about you.If you are successfully certified by Homestyler as a blogger or an influencer, we may also collect your social media account handles and posts / comments made in relation to the Platform.",509,<first>,<what>
Information That We Receive From Third Parties,Information That We Receive From Third Parties,100.0,5302,sub,"Information That We Receive From Third Parties:If you are a User we may receive personal information about you from:a)Social media platforms if you choose to register for a Platform account via a social media account.Exactly what information we receive will depend on your privacy settings with the applicable platform, but would typically include basic public profile information such as:• Your social media user name, nickname or username• Your social media profile picture• Country",484,<third>,<what>
