decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"HomeSearch this siteSkip to main contentSkip to navigationPrivacy Policy of ""اذكار المسلم""auto athkar for muslims """"- ",118,<error>,<error>
What kind of personal data is collected?,What kind of personal data is collected?,100.0,125,main,What kind of personal data is collected?➢ ,42,<first>,<what>
Information relating to your device and the App settings,Information relating to your device and the App settings,100.0,168,sub,"Information relating to your device and the App settingsWe also receive, store and process information, including personal data, when you access or use the App, including but not limited to:device-specific information relating to your device for example your device brand and model, operating system version, device language, unique device identifiers (such as IDFA), and mobile network information (such as your mobile carrier);",429,<first>,<what>
Information relating to your device and the App settings,Information relating to your device and the App settings,100.0,168,sub,"your geolocation information, including but not limited to IP addresses used to connect your device to the internet, GPS data and network services data; andapplication specific information relating to the App for example the application version number, activity on the App, whether you use the App with a smart watch, the date you installed the App onto your device and the date you last used the App.Athkar Almuslim",416,<first>,<what>
Information relating to your device and the App settings,Information relating to your device and the App settings,100.0,168,sub,"collects the email of the user in order to keep his purchase safe if he uninstalled the app and re installed it.Additionally, the App makes use of third party libraries, SDKs, APIs and software (as set out in the Acknowledgement pages from time to time) which may also collect additional information. Please refer to the relevant third party’s privacy policy for more information on the third party’s processing of your data.-IN CASE OF INNAPP PURCHASEAthkar Almuslim",467,<first>,<what>
Information relating to your device and the App settings,Information relating to your device and the App settings,100.0,168,sub,collects the email of the user in order to keep his purchase safe if he uninstalled the app and re installed it.- ,114,<first>,<what>
How this information will be used by the company?,How this information will be used by the company?,100.0,1605,main,How this information will be used by the company?,49,<first>,<why>
"only to improve the app services within the app itself, we don't share the data no matter what.","only to improve the app services within the app itself , we don't share the data no matter what",98.94736842105263,1655,sub,"only to improve the app services within the app itself , we don't share the data no matter what.- ",98,<error>,<how-used>
Will this information transferred to third party companies?,Will this information transferred to third party companies?,100.0,1754,main,Will this information transferred to third party companies?,59,<third>,<what>
Nothing will be shared with third party.,Nothing will be shared with third party.,100.0,1814,sub,Nothing will be shared with third party.Report abusePage detailsPage updatedGoogle SitesReport abuse,100,<third>,<why>
