decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy  | apna.coPrivacy Policyapna app is a commercial app by Apnatime Tech Private Limited (""APNA""). This page is used to inform visitors regarding our policies with the collection, use, and disclosure of Personal Information for anyone using the app and website of APNA (""Apna Platform""). By using Apna Platform, you consent to the terms of our privacy policy (""Privacy Policy",387,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,""") in addition to our Terms of Service. We encourage you to read this Privacy Policy regarding the collection, use, and disclosure of your information from time to time to keep yourself updated with the changes & updated that we make to this Privacy Policy.",257,<generic>,<error>
Personal Identification Information,Personal Identification Information,100.0,653,main,"Personal Identification InformationIf you choose to use our Service, then you agree to the collection and use of information in relation to this policy. The Personal Identification Information that we collect is used for providing and improving the Service. We will not use or share your information with anyone except as described in this Privacy Policy.",355,<generic>,<what>
Personal Identification Information,Personal Identification Information,100.0,653,main,"The personal information you provide on Apna Platform when you fill out your profile is public, such as your name, location, gender, profile picture, education and professional info including where you are working. This is hereinafter called Public Profile. Your Public Profile will be published on apna.co/username. Your Public Profile can:Be associated with you on the internet",379,<generic>,<what>
Personal Identification Information,Personal Identification Information,100.0,653,main,"Show up when someone does a search on search engine We also use your Public Profile, to help connect you with friends and family which increases your and your friends' chances to find suitable job opportunities.We may collect Personal Identification Information of users including the information that is available on the internet, such as from Truecaller, Facebook, LinkedIn, Twitter and Google, or publicly available information that we acquire from service providers. We collect this information to identify users for better communication, processing and personalization of the Services provided by Applozic.",611,<generic>,<what>
Personal Identification Information,Personal Identification Information,100.0,653,main,"Non-personal Identification InformationWe may collect non-personal identification information about users whenever they interact with our site. Non-personal identification information may include the type of mobile phone and technical information about users, such as the operating system and the Internet service providers utilized including IP address and other similar information.Usage and Technical Information",415,<generic>,<what>
Personal Identification Information,Personal Identification Information,100.0,653,main,"We collect the information about how you interact with our Service. This information may include your IP address, geographical location, browser type, referral source, length of visit, pages viewed and items clicked.Information CollectionFor a better experience, while using our Service, you are required to provide us with certain personally identifiable information for your Public Profile, including but not limited to:Identity information",442,<generic>,<what>
Personal Identification Information,Personal Identification Information,100.0,653,main,", such as your first name, last name, gender, date of birth, username and/or similar as may be verified by voter ID card, PAN or driving license;Contact information, such as your mobile number, postal address, email address and telephone number;Professional information,",270,<generic>,<what>
Personal Identification Information,Personal Identification Information,100.0,653,main,"such as your education, work experience, skills, salary, photo, city, area and other relevant details. Professional information helps you to get more from our Services, including helping employers find you. Please do not post or add personal data to your resume that you would not want to be publicly available.Feedback and correspondence",338,<generic>,<what>
Personal Identification Information,Personal Identification Information,100.0,653,main,", such as information you provide when you respond to surveys, participate in market research activities, report a problem with Service, receive customer support or otherwise correspond with us;Usage information, such as information about how you use the Service and interact with us; andMarketing information, such as your preferences for receiving marketing communications and details about how you engage with them.",418,<generic>,<what>
Personal Identification Information,Personal Identification Information,100.0,653,main,"Apna Platform’s mission is to connect talent to job opportunities and employers to quality talent. We are committed to be transparent about the data we collect about you, how it is used and with whom it is shared.When you use the services of our customers and partners, such as employers or prospective employers and applicant tracking systems, we share your Public Profile (e.g., your job title and name of the company where you work) with prospective employers to enable you to get job interviews.",499,<generic>,<what>
Information We Collect,Information we collect,100.0,4406,sub,"Information we collectContacts List.When you sync your contacts with our Services, we import and store the contacts list to our servers. You have the option to deny us the access to your contacts list.We also receive personal data (including contact information) about you when others import or sync their contacts with our Services.Location Information.",354,<first>,<what>
Information We Collect,Information we collect,100.0,4406,sub,"When you give location permission, we access information that is derived from your GPS. We may use third-party cookies and similar technologies to collect some of this information.Storage.When you opt-in for storage permission, we access your device storage like gallery photos.Camera.Granting camera permission allows us to access the photo that you click to be displayed on your resume.Microphone.Voice and audio information when you use audio features.How we use itContacts List.",482,<first>,<what>
Information We Collect,Information we collect,100.0,4406,sub,We collect your contacts to help you keep growing your network by suggesting connections for you and your friends.Location Information.To provide you with location-based services like finding jobs near you.Storage.To allow you to select your profile picture from your existing photos in the gallery. A good resume photo helps you stand out among other candidates.Camera.To allow you to click your profile picture. A good resume photo helps you stand out among other candidates.Microphone.,488,<first>,<what>
Information We Collect,Information we collect,100.0,4406,sub,"To allow you to send audio messages within the app.Call.For enabling the Call HR feature of the app.To effectively provide and introduce any new Services to you, we collect and use certain information, including, but not limited to, such as:We may use your email id to send you updates on job opportunities.We log your visits and use of our Services.We receive data from your devices and networks, including location data.We may further request and store additional information.",478,<first>,<what>
Information We Collect,Information we collect,100.0,4406,sub,"To monitor usage or traffic patterns (including to track users' movements around the Services) and gather demographic information.To communicate directly with you, including by sending you information about new products and services.To deliver you a personalized experience. May come in the form of messages, delivering tailor-made ads based on your interest and browsing history.",380,<first>,<what>
Information We Collect,Information we collect,100.0,4406,sub,"To the extent permitted by the applicable law, we may record and monitor your communications with us to ensure compliance with our legal and regulatory obligations and our internal policies. This may include the recording of telephone conversations.How we protect your information?",281,<first>,<what>
Information We Collect,Information we collect,100.0,4406,sub,"We adopt appropriate data collection, storage and processing practices and security measures to protect against unauthorized access, alteration, disclosure or destruction of your personal information, username, password, transaction information and data stored on our app. The data is stored securely on our servers -https://apna.co&https://metrics.apna.co.Sharing your personal information",390,<first>,<what>
Information We Collect,Information we collect,100.0,4406,sub,"We do not sell, trade, or rent users personal identification information to any third party. We may share generic aggregated demographic information not linked to ",163,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"any personal identification information regarding visitors and users with our business partners, trusted affiliates and advertisers for the purposes outlined above.The app does use third-party services that may collect information used to identify you.Link to privacy policy of third-party service providers used by the appGoogle Play ServicesFirebaseMix PanelCleverTapBranchWe do not disclose, transfer or share your personal information with others except with:",463,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"Our affiliates and group companies to the extent required for our internal business and/or administrative purposes and/or general corporate operations and for provision of services aimed at helping you in your career enhancement;Companies, in the event you have posted jobs on Apna Platform on behalf of such companies;",319,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"Candidates who have applied to the job posted by you on the Platform, if we determine that the requirements of the job post, match with the resume of the candidate. By registering on the Platform and consenting to the terms of this Privacy Policy, you agree that we may contact you or share your contact details with the candidates for the purpose of the Services;",364,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"Potential recruiters/ job posters if we determine that your resume matches a particular job description/ vacancy available with such recruiters. By registering on the Platform and consenting to the terms of this Privacy Policy, you agree that we may contact you or forward your resume to potential recruiters;",309,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"Third parties including enforcement, regulatory and judicial authorities, if we determine that disclosure of your personal information is required to a) respond to court orders, or legal process, or to establish or exercise our legal rights or defend against legal claims; or b) investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person, violations of our Terms of Service or as otherwise required by law;",507,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"In the event of a merger, acquisition, financing, or sale of assets or any other situation involving the transfer of some or all of our business assets we may disclose personal information to those involved in the negotiation or transfer.Third party service providers and marketing partners that we engage to a) provide services over the Platform on our behalf; b) maintain the Platform and mailing lists; or c) communicate with you on our behalf about offers relating to its products and/or services. We will take reasonable steps to ensure that these third-party service providers are obligated to protect your personal information and are also subject to appropriate confidentiality / non-disclosure obligations.",715,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"You, hereby agree and acknowledge that you will use the information shared with you only for the purpose of the Services. You shall not use such information for any personal or other business purposes. In the event you are found to be misusing the information shared with you, we shall, at our sole discretion, delete your account with immediate effect and you will be blocked from using/ accessing Apna Platform in future.Log Data",431,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"Whenever you use our Service, including our sites, app and platform technology, such as when you view or click on content (e.g., learning video) or perform a search, install or update one of our mobile apps, post messages or apply for jobs and in a case of an error in the app we collect data and information (through third-party products) on your phone called Log Data. This Log Data may include information such as log-ins, cookies, your device Internet Protocol (""IP"") address, device name, operating system version, the configuration of the app when utilizing our Service, the time and date of your use of the Service, and other statistics to identify you and log your use.",677,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"CookiesCookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory.This Service does not use these ""cookies"" explicitly. However, the app may use third party code and libraries that use ""cookies"" to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",609,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"Service ProvidersWe may employ third-party companies and individuals due to the following reasons:To facilitate our Service; To provide the Service on our behalf; To perform Service-related services; or To assist us in analyzing how our Service is used. We want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",517,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"One-to-one messagesAPNA has access to the one-to-one messages of users of the app and we review these messages periodically for moderation of trust and safety related concerns. However, APNA never shares this data with any third-party.SecurityWe value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and we cannot guarantee its absolute security.",552,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"Links to Other SitesThis Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that these external sites are not operated by us. Therefore, we strongly advise you to review the Privacy Policy of these websites. We have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.Children's Privacy",431,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"These Services do not address anyone under the age of 13. We do not knowingly collect personally identifiable information from children under 13. In the case we discover that a child under 13 has provided us with personal information, we immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact us so that we will be able to do necessary actions.No Impersonation or False Information to be Provided",507,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"You have to use your actual name on the Platform, you are required to input your correct phone number to use our Services. You will be getting a job based on your APNA account. You will not falsely represent yourself as another person or representative of another person to use our Services. You will not lie about your details, for any reason.Trust and Safety",360,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"APNA takes the trust and safety all its users seriously. We do not allow content that promotes abuse, fraud, MLM/network marketing, job openings that charge fees, suicide, self-harm, or is intended to shock or disgust users. Strict action is taken against such content and with people posting such messages/content in the group.",328,<first>,<what>
Non-personal Identification Information,any personal identification information,92.3076923076923,7463,main,"To ensure the best possible experience for all the users of the app, we have established some basic guidelines called the Community Guidelines. The Community Guidelines gets updated periodically. You will be notified when this happens.DisclaimerApna does not hold any responsibility for any incident, fraud, cheat or crime that may happen to any users. We advise you to check an",378,<first>,<what>
Identity Information,d verify information,80.0,14969,sub,"d verify information of other users before proceeding with any transactions or interaction among users. Also, do not share your pr",130,<first>,<what>
Usage Information,ivate information,82.35294117647058,15099,sub,"ivate information on group, to prevent the use of such information for any un-safe purposes.When you see something inappropriate or come across an offending content, click on the 3 vertical dots on the top right corner of the post and choose to 'report' post. This alerts the admins about the post and allows for necessary action to be taken.What to do if you find suicide & self-injury related content",402,<first>,<what>
Usage Information,ivate information,82.35294117647058,15099,sub,"If you come across content in which someone expresses suicidal thoughts or is engaging in self-harm, click on the 3 vertical dots on the top right corner of the post and choose to 'report' post. This alerts the admins about the post and allows for necessary action to be taken.Changes to This Privacy Policy",307,<first>,<what>
Usage Information,ivate information,82.35294117647058,15099,sub,"We may update our Privacy Policy from time to time. Thus, you are advised to review this page periodically for any changes. We will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.Contact UsIf you have any questions or suggestions about our Privacy Policy, do not hesitate to ",377,<first>,<what>
Contacts List,contact us at,76.92307692307692,16192,sub,"contact us at:Apnatime Tech Private Limited 3rd Floor, 23, Plot No. 232, 1-KANGRA BHUVAN, Dr. Annie Besant Road,Worli, Mumbai, Maharashtra, 400030 Email: apna-playstore@apna.coLOOKING FOR JOBSJobs inAgraJobs inAhmedabadJobs inAhmednagarJobs inAjmerJobs inAligarhJobs inAmritsarJobs inAsansolJobs inAurangabadJobs inBareillyJobs inBelagaviJobs inBengaluruJobs inBhavnagarJobs inBhilaiJobs inBhopalJobs inBhubaneswarJobs inBikanerJobs inChandigarhJobs inChennaiJobs inCoimbatoreJobs inCuttackJobs inDehradunJobs in",512,<first>,<how-used>
