decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy and Policy,Privacy and Policy,100.0,0,main,"Privacy and PolicySkip to main contentJVB DevelopersSearchSearch This BlogPrivacy and PolicyThis is the Privacy Policy forJVB Developers. We want to introduce to our user with our privacy. In this Policy, we inform you that which kind of information we will collect from you while you use our application or any products.",321,<generic>,<error>
When you use our Mobile applications on Android Smart Device,"When you use our
Mobile applications on Android Smart Device",98.33333333333333,330,main,"When you use ourMobile applications on Android Smart Device, This Privacy Policy describes the information collected byJVB Developersthrough our mobile applications and how we use that information. Your privacy is important toJVB Developers. Sometimes we need information to provide services that you request; We are committed to protecting the privacy of all visitors.Our main aim to provide good service to all of you.",420,<generic>,<when>
Personal Information,Personal Information,100.0,757,main,Personal Information :,22,<first>,<what>
Take Photos and Videos,Take Photos and Videos,100.0,780,sub,Take Photos and Videos: This permission allows us to use your device’s camera to take photos / videos and turn ON/OFF Camera Flash.,131,<first>,<what>
Modify system settings,Modify system settings,100.0,913,sub,"Modify system settings: This permission is used in settings, in order to switch or adjust ringtone, vibration and brightness level of the screen.",145,<first>,<what>
Expand/collapse status bar,Expand/collapse status bar,100.0,1060,sub,Expand/collapse status bar: This permission is used for the gesture feature of User System to expand and collapse the status bar.,129,<first>,<what>
Anonymous identifiers,Anonymous identifiers,100.0,1191,sub,Anonymous identifiers: we use anonymous identifiers when you interact with services such as advertising services and others.,124,<first>,<what>
Photos / Media Files,Photos / Media Files,100.0,1317,sub,Photos / Media Files: Modify or delete the contents of your Storage.,68,<first>,<what>
Full network access,Full network access,100.0,1387,sub,Full network access: This permission is used to access the device’s network for certain functions including receiving update notifications or accessing app classification labels.,178,<first>,<what>
Connect and disconnect from Wi-Fi,Connect and disconnect from Wi-Fi,100.0,1567,sub,Connect and disconnect from Wi-Fi: This permission is used in settings and notification toolbar in order to connect and disconnect from Wi-Fi.,142,<first>,<what>
