decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"HomeSearch this siteSkip to main contentSkip to navigationRouter Admin Application, Privacy PolicyPrivacy PolicyAhmed Awadallah built the 192.168.1.1 Router Admin Setup app as an Ad Supported app. This SERVICE is provided by Ahmed Awadallah at no cost and is intended for use as is.This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.",442,<error>,<error>
,,-1.0,0,,"If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at 192.168.1.1 Router Admin Setup unless otherwise defined in this Privacy Policy.",497,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,949,main,Information Collection and Use,30,<generic>,<error>
"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Android Advertising ID, Router Passwords.","For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Android Advertising ID, Router Passwords.",100.0,980,sub,"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Android Advertising ID, Router Passwords. ",203,<error>,<error>
The information that I request will be retained on your device and is not collected by me in any way.,The information that I request will be retained on your device and is not collected by me in any way.,100.0,1183,sub,The information that I request will be retained on your device and is not collected by me in any way.,101,<error>,<error>
The app does use third party services that may collect information used to identify you.,The app does use third party services that may collect information used to identify you.,100.0,1285,sub,The app does use third party services that may collect information used to identify you.,88,<error>,<error>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,1374,main,Link to privacy policy of third party service providers used by the app,71,<third>,<error>
Google Play Services,Google Play Services,100.0,1446,sub,Google Play Services,20,<third>,<error>
AdMob,AdMob,100.0,1467,sub,AdMob,5,<third>,<error>
Firebase Analytics,Firebase Analytics,100.0,1473,sub,Firebase Analytics,18,<third>,<error>
Weplan Analytics,Weplan Analytics,100.0,1492,sub,Weplan Analytics,16,<third>,<error>
Log Data,Log Data,100.0,1509,main,Log Data,8,<error>,<error>
"I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data.","I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data.",100.0,1518,sub,"I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data. ",181,<error>,<error>
"This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.","This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",100.0,1699,sub,"This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",254,<error>,<error>
User data,User data,100.0,1954,main,User data,9,<first>,<error>
All users data will be collected if the user agreed so inside the application.,All users data will be collected if the user agreed so inside the application.,100.0,1964,sub,All users data will be collected if the user agreed so inside the application.,78,<error>,<error>
"After your agreement inside the Application,","After your agreement inside the Application,",100.0,2043,sub,"After your agreement inside the Application,",44,<error>,<error>
3. Weplan Analytics:,3. Weplan Analytics:,100.0,2088,sub,3. ,3,<first>,<error>
Weplan Analytics,Weplan Analytics,100.0,2091,main,Weplan Analytics:,17,<third>,<error>
We’ve partnered with Weplan Analytics help keep our app free and support the development of our app while respecting your privacy.,"We’ve partnered with
Weplan Analytics
help keep our app free and support the development of our app while respecting your privacy.",98.46153846153847,2109,sub,We’ve partnered withWeplan Analyticshelp keep our app free and support the development of our app while respecting your privacy.,128,<error>,<error>
Cumberland Solutions S.L. (Weplan Analytics) is a crowdsourcing mobile data and analytics company focused on the telecommunications industry.,"Cumberland Solutions S.L. (
Weplan Analytics
) is a crowdsourcing mobile data and analytics company focused on the telecommunications industr",98.58156028368793,2240,sub,Cumberland Solutions S.L. (Weplan Analytics) is a crowdsourcing mobile data and analytics company focused on the telecommunications industry. ,142,<error>,<error>
"Weplan Analytics collaborates with mobile operators, TowerCos and Telecommunications Regulatory Agencies in order to improve their network coverage through Business Intelligence Reports and Network Quality of Experience Dashboards.","Weplan Analytics collaborates with mobile operators, TowerCos and Telecommunications Regulatory Agencies in order to improve their network coverage through Business Intelligence Reports and Network Quality of Experience Dashboards.",100.0,2384,sub,"Weplan Analytics collaborates with mobile operators, TowerCos and Telecommunications Regulatory Agencies in order to improve their network coverage through Business Intelligence Reports and Network Quality of Experience Dashboards.",231,<error>,<error>
"Using this app and permitting Weplan Analytics to measure network performance linked with location data (from GPS or network-based location) in a pseudonymized manner, may help improve the performance of the networks you use.","Using this app and permitting Weplan Analytics to measure network performance linked with location data (from GPS or network-based location) in a pseudonymized manner, may help improve the performance of the networks you use.",100.0,2616,sub,"Using this app and permitting Weplan Analytics to measure network performance linked with location data (from GPS or network-based location) in a pseudonymized manner, may help improve the performance of the networks you use. ",226,<error>,<error>
"Weplan Analytics combines data collected from millions of devices, fully anonymizing data before providing their customers with network performance maps.","Weplan Analytics combines data collected from millions of devices, fully anonymizing data before providing their customers with network performance maps.",100.0,2842,sub,"Weplan Analytics combines data collected from millions of devices, fully anonymizing data before providing their customers with network performance maps.",153,<error>,<error>
"Weplan Analytics doesn't collect sensitive personal information like name, phone number or email, nor personal identifiers like Mobile Advertising ID, IMEI, IMSI or ICCID to ensure data is not attributed to particular and identifiable consumers.","Weplan Analytics doesn't collect sensitive personal information like name, phone number or email, nor personal identifiers like Mobile Advertising ID, IMEI, IMSI or ICCID to ensure data is not attributed to particular and identifiable consumers.",100.0,2996,sub,"Weplan Analytics doesn't collect sensitive personal information like name, phone number or email, nor personal identifiers like Mobile Advertising ID, IMEI, IMSI or ICCID to ensure data is not attributed to particular and identifiable consumers.",245,<third>,<error>
"To read more about what data is collected by Weplan Analytics and its privacy policy, please follow the link","To read more about what data is collected by Weplan Analytics and its privacy policy, please follow the
link",99.07407407407408,3242,sub,"To read more about what data is collected by Weplan Analytics and its privacy policy, please follow thelink",107,<choice>,<error>
Weplan Analytics Info:,Weplan Analytics Info:,100.0,3351,sub,Weplan Analytics Info:,22,<contact>,<error>
"6 Foronda Street, 2nd floor Center","6 Foronda Street, 2nd floor Center",100.0,3374,sub,"6 Foronda Street, 2nd floor Center",34,<error>,<error>
"Madrid, 28034","Madrid, 28034",100.0,3409,sub,"Madrid, 28034",13,<error>,<error>
Phone: 91 728 34 41,"Phone:
91 728 34 41",94.73684210526316,3423,sub,Phone:91 728 34 41,18,<error>,<error>
Email: info@weplananalytics.com,"Email:
info@weplananalytics.com",96.7741935483871,3443,sub,Email:info@weplananalytics.com,30,<error>,<error>
Cookies,Cookies,100.0,3475,main,Cookies,7,<generic>,<error>
Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers.,Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers.,100.0,3483,sub,Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers. ,102,<error>,<error>
These are sent to your browser from the websites that you visit and are stored on your device's internal memory.,These are sent to your browser from the websites that you visit and are stored on your device's internal memory.,100.0,3585,sub,These are sent to your browser from the websites that you visit and are stored on your device's internal memory.,112,<error>,<error>
This Service does not use these “cookies” explicitly.,This Service does not use these “cookies” explicitly.,100.0,3698,sub,This Service does not use these “cookies” explicitly. ,54,<not>,<error>
"However, the app may use third party code and libraries that use “cookies” to collect information and improve their services.","However, the app may use third party code and libraries that use “cookies” to collect information and improve their services.",100.0,3752,sub,"However, the app may use third party code and libraries that use “cookies” to collect information and improve their services. ",126,<tracking>,<error>
You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device.,You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device.,100.0,3878,sub,You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. ,114,<choice>,<error>
