decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyMusic & Game Inc created the â€œFree Musicâ€ app as a freemium and ad-supported app (the Service). The Service is provided by Music & Game Â Inc. at no cost and is intended for use as is. Children who are less than 13 years old are not authorized to use the Service.This document informs users regarding our policies with the collection, use, and disclosure of Personal Information if anyone decided to use the Service.",434,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"If you choose to use the Service, then you agree to the collection and use of information in relation with this policy. The Personal Information that we collect is used for providing and improving the Service. We will not use or share your information with anyone except as described in this Privacy Policy.The Service does use a third party services that may collect information used to identify you. The links to privacy policy of Google Play Services:https://www.google.com/policies/privacy/Â",495,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Other external services may have their own terms, and may have different practices. You are responsible for reviewing the Conditions of Use of all external services.You are responsible for taking the precautions to protect yourself against fraud while you are using external services, and you have to protect your systems against viruses, worms, trojan horses, and other harmful content or destructive and documents that can be included or may emanate from these external services.",481,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"The Service disclaims any liability for any damages arising from your use of external services, and you irrevocably waive any claim against the Service, regarding the content or functioning of all external services.",215,<generic>,<error>
Information Collection,Information collection,100.0,1635,main,Information collection,22,<generic>,<what>
"For a better experience while using the Service we collect information about the devices where you install or access the Service, depending on the permissions you have granted including but not limited to the operating system, hardware version, device settings, file and software names and types, battery and signal strength, device identifiers, advertisement identifiers, connection information such as the name of your mobile operator or ISP, language and time zone.","For a better experience while using the Service we collect information about the devices where you install or access the Service, depending on the permissions you have granted including but not limited to the operating system, hardware version, device settings, file and software names and types, battery and signal strength, device identifiers, advertisement identifiers, connection information such as the name of your mobile operator or ISP, language and time zone.",100.0,1658,sub,"For a better experience while using the Service we collect information about the devices where you install or access the Service, depending on the permissions you have granted including but not limited to the operating system, hardware version, device settings, file and software names and types, battery and signal strength, device identifiers, advertisement identifiers, connection information such as the name of your mobile operator or ISP, language and time zone.Â",469,<error>,<what>
"For a better experience while using the Service we collect information about the devices where you install or access the Service, depending on the permissions you have granted including but not limited to the operating system, hardware version, device settings, file and software names and types, battery and signal strength, device identifiers, advertisement identifiers, connection information such as the name of your mobile operator or ISP, language and time zone.","For a better experience while using the Service we collect information about the devices where you install or access the Service, depending on the permissions you have granted including but not limited to the operating system, hardware version, device settings, file and software names and types, battery and signal strength, device identifiers, advertisement identifiers, connection information such as the name of your mobile operator or ISP, language and time zone.",100.0,1658,sub,"In order to access some features of the Service, You may to connect to your Google account within the Service. Itâ€™s needed for importing your playlists to the Service.",169,<error>,<what>
How we use information we collect,How we use information we collect,100.0,2299,main,How we use information we collect,33,<first>,<why>
"We use the information we collect from the Service to provide, maintain, protect and improve the Service, to develop new features, and to protect Music & Game Inc. and our users.","We use the information we collect from the Service to provide, maintain, protect and improve the Service, to develop new features, and to protect Music & Game Inc. and our users.",100.0,2333,sub,"We use the information we collect from the Service to provide, maintain, protect and improve the Service, to develop new features, and to protect Music & Game Inc. and our users.Â",179,<error>,<how-used>
"We use the information to improve our advertising and measurement systems so we can show users relevant ads on and measure the effectiveness and reach of ads and services. We also use the information to send users marketing communications, communicate about the Service, let users know about our policies and respond to when users contact us.","We use the information to improve our advertising and measurement systems so we can show users relevant ads on and measure the effectiveness and reach of ads and services. We also use the information to send users marketing communications, communicate about the Service, let users know about our policies and respond to when users contact us.",100.0,2514,sub,"We use the information to improve our advertising and measurement systems so we can show users relevant ads on and measure the effectiveness and reach of ads and services. We also use the information to send users marketing communications, communicate about the Service, let users know about our policies and respond to when users contact us.Â",343,<error>,<how-used>
