decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy - TimeTune HelpEnglish&nbsp&nbsp&nbsp&nbspEspañol&nbsp&nbsp&nbsp&nbspPortuguês&nbsp&nbsp&nbsp&nbspPrivacy PolicyAt TimeTune, we care about your privacy and data security.Keep reading for more information about how TimeTune collects and uses data.",261,<generic>,<error>
User-Generated Content,User-Generated Content,100.0,271,main,User-Generated Content,22,<generic>,<what>
We do NOT collect any user-generated content.,We do NOT collect any user-generated content.,100.0,294,sub,We do NOT collect any user-generated content.,45,<first>,<how-gathered>
The content you generate in the app is stored locally in your device and belongs to you.,The content you generate in the app is stored locally in your device and belongs to you.,100.0,340,sub,The content you generate in the app is stored locally in your device and belongs to you.,88,<first>,<other>
"Additionally, you can use the backup option in the app’s settings to save your content to your private Google Drive account.","Additionally, you can use the backup option in the app’s settings to save your content to your private Google Drive account.",100.0,429,sub,"Additionally, you can use the backup option in the app’s settings to save your content to your private Google Drive account.",124,<first>,<other>
Google Analytics for Firebase,Google Analytics for Firebase,100.0,554,main,Google Analytics for FirebaseOur implementation of Google Analytics for Firebase does NOT collect private information of any kind.,130,<third>,<what>
We use Google Analytics for Firebase to compose,We use Google Analytics for Firebase to compose,100.0,686,sub,We use Google Analytics for Firebase to compose,47,<error>,<error>
anonymous,anonymous,100.0,734,sub,anonymous,9,<error>,<error>
aggregated statistics that help us improve the app.,aggregated statistics that help us improve the app.,100.0,744,sub,aggregated statistics that help us improve the app.,51,<error>,<error>
We do NOT share any data with Google or third parties.,We do NOT share any data with Google or third parties.,100.0,796,sub,We do NOT share any data with Google or third parties.,54,<first>,<other>
AdMob,AdMob,100.0,851,main,AdMob,5,<third>,<what>
We use AdMob from Google to show ads in the free version of the app.,We use AdMob from Google to show ads in the free version of the app.,100.0,857,sub,We use AdMob from Google to show ads in the free version of the app.,68,<first>,<why>
AdMob collects data and uses a unique identifier on your device to show relevant ads for you.,AdMob collects data and uses a unique identifier on your device to show relevant ads for you.,100.0,926,sub,AdMob collects data and uses a unique identifier on your device to show relevant ads for you.,93,<first>,<how-gathered>
"In compliance with the GDPR (General Data Protection Regulation), users in the EEA (European Economic Area) will see a message asking for their consent.","In compliance with the GDPR (General Data Protection Regulation), users in the EEA (European Economic Area) will see a message asking for their consent.",100.0,1020,sub,"In compliance with the GDPR (General Data Protection Regulation), users in the EEA (European Economic Area) will see a message asking for their consent.",152,<retention>,<when>
"In compliance with the CCPA (California Consumer Privacy Act), we disabled data collection for users in California USA.","In compliance with the CCPA (California Consumer Privacy Act), we disabled data collection for users in California USA.",100.0,1173,sub,"In compliance with the CCPA (California Consumer Privacy Act), we disabled data collection for users in California USA.",119,<retention>,<when>
These users will only see generic ads.,These users will only see generic ads.,100.0,1293,sub,These users will only see generic ads.You can see how Google uses data to show relevant adshere.,96,<choice>,<error>
Email and Social Media,Email and Social Media,100.0,1393,main,Email and Social Media,22,<generic>,<what>
"If you contact us by email or social media, we may keep a record of this communication to help you solve any issues you might have with the app.","If you contact us by email or social media, we may keep a record of this communication to help you solve any issues you might have with the app.",100.0,1416,sub,"If you contact us by email or social media, we may keep a record of this communication to help you solve any issues you might have with the app.",144,<first>,<how-gathered>
We don’t use this communication for any other purposes.,We don’t use this communication for any other purposes.,100.0,1561,sub,We don’t use this communication for any other purposes.,55,<first>,<error>
"In any case, you can always ask us to remove your contact data and messages at any given time.","
In any case, you can always ask us to remove your contact data and messages at any given time",98.93617021276596,1616,sub,"In any case, you can always ask us to remove your contact data and messages at any given time.",94,<choice>,<other>
