decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy Policy – HallowHow to PrayThe AppParishes & SchoolsGift CardsWe’re Hiring!LoginSign Up for FreeLoginSign Up for FreeMy AccountOpen Web AppPrivacy PolicyNOTE: This version of the Privacy Policy was initially published on July 7th, 2023 and took effect on July 14th, 2023. Prior versions of our Privacy Policy can be accessedhere.",336,<error>,<error>
,,-1.0,0,,"We take data protection and privacy very seriously at Hallow. This Privacy Policy outlines how we collect and use your Personal Data, and we encourage you to read it in its entirety. Here is an overview of the key points of our privacy policy and practices:We do not sell Personal Data (as defined below).We take care to encrypt Private Sensitive Personal Data (defined below) like journal entries or reflections, so that only you have access to that content.",459,<error>,<error>
,,-1.0,0,,"​​Any App Analytics Data that we do collect – in the spirit of improving or personalizing the product, messaging, and content – is studied only at an aggregate level across the Hallow community (e.g., which sessions are most popular), unless necessary for specific customer support or de-bugging.We do not share, sell, rent, or otherwise provide users’ Personal Data to any data brokers.",387,<error>,<error>
,,-1.0,0,,"As is customary for web-based services, we partner with Service Providers (e.g., payment processors, database providers) to support our App and Analytics Partners to study how best to improve our App (e.g., which sessions are most popular). Personal Data disclosed to these providers is encrypted and protected both in transit and at rest.We do not share any Private Sensitive Personal Data with any Advertising Partners.",421,<error>,<error>
,,-1.0,0,,"We do not knowingly collect or solicit the data of individuals under the age of 13 without obtaining COPPA-compliant consent from a parent or guardian, and we do not knowingly disclose information about individuals under the age of 13 to Advertising Partners.You may, subject to the terms of this Privacy Policy, delete your full account and all Personal Data associated with it at any point.",392,<error>,<error>
,,-1.0,0,,"At any time you may opt out of cookies and other tracking or exercise your other rights under applicable laws, such as certain US state privacy laws or the EU General Data Protection Regulation (the “GDPR”). Please read on to the Full Privacy Policy for more details.Your use of our Services is subject to ourTerms of Service",325,<error>,<error>
,,-1.0,0,,", which incorporates this Privacy Policy. Any terms we use in this Privacy Policy without defining them have the definitions given to them in the Terms of Service. If we make any changes to the way we collect or use your Personal Data we will give you notice of those changes in accordance with the section titled“Changes to this Privacy Policy”below.",351,<error>,<error>
,,-1.0,0,,"By creating an account, accessing our Services, or opting into communications from us, you acknowledge that you accept the practices and policies outlined below, and you consent that we will collect, use and disclose your information as described in this Privacy Policy.If you are under 18, please be sure to read this Privacy Policy with a parent or guardian.Table of Contents",377,<error>,<error>
What this Privacy Policy Covers,What this Privacy Policy Covers,100.0,3082,main,What this Privacy Policy CoversPersonal Data,44,<generic>,<error>
Categories of Personal Data We Collect,Categories of Personal Data We Collect,100.0,3128,sub,Categories of Personal Data We Collect,38,<generic>,<what>
Categories of Sources of Personal Data,Categories of Sources of Personal Data,100.0,3167,sub,Categories of Sources of Personal Data,38,<generic>,<what>
Our Commercial or Business Purposes for Collecting or Disclosing Personal Data,Our Commercial or Business Purposes for Collecting or Disclosing Personal Data,100.0,3206,sub,Our Commercial or Business Purposes for Collecting or Disclosing Personal Data,78,<first>,<why>
Data Disclosure,Data Disclosure,100.0,3285,sub,Data Disclosure,15,<third>,<what>
Data Security and Retention,Data Security and Retention,100.0,3301,sub,Data Security and Retention,27,<retention>,<how-used>
Personal Data of Children,Personal Data of Children,100.0,3329,sub,Personal Data of Children,25,<audience>,<what>
California Resident Rights,California Resident Rights,100.0,3355,sub,California Resident Rights,26,<region>,<when>
Virginia Resident Rights,Virginia Resident Rights,100.0,3382,sub,Virginia Resident Rights,24,<region>,<when>
Exercising Your Rights under CCPA and VCDPA,Exercising Your Rights under CCPA and VCDPA,100.0,3407,sub,Exercising Your Rights under CCPA and VCDPA,43,<choice>,<how-gathered>
Other State Law Privacy Rights,Other State Law Privacy Rights,100.0,3451,sub,Other State Law Privacy Rights,30,<other>,<other>
European Union and United Kingdom Data Subject Rights,European Union and United Kingdom Data Subject Rights,100.0,3482,sub,European Union and United Kingdom Data Subject Rights,53,<region>,<other>
Brazil Data Subject Rights,Brazil Data Subject Rights,100.0,3536,sub,Brazil Data Subject Rights,26,<region>,<other>
Changes to this Privacy Policy,Changes to this Privacy Policy,100.0,3563,sub,Changes to this Privacy Policy,30,<change>,<when>
Contact Information,Contact Information,100.0,3594,sub,"Contact Information1. What this Privacy Policy CoversThis Privacy Policy covers how we treat Personal Data that we gather when you access or use our Services. “Personal Data” means any information that identifies or relates to a particular individual and also includes information referred to as “personally identifiable information” or “personal information” under applicable data privacy laws, rules or regulations. This Privacy Policy does not cover the practices of companies we don’t own or control or people we don’t manage.",530,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,2. Personal DataCategories of Personal Data We CollectThis section details the categories of Personal Data that we collect and have collected over the past 12 months. See the“Data Disclosure”section further below for more information about our disclosure practices.Category of Personal Data:Why We Collect This:Examples of Personal Data We Collect:Categories of Third Parties To Whom We Disclose this Personal Data:Profile or Contact Data,438,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,"Collected for the purpose of creating and managing user accounts and disclosed to Service Providers and Analytics Partners (each as defined below) to deliver and improve the Services. If you choose to participate in one of our groups (such as a parish of which you are a member), you can choose to make your name and profile photo visible to users interested in joining the group, other group members and/or the relevant group administrator.– Name– Email– Phone number– Photo associated with your Hallow Account",511,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,"– SMS Opt-In– Service Providers– Analytics Partners– Parties You Authorize, Access or AuthenticatePrivate Sensitive Personal DataCollected to provide you with the Services and disclosed to Service Providers to deliver our Services (e.g., database provider); however, this Personal Data is encrypted with industry standard encryption.– The text of personal journal entries or reflections– Passwords",397,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,"– Only with your express, opt-in consent, beginning in February 2023, you could choose to disclose information about your religious beliefs during new account onboarding or through anonymous, optional surveys– Service Providers– Parties You Authorize, Access or AuthenticateApp Analytics",287,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,"Collected for studying, at the aggregate level (unless necessary for specific customer support or de-bugging), and personalizing or improving the messaging or Services (e.g. which sessions or functionality are most popular) and disclosed to Service Providers and Analytics Partners to deliver and improve our Services.– Specific session or listening activity– Engagement with App functionality or posts to in-App groups– Service Providers– Analytics Partners– Parties You Authorize, Access or Authenticate",505,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,"Payment DataOur payment processing Service Providers (e.g., Stripe, Apple, Google) collect your voluntarily-provided payment card information in order to process your payment.– Payment card type– Credit card number– Billing address, phone number, and email– Purchase history– Service ProvidersAdvertising DataCollected and disclosed to our Service Providers, Analytics Partners, and Advertising Partners to help us market our services, for instance by measuring the effectiveness of our advertising campaigns.",509,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,"– Whether the user began using the App (i.e., if the App was installed, an account created, first session started, or first trial or payment started)– Hashed email address and name– Device operating system– Device ID if granted by user (opt-in for iOS, opt-out for Android)– Service Providers– Analytics Partners– Advertising PartnersDevice/IP Data",348,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,Collected automatically to assist with analytics and services like customer support and disclosed to Service Providers and Analytics Partners in order to deliver and improve our Services.– IP address– Device ID– Domain server– Device operating system– App version– Service Providers– Analytics PartnersCookie Data & Web Analytics,329,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,"We have cookies on our Site (not on the App), including those belonging to our Advertising Partners, that collect and disclose Personal Data to our Service Providers and Analytics Partners. User cookie preferences can be managed using ourCookie Manager. Targeting Cookies, as defined in this Privacy Policy, are not present once the user enters the App such that Targeting Cookies do not capture any listening activity, journal entry data, or other App Analytics data.– Web page interactions",491,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,– Referring webpage/source through which you accessed the Services– Non-identifiable request IDs– IP address– Statistics associated with the interaction between device or browser and the Services– Service Providers– Advertising Partners– Analytics PartnersConsumer Demographic Data,281,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,"We collect demographic data for the purpose of collecting Parental Consent and sharing specific content releases or programs (e.g., Exodus 90 program for men) and disclose to Service Providers and Analytics Partners in order to deliver and improve our Services.– Age / date of birth (only collected as part of the Parental Consent process)– Gender (inferred based on first name)– App Activity data collected could indicate a religious preference– Service Providers– Analytics PartnersGeolocation Data",500,<contact>,<other>
Contact Information,Contact Information,100.0,3594,sub,"We do not collect specific location information, but certain Service Providers (e.g., customer support tools) and Analytics Partners infer it based on IP address.– IP-address-based location information– Service Providers– Analytics PartnersHealth Data*Disclosed to third-party services like Apple Health at user direction.– Mindfulness time (prayer minutes)– Service Providers– Parties You Authorize, Access, or AuthenticateEnterprise Account Sales Contact Information",468,<contact>,<other>
