decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy PolicySearch this siteSkip to main contentSkip to navigationPrivacy PolicyPrivacy PolicyHitaksh Techno  built apps as an Utility app. This Service is provided by Hitaksh Techno Apps at no cost and is intended for use as is.This page is used to inform app users regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use our app.",389,<error>,<error>
,,-1.0,0,,"If you choose to use our app, then you agree to the collection and use of information in relation to this policy. The Personal Information that we collect is used for providing and improving the app. We will not use or share your information with anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at Music Player unless otherwise defined in this Privacy Policy.",474,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,873,main,"Information Collection and UseFor a better experience, while using our Service, We may require you to provide us with certain ",126,<generic>,<error>
Personally Identifiable Information,personally identifiable information,100.0,1000,sub,"personally identifiable information, including but not limited to android.permission.WAKE_LOCK, android.permission.MODIFY_AUDIO_SETTINGS, android.permission.WRITE_SETTINGS, android.permission.WRITE_EXTERNAL_STORAGE. The information that we request is retained on your device and is not collected by us in any wayThe app does use third party services that may collect information used to identify you.Link to privacy policy of third party service providers used by the appGoogle Play ServicesAdMob",496,<first>,<what>
Personally Identifiable Information,personally identifiable information,100.0,1000,sub,"Firebase AnalyticsMoPubAutomatically Collected InformationIn addition, the Application may collect certain information automatically, including, but not limited to, the type of mobile device you use, your mobile devices unique device ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browsers you use, and information about the way you use the Application.Does the Application collect precise real time location information of the device?This Application",504,<first>,<what>
The App Does Not Collect Information, does not collect precise informatio,77.77777777777779,2010,main, does not collect precise information about the location of your mobile device.,79,<not>,<what>
Do third parties see and/or have access to information obtained by the Application?,Do third parties see and/or have access to information obtained by the Application?,100.0,2090,main,"Do third parties see and/or have access to information obtained by the Application?No, We will not share your information with third parties unless it’s required by law.",169,<third>,<why>
Automatic Data Collection and Advertising,Automatic Data Collection and Advertising,100.0,2261,main,"Automatic Data Collection and AdvertisingWe work with advertisers and third party advertising networks, who need to know how you interact with advertising provided in the Application which helps us keep the the Application free. Advertisers and adverti",252,<first>,<how-used>
How do third parties use the information collected by the Application?,sing networks use some of the information collected by the Application,75.71428571428571,2514,sub,"sing networks use some of the information collected by the Application, including, but not limited to, the unique identification ID and Android advertising ID of your mobile device. These third parties may also obtain anonymous information about other applications you’ve downloaded to your mobile device, the mobile websites you visit, your non-precise location information (e.g., your zip code), and other non- precise location information in order to help analyse and serve anonymous targeted advertising on the Application and elsewhere.",541,<third>,<why>
How do third parties use the information collected by the Application?,sing networks use some of the information collected by the Application,75.71428571428571,2514,sub,We ma,5,<third>,<why>
Do we share information you have provided in order to enable our partners to append other available information about you for analysis or advertising related use?,y also share information you have provided in order to enable our partners to append other available information about you for analysis or advertising related use,96.91358024691358,3061,sub,y also share information you have provided in order to enable our partners to append other available information about you for analysis or advertising related use.,163,<third>,<why>
Log Data,Log Data,100.0,3225,main,"Log DataWe want to inform you that whenever you use our Service, in a case of an error in the app we collect data and information (through third party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilising our Service, the time and date of your use of the Service, and other statistics.",447,<first>,<what>
Service Providers,Service Providers,100.0,3674,main,"Service ProvidersWe may employ third-party companies and individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analysing how our Service is used.We want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",513,<first>,<other>
Security,Security,100.0,4194,main,"SecurityYour information is protected and secure, all the good practices are followed to make sure that no one can access your private information.",147,<security>,<other>
Children’s Privacy,Children’s Privacy,100.0,4343,main,Children’s PrivacyWe do not use the Application to knowingly solicit data from or market to children under the age of 13.,121,<audience>,<other>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4466,main,"Changes to This Privacy PolicyWe may update our Privacy Policy from time to time. Thus, you are advised to review this page periodically for any changes. We will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.Google SitesReport abuseGoogle SitesReport abuse",359,<change>,<other>
