decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Dubstep Drum Pads Guru Privacy PolicyThis privacy policy governs your use of the software application Drum Pads Guru (“Application”) for mobile devices that was created byChebdev.,179,<error>,<error>
INFORMATION WE COLLECT,INFORMATION WE COLLECT,100.0,183,main,"INFORMATION WE COLLECTWe obtain certain information about your computing device, including:",91,<generic>,<error>
Type of mobile device;,Type of mobile device;,100.0,276,sub,Type of mobile device;,22,<first>,<error>
Operating System;,Operating System;,100.0,299,sub,Operating System;,17,<first>,<error>
Email address;,Email address;,100.0,317,sub,Email address;,14,<first>,<error>
Country code;,Country code;,100.0,332,sub,Country code;,13,<first>,<error>
"IDFAs, Advertising IDs;","IDFAs, Advertising IDs;",100.0,346,sub,"IDFAs, Advertising IDs;",23,<first>,<error>
Language;,Language;,100.0,370,sub,Language; ,10,<first>,<error>
Locale (specific location where a given language is spoken);,Locale (specific location where a given language is spoken);,100.0,380,sub,Locale (specific location where a given language is spoken);,60,<first>,<error>
"Time zone, session start/stop time;","Time zone, session start/stop time;",100.0,441,sub,"Time zone, session start/stop time;",35,<first>,<error>
Push notifications token;,Push notifications token;,100.0,477,sub,Push notifications token;,25,<first>,<error>
Player identifier string (we collect player identifier string only upon your sign in o Google Play Games Services),Player identifier string (we collect player identifier string only upon your sign in o Google Play Games Services),100.0,503,sub,Player identifier string (we collect player identifier string only upon your sign in o Google Play Games Services),114,<first>,<error>
Information about the way you use the Application,Information about the way you use the Application,100.0,618,sub,"Information about the way you use the ApplicationAlthough some of this information (such as IDFA, IDFV, Advertising ID) may uniquely identify your device, this information does not identify you personally.We do not collect any of your Personal Information such as your first name and last name, physical addresses, telephone, fax, SSN. You can use third party login systems such as Google+  to register in the app. What is saved is the identification number from such systems without any of your personal information (name, email or telephone).",544,<first>,<error>
Information about the way you use the Application,Information about the way you use the Application,100.0,618,sub,"You can send us email directly from the app or via email. We will only use this contact information you provide to us (for example, your name and email address) for the purpose for which you provided it to us. We will not share this data with third parties.If you wish to delete your contact information that we received upon your specific email inquiry, please send an e-mail to chebdev@gmail.com and your e-mail will be deleted.",430,<first>,<error>
IN-APP PURCHASES,IN-APP PURCHASES,100.0,1597,main,IN-APP PURCHASESOur Applications enable in-app purchases.,57,<first>,<error>
"All of our Applications are free, but they include in-app purchases.","All of our Applications are free, but they include in-app purchases.",100.0,1656,sub,"All of our Applications are free, but they include in-app purchases. ",69,<first>,<error>
In-app purchases may be made only upon entering the Google Play store password and you are responsible for maintaining the security of such password.,In-app purchases may be made only upon entering the Google Play store password and you are responsible for maintaining the security of such password.,100.0,1725,sub,In-app purchases may be made only upon entering the Google Play store password and you are responsible for maintaining the security of such password. ,150,<first>,<error>
Your authentication and security maintaining is subject to specific terms of the app store and the OS of your mobile device.,Your authentication and security maintaining is subject to specific terms of the app store and the OS of your mobile device.,100.0,1875,sub,Your authentication and security maintaining is subject to specific terms of the app store and the OS of your mobile device.,124,<first>,<error>
CHANGES,CHANGES,100.0,2000,main,CHANGES,7,<change>,<error>
This Privacy Policy may be updated from time to time for any reason.,This Privacy Policy may be updated from time to time for any reason.,100.0,2008,sub,This Privacy Policy may be updated from time to time for any reason.,68,<error>,<error>
We will notify you of any changes to our Privacy Policy by posting the new Privacy Policy here and informing you via email or text message.," We will notify you of any changes to our Privacy Policy by posting the new Privacy Policy
here
and
informing you via email or text message",97.12230215827337,2076,sub, We will notify you of any changes to our Privacy Policy by posting the new Privacy Policyhereandinforming you via email or text message.,137,<third>,<error>
"You are advised to consult this Privacy Policy regularly for any changes, as continued use is deemed"," You are advised to consult this Privacy Policy regularly for any changes, as continued use is deeme",99.0,2217,sub," You are advised to consult this Privacy Policy regularly for any changes, as continued use is deeme",100,<error>,<error>
CONTACT US,CONTACT US,100.0,2318,main,CONTACT US,10,<contact>,<error>
"If you have any questions regarding privacy while using the Application, or have questions about our practices, please contact us via email at chebdev@gmail.com.","
If you have any questions regarding privacy while using the Application, or have questions about our practices, please contact us via email at
chebdev@gmail.com",98.75776397515527,2328,sub,"If you have any questions regarding privacy while using the Application, or have questions about our practices, please contact us via email atchebdev@gmail.com.Updated March 2017",178,<choice>,<error>
