decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Launcher-YearSearch this siteSkip to main contentSkip to navigationLauncher-Year,80,<error>,<error>
Privacy Policy,Privacy Policy,100.0,85,main,"Privacy PolicyPrivacy PolicyThank you for choosing our products atSaS Developer(""We"", ""I"", ""My"", ""Our""). We are committed to protecting your personal information and privacy. If you have any questions or concerns regarding this privacy policy or our practices in relation to your personal information, please contact me at email: tuanlongnguyen.2017@gmail.com. Thank you so much!We built the Launcher 2023 app as a Free app. This SERVICE is provided bySaS Developerat no cost and is intended for use as is.",506,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,85,main,"This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy.",462,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,85,main,"The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at Launcher 2023 unless otherwise defined in this Privacy Policy.",178,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,1242,main,"Information Collection and UseFor a better experience, while using our Service, I may require you to provide us with certain ",125,<generic>,<error>
Personally Identifiable Information,personally identifiable information,100.0,1368,sub,personally identifiable information. The information that I request will be retained on your device and is not collected by me in any way.The app does use third party services that may collect information used to identify you.Link to privacy policy of third party ,264,<first>,<what>
Service Providers,service providers,100.0,1634,main,"service providers used by the appGoogle Play ServicesAdMobFirebase AnalyticsFacebookFabricCrashlyticsApplovinThis app (Launcher) needs a few permissions to work, here's why we need them:- INTERNET- QUERY_ALL_PACKAGES - let Launcher perform the function: can display a list of applications that the user has installed- WRITE_SETTINGS - let Launcher perform the function: change brightness,... in control center- ACCESSIBILITY_SERVICE - let Launcher function: assistive touch and x home bar features",497,<first>,<what>
Service Providers,service providers,100.0,1634,main,- SET_WALLPAPER - let Launcher perform the function: set phone wallpaper- ACCESS_LOCATION - let the Launcher perform the function: display the weather information of your city- BLUETOOTH - let Launcher perform the function: turn off bluetooth in control center- MODIFY_AUDIO_SETTINGS - let Launcher perform the function: change sound in control center- FLASHLIGHT - let Launcher perform the function: turn off flash in control center and lock scren,448,<first>,<what>
Service Providers,service providers,100.0,1634,main,"- CAMERA - let Launcher perform the function: turn on the camera in control center and lock screen- USE_BIOMETRIC - let Launcher perform the function: fingerprint unlock in lock screen- READ_CONTACTS - let Launcher perform the function: show favorite contacts on widgets, search for contacts in search screen- RECORD_AUDIO - let Launcher perform the function: record audio in screen video recording feature in control center",424,<first>,<what>
Service Providers,service providers,100.0,1634,main,"- BIND_APPWIDGET - let the Launcher perform the function: create and display widgets on the home screen- MEDIA_CONTENT_CONTROL - let Launcher perform functions: control, play, pause music in control center- STORAGE - let the Launcher do the function: read the home screen wallpaper and lock screen wallpaper",307,<first>,<what>
Service Providers,service providers,100.0,1634,main,"- READ_PHONE_STATE (request from android 12) - let Launcher perform the function: - read phone wave information for the function of displaying wave column in status bar, catch incoming call event to unlock lockscreenLog DataI want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",659,<first>,<what>
Service Providers,service providers,100.0,1634,main,"CookiesCookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory.This Service does not use these “cookies” explicitly. However, the app may use third party code and libraries that use “cookies” to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",609,<first>,<what>
Service Providers,service providers,100.0,1634,main,"Service ProvidersI may employ third-party companies and individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.I want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",511,<first>,<what>
Service Providers,service providers,100.0,1634,main,"SecurityI value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.Links to Other Sites",335,<first>,<what>
Service Providers,service providers,100.0,1634,main,"This Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that these external sites are not operated by me. Therefore, I strongly advise you to review the Privacy Policy of these websites. I have no control over and assume no responsibility for the content, privacy policies, or practices of a",358,<first>,<what>
Third-Party Services,ny third-party sites,80.0,5823,sub,ny third-party sites or services.Children’s PrivacyThese Services do not address anyone under the age of 13. I do not knowingly collect personally identi,153,<third>,<what>
Cookie Information,fiable information,77.77777777777779,5978,sub,"fiable information from children under 13. In the case I discover that a child under 13 has provided me with personal information, I immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact me so that I will be able to do necessary actions.",349,<tracking>,<what>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,6328,main,"Changes to This Privacy PolicyI may update our Privacy Policy from time to time. Thus, you are advised to review this page periodically for any changes. I will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.",309,<change>,<when>
Contact Us,Contact Us,100.0,6639,main,"Contact UsIf you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me.This privacy policy page was created atprivacypolicytemplate.netand modified/generated byApp Privacy Policy GeneratorGoogle SitesReport abusePage detailsPage updatedGoogle SitesReport abuse",295,<contact>,<other>
