decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy for PocoFontYa - PrivacyPolicies.comPrivacy Policy for PocoFontYaPrivacy PolicyLast updated: August 04, 2020This Privacy Policy describes Our policies and procedures on the collection, use and disclosure of Your information when You use the Service and tells You about Your privacy rights and how the law protects You.",333,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"We use Your Personal data to provide and improve the Service. By using the Service, You agree to the collection and use of information in accordance with this Privacy Policy. This Privacy Policy has been created with the help of thePrivacy Policy Generator.",257,<generic>,<error>
Interpretation,Interpretation,100.0,598,sub,Interpretation and ,19,<generic>,<other>
Definitions,Definitions,100.0,617,main,"DefinitionsInterpretationThe words of which the initial letter is capitalized have meanings defined under the following conditions.The following definitions shall have the same meaning regardless of whether they appear in singular or in plural.DefinitionsFor the purposes of this Privacy Policy:Youmeans the individual accessing or using the Service, or the company, or other legal entity on behalf of which such individual is accessing or using the Service, as applicable.Company",480,<generic>,<other>
Definitions,Definitions,100.0,617,main,"(referred to as either ""the Company"", ""We"", ""Us"" or ""Our"" in this Agreement) refers to PocoFontYa.Affiliatemeans an entity that controls, is controlled by or is under common control with a party, where ""control"" means ownership of 50% or more of the shares, equity interest or other securities entitled to vote for election of directors or other managing authority.Accountmeans a unique account created for You to access our Service or parts of our Service.Websiterefers to PocoFontYa, accessible from",501,<generic>,<other>
Definitions,Definitions,100.0,617,main,"www.pocofontya.comServicerefers to the Website.Countryrefers to: United KingdomService Providermeans any natural or legal person who processes the data on behalf of the Company. It refers to third-party companies or individuals employed by the Company to facilitate the Service, to provide the Service on behalf of the Company, to perform services related to the Service or to assist the Company in analyzing how the Service is used.Third-party Social Media Service",465,<generic>,<other>
Definitions,Definitions,100.0,617,main,"refers to any website or any social network website through which a User can log in or create an account to use the Service.Personal Datais any information that relates to an identified or identifiable individual.Cookiesare small files that are placed on Your computer, mobile device or any other device by a website, containing the details of Your browsing history on that website among its many uses.Devicemeans any device that can access the Service such as a computer, a cellphone or a digital tablet.",505,<generic>,<other>
Definitions,Definitions,100.0,617,main,"Usage Datarefers to data collected automatically, either generated by the use of the Service or from the Service infrastructure itself (for example, the duration of a page visit).",179,<generic>,<other>
Collecting and Using Your Personal Data,Collecting and Using Your Personal Data,100.0,2780,main,Collecting and Using Your Personal Data,39,<first>,<error>
Types of Data Collected,Types of Data Collected,100.0,2820,sub,Types of Data Collected,23,<first>,<what>
Personal Data,Personal Data,100.0,2844,sub,"Personal DataWhile using Our Service, We may ask You to provide Us with certain personally identifiable information that can be used to contact or identify You. Personally identifiable information may include, but is not limited to:",232,<first>,<what>
Usage Data,Usage Data,100.0,3078,sub,"Usage DataUsage DataUsage Data is collected automatically when using the Service.Usage Data may include information such as Your Device's Internet Protocol address (e.g. IP address), browser type, browser version, the pages of our Service that You visit, the time and date of Your visit, the time spent on those pages, unique device identifiers and other diagnostic data.",371,<first>,<what>
Usage Data,Usage Data,100.0,3078,sub,"When You access the Service by or through a mobile device, We may collect certain information automatically, including, but not limited to, the type of mobile device You use, Your mobile device unique ID, the IP address of Your mobile device, Your mobile operating system, the type of mobile Internet browser You use, unique device identifiers and other diagnostic data.",370,<first>,<what>
Usage Data,Usage Data,100.0,3078,sub,We may also collect information that Your browser sends whenever You visit our Service or when You access the Service by or through a mobile device.,148,<first>,<what>
