decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy Policy - Televizo,25,<error>,<error>
HOME,HOME,100.0,26,main,HOMEPREMIUM VERSION,19,<error>,<error>
PRIVACY POLICY,PRIVACY POLICY,100.0,47,main,PRIVACY POLICY(current)TERMS OF SERVICECONTACT USPrivacy PolicyHomePrivacy Policy,81,<error>,<error>
Introduction,Introduction,100.0,135,sub,"IntroductionAndrey Menscikov (""we,"" ""us,"" or ""our"") operates the Televizo application (""App"") and its associated websitehttps://televizo.net/(collectively, the ""Service""). This Privacy Policy outlines our practices regarding the collection, use, and disclosure of personal information when you use the Service, and the choices you have associated with that information.",369,<error>,<error>
Introduction,Introduction,100.0,135,sub,"We are committed to protecting your personal information and your right to privacy. If you have any questions or concerns about this Privacy Policy or our practices, please contact us.By using the Service, you agree to the collection and use of information in accordance with this Privacy Policy.",296,<error>,<error>
Introduction,Introduction,100.0,135,sub,"In case our Service contains links to third-party sites and services, please be aware that those sites and services have their own privacy policies. After following a link to any third party content, you should read their posted privacy policy information about how they collect and use personal information. We have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.Last updated: 8 May 2023",471,<error>,<error>
Information We Collect and How We Collect It,Information We Collect and How We Collect It,100.0,1279,main,Information We Collect and How We Collect It,44,<first>,<what>
"While using the Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data""). Personal Data may include, but is not limited to:","While using the Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data""). Personal Data may include, but is not limited to:",100.0,1324,sub,"While using the Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data""). Personal Data may include, but is not limited to:Email address;Device data.We collect this information for the purpose of providing the Service, identifying and communicating with you, and improving the overall user experience.",393,<error>,<error>
Use of Data,Use of Data,100.0,1721,main,"Use of DataWe use the collected data for various purposes, including:",69,<first>,<how-used>
To provide and maintain the Service;,To provide and maintain the Service;,100.0,1792,sub,To provide and maintain the Service;,36,<error>,<how-used>
To notify you about changes to our Service;,To notify you about changes to our Service;,100.0,1829,sub,To notify you about changes to our Service;,43,<error>,<how-used>
To provide customer care and support;,To provide customer care and support;,100.0,1873,sub,To provide customer care and support;,37,<error>,<how-used>
To provide analysis or valuable information so that we can improve the Service;,To provide analysis or valuable information so that we can improve the Service;,100.0,1911,sub,To provide analysis or valuable information so that we can improve the Service;,79,<error>,<how-used>
To monitor the usage of the Service;,To monitor the usage of the Service;,100.0,1991,sub,To monitor the usage of the Service;,36,<error>,<how-used>
