decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Garmin | ,9,<error>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,Privacy PolicySkip navigation linksWearablesProductsAll Wearables & SmartwatchesWatches for WomenFashion & Hybrid SmartwatchesMARQ Luxury Watch CollectionRunningMultisport & TriathleteAdventureSwimmingDivingGolfFitness & Health TrackingJust for KidsMapsWearable MapsGolf MapsGolf Course LocatorAccessoriesWearable & Smartwatch AccessoriesAppsDiscoverBlogCareersConnect IQGarmin ConnectGarmin ExpressGarmin PayGarmin ProsGarmin TechnologyShop All SalesSubscription & Service PlansStudent AthletesWatch Finder,507,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"Design Your Own WatchTHANK YOU, DADFind the perfect Father's Day gift and save on select productsEPIX™PRO | FĒNIX®7 PROAMOLED display or solar charging — the choice is yoursSports & FitnessProductsRunningCyclingTacx® Indoor CyclingFitness & Health TrackingGolfMultisport & TriathleteSwimmingDivingWater SportsScales & MonitorsJust for KidsMapsCycling MapsWearable MapsGolf MapsGolf Course LocatorAccessoriesWearable & Smartwatch AccessoriesCycling AccessoriesIndoor Training AccessoriesAppsDiscoverBlogCareers",509,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"Connect IQGarmin ConnectGarmin ExpressGarmin Health Enterprise SolutionsGarmin PayGarmin ProsGarmin TechnologyShop All SalesStudent AthletesSubscription & Service PlansWho We Work WithWomen of AdventureTHANK YOU, DADFind the perfect Father's Day gift and save on select productsEPIX™PRO | FĒNIX®7 PROAMOLED display or solar charging — the choice is yoursOutdoor RecreationProductsHandheldsSatellite CommunicatorsOff-RoadAdventure WatchesSportsman & TacticalSporting DogsHousehold PetsMapsOutdoor MapsHunting Maps",512,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"Wearable MapsDeLorme Atlas & GazetteerAccessoriesAppsDiscoverBlogCareersConnect IQGarmin ConnectGarmin ExpressGarmin ProsGarmin TechnologyinReach AccountShop All SalesSubscription & Service PlansWomen of AdventureTHANK YOU, DADFind the perfect Father's Day gift and save on select productsEPIX™PRO | FĒNIX®7 PROAMOLED display or solar charging — the choice is yoursAutomotiveProductsCarsMotorcyclesTrucksRVMotorsportsOff-RoadDash & Backup CamerasMapsMap UpdatesPurchase New MapsIn-Dash MapsOff-Road Maps",503,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"AccessoriesAppsDiscoverAutomotive OEM SolutionsBlogCareersGarmin ExpressRV OEM SolutionsShop All SalesSubscription & Service PlansTHANK YOU, DADFind the perfect Father's Day gift and save on select productsZŪMO®XT2 MOTORCYCLE NAVIGATORThe life of your ride that’ll find epic new routesMarineProductsChartplottersAutopilotsRadarLive SonarSonar Black BoxesTransducersInstruments & Instrument PacksVHF & AISCamerasAntennas & SensorsFishfindersIce Fishing Bundles & KitsTrolling MotorsFusion Audio Entertainment",507,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"Digital SwitchingHandhelds & WearablesConnectivityAppsCharts & MapsPurchase New ChartsUpdate Built-in ChartsDiscover Daily UpdatesRenew SubscriptionDiscoverBlogCareersIntegrationGarmin ExpressGarmin ProsSoftware UpdatesSystem BuilderShop All SalesSubscription & Service PlansTHANK YOU, DADFind the perfect Father's Day gift and save on select productsGARMIN NAVIONICS+™MARINE CHARTS AND MAPSAviationMarketsGeneral AviationBusiness AviationHelicoptersExperimentalGovernment & DefenseFLTPLAN.COM Services",502,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"Flight PlanningCrew & Fleet ManagementRunway AnalysisSafety Management SystemProductsADS-B & TranspondersFlight Decks & DisplaysFlight InstrumentsEngine Indication SystemsNavigation & RadiosAutopilotsAudio PanelsWeatherTrafficDatalinks & ConnectivityPortable GPS, Wearables & AppsGarmin Pilot AppDatabasesAviation Database UpdatesDiscoverAutonomíBlogCareersFltPlan.comflyGarminPromotionsSupportTrainingTHANK YOU, DADFind the perfect Father's Day gift and save on select productsPLANESYNC™",488,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,Connected Aircraft ManagementSupportSupport CenterAviation SupportMarine SupportNavionics SupportSALESALES AND PROMOTIONSShop All SalesBIG SAVINGS! CHECK OUT OUR CURRENT SALESSupportSupport CenterAviation SupportMarine SupportNavionics SupportCloseAccountOrdersSign OutSign In0Total items in cart: 0FREE GROUND SHIPPING ON ORDERS $25 AND UP. FREE 2ND-DAY SHIPPING ON MOST ORDERS $499 AND UP.*PrivacyGarminYour Privacy Matters to Garmin,435,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"Our goal is to make sure you know how we collect, use, share, and store your personal data when you create a Garmin account, interact with our customer support specialists, and visitGarmin.comor other Garmin websites and apps covered by this privacy policy.",257,<generic>,<error>
What Data Does Garmin Collect?,What data does Garmin collect?,100.0,4495,main,"What data does Garmin collect?We ask for personal data — such as your name, email address, location, and other information — so you can sign in to your account, receive personalized support, receive important safety information about your devices, and get the most out of our products.Learn More",295,<first>,<what>
When You Make a Garmin Account,When You Make a Garmin Account,100.0,4793,sub,"When You Make a Garmin AccountGarmin stores information such as your name, email address, and password so you can sign in. It also helps us verify your account if you call customer support.",189,<first>,<what>
When You Buy Products or Subscriptions,When You Buy Products or Subscriptions,100.0,4984,sub,"When You Buy Products or SubscriptionsWhen you buy products or subscriptions from Garmin, we ask for information such as your name, address, and phone number so we can get your order processed and shipped to you.We have third parties verify your address and process your payment information, but Garmin does not store your payment card details. We only use this information to help us fulfill your orders.",405,<first>,<what>
When You Sync Products,When You Sync Products,100.0,5392,sub,"When You Sync ProductsWhen you sync your device, we collect data such as your IP address, sync time and date, and battery level to help identify and resolve errors or syncing issues and to provide better customer support.",221,<first>,<what>
When You Contact Garmin,When You Contact Garmin,100.0,5615,sub,"When You Contact GarminWe know you might want to stay off the grid, but we may collect things such as your contact, device, or subscription information during support calls to ensure that you get the help you need.",214,<first>,<what>
When You Use Location Features,When You Use Location Features,100.0,5831,sub,"When You Use Location FeaturesSometimes we need to collect your device’s location. That makes it a lot easier to tell you about things such as weather in your area, nearby traffic, and even movie prices near you.",212,<first>,<what>
When You Use Auto Navigation,When You Use Auto Navigation,100.0,6045,sub,"When You Use Auto NavigationWith your consent, Garmin collects information that includes location, direction, and speed to help with features such as parking and traffic.View Full Privacy Policy",194,<first>,<what>
Why Does Garmin Ask for Your Personal Data?,Why does Garmin ask for your personal data?,100.0,6242,main,"Why does Garmin ask for your personal data?From providing product support to offering clear directions to your destination, any information we ask you for is used to improve your experience with Garmin.Learn More",212,<first>,<why>
To Keep You Informed,To Keep You Informed,100.0,6457,sub,"To Keep You InformedWhen we have something important to tell you about your products, apps, subscriptions, or account — such as vital safety information, app updates, new products or deals, and updates to our privacy policy — we use collected contact information to reach you.",276,<first>,<why>
To Improve Our Sites and Apps,To Improve Our Sites and Apps,100.0,6735,sub,"To Improve Our Sites and AppsWhen you visit our sites or use our apps, we collect information — such as your IP address, location, times that you visit, and more — to let us know how people navigate our sites and apps and how we can improve them.",246,<first>,<why>
To Give You Information You Might Actually Find Interesting,To Give You Information You Might Actually Find Interesting,100.0,6983,sub,"To Give You Information You Might Actually Find InterestingWe use things such as cookies, pixel tags, and similar tools to help us provide better, more relevant content on our sites. So if you and everyone else are coming to Garmin.com for awesome fitness devices, we’ll know to keep making them.We also use these tools to see how effective our ads are and to identify any problems that we need to fix. All in all, we just want to give you websites worth browsing.View Full Privacy Policy",488,<first>,<why>
Does Garmin Sell Your Personal Data?,Does Garmin sell your personal data?,100.0,7475,main,Does Garmin sell your personal data?No! We don’t sell your personal data to anyone. And we only share your personal data with others in specific situations.Learn More,166,<third>,<what>
Data Shared Within Garmin,Data Shared Within Garmin,100.0,7644,main,"Data Shared Within GarminGarmin is global, which means your personal data may be stored locally or in another country or transferred between Garmin companies. No matter where your information is within Garmin, it is still secured under this privacy policy.",256,<third>,<how-used>
Data Shared with Service Providers,Data Shared with Service Providers,100.0,7902,sub,"Data Shared with Service ProvidersWe share personal data with third parties who provide services — such as fulfilling orders, processing payments, and sending emails to customers — for us.",188,<third>,<how-used>
Data Shared for Legal Reasons,Data Shared for Legal Reasons,100.0,8092,sub,Data Shared for Legal ReasonsGarmin will share your personal data when required to by law enforcement and in other legal matters.,129,<third>,<how-used>
Data Shared with Content and Feature Providers,Data Shared with Content and Feature Providers,100.0,8223,sub,"Data Shared with Content and Feature ProvidersWith your consent, we share information collected from your auto navigation device — such as location, direction, and speed — with third parties that provide content and features such as traffic and parking information.View Full Privacy Policy",289,<third>,<how-used>
How Can You Share Your Personal Data?,How can you share your personal data?,100.0,8515,main,"How can you share your personal data?Your personal data belongs to you, and you control what you share and with whom you share it.Learn More",140,<choice>,<how-gathered>
LiveTrack,LiveTrack,100.0,8658,sub,LiveTrackYou can share a link to your device’s real-time location with your friends and family so they can follow along on your journey.View Full Privacy Policy,160,<choice>,<how-gathered>
"How Can I Request to View, Update, Delete, or Transfer My Data?","How can I request to view, update, delete, or transfer my data?",100.0,8821,main,"How can I request to view, update, delete, or transfer my data?Visit ourAccount Management Centerto make your request.Learn more about your rightsin the Garmin.com privacy policy.View Full Privacy PolicyCustomer ServiceSupport CenterDeals and PromotionsOrder/Return Status*Shipping, Returns & RefundsWarranty InformationFind a DealerData ManagementContact UsCompanyAbout UsBlogInvestorsNewsroomRetail StoreSustainabilityCareersJobsBenefitsLife at GarminStudentsGarmin SitesGarmin ConnectGarmin ExpressflyGarmin",510,<access>,<how-gathered>
"How Can I Request to View, Update, Delete, or Transfer My Data?","How can I request to view, update, delete, or transfer my data?",100.0,8821,main,Connect IQGarmin Health: Enterprise Health SolutionsSensorsPartnersFleet ManagementDevelopersDealer Resource CenterOneHelmSponsorshipsUnited StatesGarmin on FacebookGarmin on TwitterGarmin on YouTubeGarmin on PinterestGarmin on InstagramCopyright © 1996-2023 Garmin Ltd. or its subsidiariesSite MapTerms of UsePrivacySecurityWeb Accessibility,342,<access>,<how-gathered>
