decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy - NewSoftwares.netMenuDesktopClosePopular AppsFolder LockFolder Lock LiteCloud SecureUSB SecureUSB BlockSpecial AppsFolder ProtectCopy ProtectFree AppsMacro KeysHistory CleanMobileCloseFolder Lock AndroidFolder Lock iPhoneVaultCloud SecureApp LockPhoto Video LockerNotes LockCalculator# – VaultSocial Media VaultFile & Password VaultDownloadsStoreCompanyCloseAbout UsFeedbackSitemapMedia KitPressPartnerLegalBlogContact UsNewSoftwares – Privacy Policy,466,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Read our privacy policy to learn more about your privacy rights…NewSoftwares LLC – Privacy PolicyThis privacy notice for NewSoftwares LLC (“Company,” “we,” “us,” or “our“), describes how and why we might collect, store, use, and/or share (“process“) your information when you use our services (“Services“), such as when you:Visit our website athttps://www.newsoftwares.net, or any website of ours that links to this privacy notice.",431,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Download and use our mobile, desktop or any other applications that links to this privacy notice.Engage with us in other related ways, including any sales, marketing, or events.Questions or concerns?Reading this privacy notice will help you understand your privacy rights and choices. If you do not agree with our policies and practices, please do not use our Services. If you still have any questions or concerns, please contact us at[email protected].",453,<generic>,<error>
Summary of Key Points,SUMMARY OF KEY POINTS,100.0,1416,main,"SUMMARY OF KEY POINTSThis summary provides key points from our privacy notice, but you can find out more details about any of these topics by clicking the link following each key point or by using our table of contents below to find the section you are looking for. You can also clickhereto go directly to our table of contents.What personal information do we process?",368,<generic>,<error>
Summary of Key Points,SUMMARY OF KEY POINTS,100.0,1416,main,"When you visit, use, or navigate our Services, we may process personal information depending on how you interact with NewSoftwares LLC and the Services, the choices you make, and the products and features you use. Clickhereto learn more.Do we receive any information from third parties?We do not receive any information from third parties.How do we process your information?",374,<generic>,<error>
Summary of Key Points,SUMMARY OF KEY POINTS,100.0,1416,main,"We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with law. We may also process your information for other purposes with your consent. We process your information only when we have a valid legal reason to do so. Clickhereto learn more.In what situations and with which parties do we share personal information?We may share information in specific situations and with specific third parties. Clickhere",499,<generic>,<error>
Summary of Key Points,SUMMARY OF KEY POINTS,100.0,1416,main,"to learn more.How do we keep your information safe?We have organizational and technical processes and procedures in place to protect your personal information. However, no electronic transmission over the internet or information storage technology can be guaranteed to be 100% secure, so we cannot promise or guarantee that hackers, cybercriminals, or other unauthorized third parties will not be able to defeat our security and improperly collect, access, steal, or modify your information. Clickhere",501,<generic>,<error>
Summary of Key Points,SUMMARY OF KEY POINTS,100.0,1416,main,"to learn more.What are your rights?Depending on where you are located geographically, the applicable privacy law may mean you have certain rights regarding your personal information. Clickhereto learn more.How do you exercise your rights?The easiest way to exercise your rights is by filling out our data subject request form available here:secure.newsoftwares.net, or by contacting us. We will consider and act upon any request in accordance with applicable data protection laws.",480,<generic>,<error>
Summary of Key Points,SUMMARY OF KEY POINTS,100.0,1416,main,Want to learn more about what NewSoftwares LLC does with any information we collect? Clickhereto review the notice in full.TABLE OF CONTENTS1. ,143,<generic>,<error>
What Information Do We Collect?,WHAT INFORMATION DO WE COLLECT?,100.0,3815,main,WHAT INFORMATION DO WE COLLECT?2. HOW DO WE PROCESS YOUR INFORMATION?3. WHAT LEGAL BASES DO WE RELY ON TO PROCESS YOUR PERSONAL INFORMATION?4. WHEN AND WITH WHOM DO WE SHARE YOUR PERSONAL INFORMATION?5. WHAT IS OUR STANCE ON THIRD-PARTY WEBSITES?6. HOW LONG DO WE KEEP YOUR INFORMATION?7. HOW DO WE KEEP YOUR INFORMATION SAFE?8. DO WE COLLECT INFORMATION FROM MINORS?9. WHAT ARE YOUR PRIVACY RIGHTS?10. CONTROLS FOR DO-NOT-TRACK FEATURES11. DO CALIFORNIA RESIDENTS HAVE SPECIFIC PRIVACY RIGHTS?,494,<first>,<what>
What Information Do We Collect?,WHAT INFORMATION DO WE COLLECT?,100.0,3815,main,"12. DO WE MAKE UPDATES TO THIS NOTICE?13. HOW CAN YOU CONTACT US ABOUT THIS NOTICE?14. HOW CAN YOU REVIEW, UPDATE, OR DELETE THE DATA WE COLLECT FROM YOU?WHAT INFORMATION DO WE COLLECT?",185,<first>,<what>
Personal Information You Disclose to Us,Personal information you disclose to us,100.0,4509,sub,"Personal information you disclose to usIn Short:We collect personal information that you provide to us.We collect personal information that you voluntarily provide to us when you register on the Services, express an interest in obtaining information about us or our products and Services, when you participate in activities on the Services, or otherwise when you contact us.Personal Information Provided by You:",411,<first>,<what>
Personal Information You Disclose to Us,Personal information you disclose to us,100.0,4509,sub,"The personal information that we collect depends on the context of your interactions with us and the Services, the choices you make, and the products and features you use.We may not encrypt the following information and may keep them on our server:NameAddressEmail AddressPhone NumberApplication DataSubscription InformationWe encrypt the following information on your own devices and do not keep them on our server:Sensitive Data (Files and Folders you choose to encrypt using our products)PhotosVideosAudio",508,<first>,<what>
