decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Android boy's Blog: Privacy PolicyAndroid boy's BlogNo.1 Android Toolbox - Smart Tools ®September 11, 2017Privacy Policy[English]  [한국]  [日本國]",142,<error>,<error>
Privacy Policy for Mobile Applications,Privacy Policy for Mobile Applications,100.0,152,main,"Privacy Policy for Mobile ApplicationsSmart Tools corporation(""We"", ""Our"", ""Us"") has developed this Privacy Policy to help you understand how we collect, use and protect the information. We encourage you to read this Privacy Policy carefully so that you can make informed decisions about your use of our mobile applications(""the apps"").",336,<generic>,<error>
Privacy Policy for Mobile Applications,Privacy Policy for Mobile Applications,100.0,152,main,"By installing and using the apps, you agree to this privacy policy and give an explicit and informed consent to the processing. If you do not agree, please do not install and use the apps.",188,<generic>,<error>
1. Non-personal Data,1. Non-personal Data,100.0,679,main,"1. Non-personal DataNon-personal data means information that, by itself, does not personally identify you. We may collect Non-personal data such as your device model number, OS version, country code and other properties for purposes of managing the apps and communicating with you.",281,<generic>,<error>
2. Ad serving Technology,2. Ad serving Technology,100.0,962,main,"2. Ad serving TechnologyWe may disclose Non-personal data to third parties and/or allow third parties to collect Non-personal data through their own embedded technology. In order to deliver ads to you, the third-party advertising companies may place or recognize unique cookies, anonymous identifiers or similar technology for non-personally identifiable information. If you would like more information, please follow the link below:",433,<third>,<error>
AdMob,AdMob,100.0,1397,sub,AdMob -https://policies.google.com/technologies/partner-sites,61,<third>,<error>
3. Location Data,3. Location Data,100.0,1460,main,"3. Location DataSome of the apps may request your Location data for a functional purpose. We may use various technologies to determine location, such as GPS, Wi-Fi or other network-based data such as IP address. Your GPS geo-location is not accessed without your consent. We do NOT provide your Location data for any advertising networks and third parties except Google.",370,<third>,<error>
Maps,Maps,100.0,1832,sub,Maps -https://cloud.google.com/maps-platform/terms,50,<third>,<error>
4. Personal Data,4. Personal Data,100.0,1884,main,"4. Personal DataPersonal data means personally identifiable information that specifically identifies you as an individual (e.g. your name, email address). We collect and store Personal data only with your consent. We may use your Personal data to send emails to you with informative content about the apps, such as new features and services, special offers, order issues and updated information.",395,<first>,<error>
5. Third party terms and conditions,5. Third party terms and conditions,100.0,2281,main,5. Third party terms and conditionsPlease note that your access to and use of the apps may be subject to certain third-party terms and conditions and privacy policies. You recognize and agree that we is not liable for any such third-party terms and conditions and any third party’s use of your Personal data. Here are links to the privacy policies of a few of the distributors we use:,384,<third>,<error>
Google,Google,100.0,2667,sub,Google -http://www.google.com/intl/en/policies/privacy/,55,<third>,<error>
Galaxy Apps,Galaxy Apps,100.0,2724,sub,Galaxy Apps -https://account.samsung.com/membership/pp,54,<third>,<error>
Amazon,Amazon,100.0,2780,sub,Amazon -http://www.amazon.com/gp/help/customer/display.html?nodeId=468496,73,<third>,<error>
6. Disclosure and Transfer of Personal Data,6. Disclosure and Transfer of Personal Data,100.0,2855,main,"6. Disclosure and Transfer of Personal DataWe disclose information to respond to subpoenas, court orders and other legal processes as well as to establish/exercise our legal rights or defend against legal claims. We will share Personal data and Non-personal data in order to investigate, prevent or take action against illegal activities, suspected fraud, potential threats to the physical safety of any person, violations of our Terms of Use or as otherwise required by law.",475,<third>,<error>
6. Disclosure and Transfer of Personal Data,6. Disclosure and Transfer of Personal Data,100.0,2855,main,"If you have any questions about this Privacy Policy, please contact us atandroidboy＠naver.comLast Update: May 09, 2022==========================[한국]",148,<third>,<error>
안드로이드 앱 개인정보 처리방침,안드로이드 앱 개인정보 처리방침,100.0,3487,main,안드로이드 앱 개인정보 처리방침,17,<generic>,<error>
1. 개인정보의 처리 목적,1. 개인정보의 처리 목적,100.0,3505,main,"1. 개인정보의 처리 목적스마트툴스(주)(이하 ""본사"")에서 개발한 모든 안드로이드 도구 어플리케이션들(이하 ""도구앱"")은  다음의 목적을 위하여 개인정보를 처리하고 있으며, 다음의 목적 이외의 용도로는 이용하지 않습니다.① 도구앱의 측정 및 결과저장 용도",143,<first>,<error>
2. 처리하는 개인정보 항목,2. 처리하는 개인정보 항목,100.0,3651,main,"2. 처리하는 개인정보 항목도구앱은 개인을 특정할 수 있는 개인정보는 수집하지 않으며, 다음의 접근권한을 요구할 수 있습니다.① 카메라/사진 : 카메라뷰를 화면의 배경으로 사용 및 스크린샷② 오디오 녹음 : 마이크 측정값을 받아 소음 계산③ 저장 기능 : 스크린샷을 기기에 저장④ 위치 정보 : 사용자의 현재위치(위도,경도)를 보여줌",186,<first>,<error>
3. 개인정보의 처리 및 보유 기간,3. 개인정보의 처리 및 보유 기간,100.0,3843,main,3. 개인정보의 처리 및 보유 기간도구앱에서 사용되는 개인정보는 이용자의 단말기에만 저장됩니다.,53,<retention>,<error>
4. 개인정보의 제3자 제공에 관한 사항,4. 개인정보의 제3자 제공에 관한 사항,95.45454545454545,3898,main,4. 개인정보의 제3자 제공에 관한 사항도구앱에서 사용되는 개인정보는 이용자의 동의없이 제3자에게 제공되지 않습니다.,65,<third>,<error>
5. 개인정보처리 위탁,5. 개인정보처리 위탁,100.0,3965,main,5. 개인정보처리 위탁본사는 개인정보처리 업무를 위탁하지 않습니다.,37,<first>,<error>
6. 개인정보 파기절차 및 방법,6. 개인정보 파기절차 및 방법,100.0,4004,main,6. 개인정보 파기절차 및 방법원칙적으로 정보를 외부로 전송하지 않으므로 앱을 종료하거나 삭제하는 경우 개인정보를 포함한 모든 데이터가 즉각 파기 됩니다.,86,<retention>,<error>
7. 이용자 및 법정대리인의 권리와 그 행사방법,7. 이용자 및 법정대리인의 권리와 그 행사방법,100.0,4092,main,7. 이용자 및 법정대리인의 권리와 그 행사방법이용자 및 법정 대리인은 언제든지 등록되어 있는 자신 혹은 당해 만 14세 미만 아동의 개인정보를 조회하거나 수정할 수 있으며 정보 삭제를 요청할 수도 있습니다.,116,<choice>,<error>
8. 개인정보의 안전성 확보 조치,8. 개인정보의 안전성 확보 조치,100.0,4210,main,"8. 개인정보의 안전성 확보 조치도구앱은 개인정보보호법 제29조에 따라 다음과 같이 안전성 확보에 필요한 기술적/관리적 및 물리적 조치를 하고 있습니다.① 수집되는 모든 정보는 이용자의 단말기 내에만 저장되며, 기술적으로 외부에서의 접근이 불가능합니다",140,<security>,<error>
9. 개인정보 보호책임자,9. 개인정보 보호책임자,100.0,4353,main,9. 개인정보 보호책임자 작성본사는 이용자의 개인정보를 보호하고 이와 관련된 불만이나 불편 서비스를 처리하기 위해 아래와 같이 개인정보처리 창구를 지정하여 관리하고 있습니다.▶ 개인정보 보호책임자성명 : 구미라직책 : 실장이메일 : androidboy@naver.com,150,<contact>,<error>
