decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy PolicyBu Dökümanın Türkçesi İçin TıklayınızdocumentI,60,<error>,<error>
Introduction,"ntroduction
",100.0,63,main,"ntroductionThis is the Privacy Policy of Loka Digital Medya ve Teknoloji A.Ş. and SoLive and its various & next versions including SoLive web version, “SoLive go” (collectively hereinafter, “SoLive”, “us”, “we”, or “our”) and is incorporated into and is subject to our Terms of Use which can be found athttps://so-live.web.app/terms/",333,<error>,<error>
Introduction,"ntroduction
",100.0,63,main,"In this Privacy Policy, we refer to our products and services as the “Service.” Please read on to learn more about our data handling practices. Your use of the Service signifies that you agree with the terms of this Privacy Policy. If you do not agree with the terms of this Privacy Policy, do not use the Service.T",315,<error>,<error>
Terms of Service,erms of Service ,100.0,715,sub,erms of Service can be found here.I,35,<error>,<error>
Information we collect,"nformation we collect
",100.0,751,main,nformation we collectW,22,<generic>,<what>
When you install the Service on your device and register with SoLive,"hen you install the Service on your device and register with SoLive,",100.0,774,sub,"hen you install the Service on your device and register with SoLive, personally identifiable information about you may be collected during the download process for the Service (as requested from you during the download process) when you register with us. For registration through SoLive, you are required to provide your mobile phone number or your email address, city location, gender, name, depending on the device(s) you are using on the Service. You may also provide personally identifiable information, but that is optional. W",531,<first>,<when>
When you log in using your Facebook account,"hen you log in using your Facebook account,",100.0,1305,sub,"hen you log in using your Facebook account, we may collect additional information you make available to us (see “Your User Profile”) below.In addition, w",153,<first>,<when>
When you install the Service on your device and register with SoLive,"hen you install the Service on your device and register with SoLive,",100.0,1459,sub,"hen you install the Service on your device and register with SoLive, you may will be asked to allow us access to your address book. If you consent, we will have access to contact information in your address book on the devices you use for the Service (names, numbers, emails, and Facebook ID, but not notes or other personal information in your address book) and we will store it on our servers and use it to help you use the Service, for example, by synchronizing your SoLive contacts between different devices you may want to use with the Service. If you do not want SoLive to store this information, you may opt-out through your account settings in the SoLive application at any time. However we may not be able to offer some of the features that require this information.",775,<first>,<when>
When you install the Service on your device and register with SoLive,"hen you install the Service on your device and register with SoLive,",100.0,1459,sub,"SoLive may also collect and gather non-personally identifiable information, such as certain profile information including country of residence and preferences. In addition, SoLive may collect and store information about your and others’ usage of and interaction with the Service and our websites, including matches, numbers of matches made by members, match durations, text messages, usage by geographies, device and connection information, IP address, device capability, bandwidth, statistics on page views, network type and traffic to and from our websites.",559,<first>,<when>
When you install the Service on your device and register with SoLive,"hen you install the Service on your device and register with SoLive,",100.0,1459,sub,"SoLive allows you to share text messages, photos, screenshots, videos and other communications in the SoLive application with other users, and if you choose to do so your text messages, photos, screenshots, videos and other communications will be stored on our servers. In addition, if you choose to share these items with other SoLive users, we may not be able to remove them from our servers or make them unavailable to anyone you have shared them with. Sending and sharing text messages, photos, screenshots, videos or other communications in the SoLive application is your decision. By choosing to share that information, you should understand that you may no longer be able to control how that information is used and that it may become publicly available (depending in part on your actions or the actions of others with whom you have shared the information). SoLive is not responsible for any use or misuse of information you share.",938,<first>,<when>
When you install the Service on your device and register with SoLive,"hen you install the Service on your device and register with SoLive,",100.0,1459,sub,"SoLive may also collect and gather user contents (e.g., photos, screenshots, comments, and other materials) that you create on the Service. Your photo can be taken by other users on the SoLive, and If they use capturing function provided by the SoLive, those photos can be stored and used for SoLive and 3rd party’s service(eg, Facebook, etc.). You can change sharing option of 3rd party on the SoLive settings. If you do not agree with all the terms of this Privacy Policy, do not use the Service.",498,<first>,<when>
When you install the Service on your device and register with SoLive,"hen you install the Service on your device and register with SoLive,",100.0,1459,sub,"To complete a commerce transaction on SoLive item shop, you will be requested to provide your payment information, including your credit card number, card expiration date, CVV code, and billing address. In that event, we will transmit your information securely directly to a third party vendor or merchant who will collect such information in order to process and fulfill your purchase. SoLive does not process or store your payment information. However, we may store other information about your purchases made on the Service, which may include the merchant’s name, the date, time and amount of the transaction and other behavioral information.",645,<first>,<when>
When you install the Service on your device and register with SoLive,"hen you install the Service on your device and register with SoLive,",100.0,1459,sub,"We also collect error-reporting information if the Service crashes or hangs up so that we can investigate the error and improve the stability of the Service for future releases. In general these reports do not contain personally identifiable information, or only incidentally. As part of these error reports, we receive information about the type and version of your device, the device identifier, the time the error occurred, the feature being used and the state of the application when the error occurred. We do not use this information for any purpose other than investigating and fixing the error.",601,<first>,<when>
When you install the Service on your device and register with SoLive,"hen you install the Service on your device and register with SoLive,",100.0,1459,sub,S,1,<first>,<when>
Sharing of your information,"haring of your information
",100.0,5482,main,"haring of your informationWe will not rent or sell your information to third parties (or the group of companies of which SoLive is a part) without your consent, except as noted in this Policy.P",193,<third>,<what>
Parties with whom we may share your information,arties with whom we may share your information:,100.0,5677,sub,arties with whom we may share your information:●,48,<third>,<what>
Parties with whom we may share your information,arties with whom we may share your information:,100.0,5677,sub,"We may share User Content and your information (including but not limited to, information from cookies, log files, device identifiers, location data, and usage data) with businesses that are legally part of the same group of companies that SoLive is part of, or that become part of that group (""Affiliates""). Affiliates may use this information to help provide, understand, and improve the Service (including by providing analytics) and Affiliates' own services (including by providing you with better and more relevant experiences). But these Affiliates will honor the choices you make about who can see your contents.",619,<third>,<what>
Parties with whom we may share your information,arties with whom we may share your information:,100.0,5677,sub,"●We also may share your information as well as information from tools like cookies, log files, and device identifiers and location data, with third-party organizations that help us provide the Service to you (""Service Providers""). Our Service Providers will be given access to your information as is reasonably necessary to provide the Service under reasonable confidentiality terms.●",384,<third>,<what>
Parties with whom we may share your information,arties with whom we may share your information:,100.0,5677,sub,"We may also share aggregate or anonymous information with third parties, including advertisers and investors. For example, we may tell our advertisers the number of users our app receives. This information does not contain any personal or personally identifiable information, and is used to develop content and services that we hope you will find of interest.●",360,<third>,<what>
Parties with whom we may share your information,arties with whom we may share your information:,100.0,5677,sub,We may remove parts of data that can identify you and share anonymized data with other parties. We may also combine your information with other information in a way that it is no longer associated with you and share that aggregated information.P,245,<third>,<what>
Parties with whom you may choose to share your User Content,arties with whom you may choose to share your User Content:,100.0,7342,sub,"arties with whom you may choose to share your User Content:●Any information or content that you voluntarily disclose for posting to the Service, such as User Content, becomes available to the public. With this feature, SoLive can be protected from exhibitionism. Once you have shared User Content or made it public, that User Content may be re-shared by others.●",362,<third>,<what>
Parties with whom you may choose to share your User Content,arties with whom you may choose to share your User Content:,100.0,7342,sub,"If you remove information and contents(eg. Screenshots, etc.) that you created on the Service, copies may remain viewable in cached and archived pages of the Service, or if other Users or third parties have copied or saved that information.(eg. Facebook, etc.)H",261,<third>,<what>
How we use information we collect,"ow we use information we collect
",100.0,7970,main,"ow we use information we collectWe use or may disclose your personal information only as follows:●To verify your identity;●To connect you with others as enabled by the Service;●To share your Profile with others on the Service;●To allow your use of certain features of the Service that may be offered from time to time (such as Premium Services (see our Terms of Use), etc.);●To show you the names of persons you communicate with and to show your name to persons you communicate with on the Service;●",499,<generic>,<how-used>
How we use information we collect,"ow we use information we collect
",100.0,7970,main,"To deliver to you any administrative notices, alerts and communications relevant to your use of the Service;●To provide you with relevant content that you requested, using information that you allow us to collect from you or that you provide to a social media provider with which your SoLive account is connected, such as information regarding your and your SoLive contacts' respective locations;●",397,<generic>,<how-used>
How we use information we collect,"ow we use information we collect
",100.0,7970,main,"To contact you via email, SMS or otherwise for the purpose of informing you about new products, services or promotions offered by SoLive (you can opt-out of such emails or SMSs by sending an email to info@https://so-live.web.app/);●For internal operations, including troubleshooting problems, data analysis, testing, research, improvements to the Service, detecting and protecting against error, fraud or other illegal activity;●",429,<generic>,<how-used>
How we use information we collect,"ow we use information we collect
",100.0,7970,main,"When we have a good faith belief that the law, any legal process, law enforcement, national security or issue of public importance requires disclosure;●To protect and defend our rights or property (including to enforce our Terms of Use and other agreements); or●In connection with a corporate transaction involving SoLive, such as the purchase or sale of a business unit, an acquisition, merger, sale of assets, or other similar event.Y",436,<generic>,<how-used>
Your User Profile,"our User Profile
",100.0,9757,main,our User Profile,16,<first>,<what>
Your User Profile,"our User Profile
",100.0,9757,main,"The information you enter into your user profile (your “Profile”) may be shared with your SoLive contacts. You control your Profile and you can access and modify your Profile from the SoLive application at any time. In addition, if you register with SoLive using your Facebook account (e.g. Facebook Connect), we may store your Facebook ID and corresponding token on our servers and, if you give us your express consent, we will have access to and may collect certain information that you make available on Facebook (for example, your first and last names, email address, profile picture, your friend lists and birthdays). Your Profile is available to other users of the Service who are connected to you on SoLive. In addition, unless you opt-out (which you may do at any time in the SoLive application), your Profile is discoverable by other SoLive users, including by way of example in listings of contacts that will include your proximity to other users. You may also “block out” any SoLive user in your contact list from discovering your Profile at any time. In addition, SoLive may pre-populate your Profile with certain information such as your name and Facebook profile picture if you or your friends have logged onto the Service using Facebook.",1252,<first>,<what>
Your User Profile,"our User Profile
",100.0,9757,main,D,1,<first>,<what>
