decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyDeluxeware built the App app asa Freemium app. This SERVICE is provided byDeluxeware at no cost and is intended for use asis.This page is used to inform visitors regarding ourpolicies with the collection, use, and disclosure of PersonalInformation if anyone decided to use our Service.If you choose to use our Service, then you agree tothe collection and use of information in relation to thispolicy. The Personal Information that we collect is",472,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"used for providing and improving the Service. We will not use or share your information withanyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meaningsas in our Terms and Conditions, which are accessible atApp unless otherwise defined in this Privacy Policy.",309,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,798,main,Information Collection and Use,30,<generic>,<error>
For a better experience,For a better experience,100.0,829,sub,"For a better experience, while using our Service, wemay require you to provide us with certain personallyidentifiable information. The information thatwe request will be retained by us and used as described in this privacy policy.The app does use third-party services that may collectinformation used to identify you.",317,<first>,<error>
Link to the privacy policy of third-party service providers used by the app,"Link to the privacy policy of third-party service providers used
by the app",98.66666666666667,1152,main,Link to the privacy policy of third-party service providers usedby the app,74,<third>,<error>
Google Play Services,Google Play Services,100.0,1228,sub,Google Play Services,20,<first>,<error>
AdMob,AdMob,100.0,1249,sub,AdMob,5,<first>,<error>
HUQ,HUQ,100.0,1255,sub,HUQ,3,<first>,<error>
Google Analytics for Firebase,Google Analytics for Firebase,100.0,1259,sub,Google Analytics for Firebase,29,<first>,<error>
Firebase Crashlytics,Firebase Crashlytics,100.0,1289,sub,Firebase Crashlytics,20,<first>,<error>
Facebook,Facebook,100.0,1310,sub,Facebook,8,<first>,<error>
Unity,Unity,100.0,1319,sub,Unity,5,<first>,<error>
AppLovin,AppLovin,100.0,1325,sub,AppLovin,8,<first>,<error>
Vungle,Vungle,100.0,1334,sub,Vungle,6,<first>,<error>
