decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy Policybuilt the ExÃ¡menes de Conducir Chile - PracticaTest app as a Freemium app. This SERVICE is provided byat no cost and is intended for use as is.This page is used to inform visitors regarding my policies with the collection, use, and disclosureof Personal Information if anyone decided to use my Service.If you choose to use my Service, then you agree to the collection and use of information in",422,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"relation to this policy. The Personal Information that I collect is used for providing and improvingthe Service. I will not use or share your information with anyone except as describedin this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which isaccessible at ExÃ¡menes de Conducir Chile - PracticaTest unless otherwise defined in this Privacy Policy.",414,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,848,main,"Information Collection and UseFor a better experience, while using our Service, I may require you to provide us with certainpersonally identifiable information, including but not limited to Ismael. The information that I request will be retained on your device and is not collected by me in any way.The app does use third party services that may collect information used to identify you.",387,<generic>,<what>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,1239,main,Link to privacy policy of third party service providers used by the app,71,<third>,<what>
Google Play Services,Google Play Services,100.0,1311,main,Google Play Services,20,<third>,<what>
Log Data,Log Data,100.0,1332,main,"Log DataI want to inform you that whenever you use my Service, in a case ofan error in the app I collect data and information (through third party products) on your phonecalled Log Data. This Log Data may include information such as your device Internet Protocol (â€œIPâ€) address,device name, operating system version, the configuration of the app when utilizing my Service,the time and date of your use of the Service, and other statistics.",443,<first>,<what>
Cookies,Cookies,100.0,1781,main,"CookiesCookies are files with a small amount of data that are commonly used as anonymous unique identifiers.These are sent to your browser from the websites that you visit and are stored on your device's internalmemory.This Service does not use these â€œcookiesâ€ explicitly. However, the app may use third party code andlibraries that use â€œcookiesâ€ to collect information and improve their services. You have the option to",428,<tracking>,<what>
Cookies,Cookies,100.0,1781,main,"either accept or refuse these cookies and know when a cookie is being sent to your device. If you chooseto refuse our cookies, you may not be able to use some portions of this Service.",184,<tracking>,<what>
Service Providers,Service Providers,100.0,2401,main,"Service ProvidersI may employ third-party companies and individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.I want to inform users of this Service that these third parties have access toyour Personal Information. The reason is to perform the tasks assigned to them on our behalf. However,they are obligated not to disclose or use the information for any other purpose.",509,<third>,<what>
Security,Security,100.0,2919,main,"SecurityI value your trust in providing us your Personal Information, thus we are strivingto use commercially acceptable means of protecting it. But remember that no method of transmission overthe internet, or method of electronic storage is 100% secure and reliable, and I cannot guaranteeits absolute security.",312,<security>,<why>
Links to Other Sites,Links to Other Sites,100.0,3236,main,"Links to Other SitesThis Service may contain links to other sites. If you click on a third-party link, you will be directedto that site. Note that these external sites are not operated by me. Therefore, I stronglyadvise you to review the Privacy Policy of these websites. I have no control overand assume no responsibility for the content, privacy policies, or practices of any third-party sitesor services.",407,<third>,<other>
Children’s Privacy,Childrenâ€™s Priva,83.33333333333334,3649,main,"Childrenâ€™s PrivacyThese Services do not address anyone under the age of 13. I do not knowingly collectpersonally identifiable information from children under 13. In the case I discover that a childunder 13 has provided me with personal information, I immediately delete this fromour servers. If you are a parent or guardian and you are aware that your child has provided us with personalinformation, please contact me so that I will be able to do necessary actions.",467,<audience>,<when>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4122,main,"Changes to This Privacy PolicyI may update our Privacy Policy from time to time. Thus, you are advised to reviewthis page periodically for any changes. I will notify you of any changes by postingthe new Privacy Policy on this page. These changes are effective immediately after they are posted onthis page.",306,<change>,<when>
Contact Us,Contact Us,100.0,4433,main,"Contact UsIf you have any questions or suggestions about my Privacy Policy, do not hesitate to contactme.",105,<contact>,<how-gathered>
