decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyEffective as of March 6, 2017",57,<error>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"We, Code My Brains Out takes user privacy very seriously. While using our products (including services), we may collect and use your relevant information in order to improve the quality of our services; we will do everything in our power to protect your privacy, as long as it is within a reasonable business scope. We recommend that you read the ""Privacy Policy"" in detail to get an understanding of what type of information we collect, how we collect this information and how we use it. By using our products or services, you agree to the collection, storage and use of your information as long as it follows the context dictated here and the adherence of local laws and regulations.",685,<error>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"This ""Privacy Policy"" utilizes certain professional terms; we will try to explain things as concise as possible, so that you may understand completely.",151,<error>,<error>
The Collection and Use of Information,The collection and use of information,100.0,898,main,The collection and use of information,37,<first>,<error>
"We collect and store relevant personal information in order to create your Account, and to provide the necessary support for any follow-up services.","We collect and store relevant personal information in order to create your Account, and to provide the necessary support for any follow-up services.",100.0,936,sub,"We collect and store relevant personal information in order to create your Account, and to provide the necessary support for any follow-up services. If you do not wish to provide this information, you might not be able to register an account, enjoy any or all services provided afterwards, or get the best user experience of certain services. Unregistered users may also use certain functions; we do not collect any personal information from unregistered users.",461,<first>,<how-used>
The Information We Collect Includes：,The information we collect includes：,100.0,1398,main,The information we collect includes：,36,<first>,<what>
"Any names, email addresses, mailing addresses, username, bio, uploaded profile photos etc. entered or filled in when you register for an account.","Any names, email addresses, mailing addresses, username, bio, uploaded profile photos etc. entered or filled in when you register for an account.",100.0,1435,sub,"Any names, email addresses, mailing addresses, username, bio, uploaded profile photos etc. entered or filled in when you register for an account.",145,<first>,<what>
"The information collected When using ""Share Photo Stream"" or ""Share"" services.","The information collected When using ""Share Photo Stream"" or ""Share"" services.",100.0,1581,sub,"The information collected When using ""Share Photo Stream"" or ""Share"" services.",78,<first>,<what>
Other information we collect includes：,Other information we collect includes：,100.0,1660,sub,Other information we collect includes：,38,<first>,<error>
"Any geographical locations, system languages, device model and type, or operating system versions while you are interacting with our services using any computers or devices.","Any geographical locations, system languages, device model and type, or operating system versions while you are interacting with our services using any computers or devices.",100.0,1699,sub,"Any geographical locations, system languages, device model and type, or operating system versions while you are interacting with our services using any computers or devices. This information will help us learn more about you, in order to optimize services and provide a better user experience.",293,<first>,<what>
"Any records, including statistical information, key operation paths, error logs, crash logs, etc. you encounter while using our products.","Any records, including statistical information, key operation paths, error logs, crash logs, etc. you encounter while using our products.",100.0,1993,sub,"Any records, including statistical information, key operation paths, error logs, crash logs, etc. you encounter while using our products. This will help us to get a better understanding of the status of our products, in order to improve our services, further optimize user experience and provide higher quality products.",320,<first>,<what>
Any location information and file creation times for your photos (or similar files);  any special characteristics of persons within your photos; and any content contained within your photos.,Any location information and file creation times for your photos (or similar files);  any special characteristics of persons within your photos; and any content contained within your photos.,100.0,2314,sub,"Any location information and file creation times for your photos (or similar files);  any special characteristics of persons within your photos; and any content contained within your photos. We will use this information to provide ""People Aggregation"", ""Location Aggregation"", ""Content Labeling"", as well as a combination of other custom features using these functions as a basic foundation.",391,<first>,<what>
