decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyLast Updated: April 8, 2019Your privacy is important to us and we are committed to protecting your privacy. So                weâ€™ve developed a Privacy Policy. Please take a moment to familiarize yourself with                our privacy practices and let us know if you have any questions.",319,<error>,<error>
INFORMATION WE COLLECTED,INFORMATION WE COLLECTED,100.0,325,main,"INFORMATION WE COLLECTEDWe collect information about the product and services that you use and how you use                them in order to properly provide the core or important features of the product                and/or services, or to improve our product or services, or to provide additional                features to our product (such as value-added services and promotions, etc.). Some of                the reasons that we collect Personal Information include:Â·",472,<generic>,<what>
"1. Provide our product and services, including our app and related website (if any), and improve them over time;"," Provide our product and services, including our app and related website (if any),
                and improve t",85.71428571428572,803,sub," Provide our product and services, including our app and related website (if any),                and improve them over time;",125,<first>,<why>
2. Allow you to download and purchase products and services;,Â· Allow you to download and purchase products and services;,96.66666666666667,930,sub,Â· Allow you to download and purchase products and services;Â·,62,<first>,<why>
"3. Personalize and manage our relationship with you, including introducing you to products or services that may be of interest to you or to provide customer support;"," Personalize and manage our relationship with you, including introducing you to
                products or services that may be of interest to you or to provide cus",90.30303030303031,993,sub," Personalize and manage our relationship with you, including introducing you to                products or services that may be of interest to you or to provide customer                support;",193,<first>,<why>
"4. Investigate, respond to, and manage inquiries or events;","Â· Investigate, respond to, and manage inquiries or events;",96.61016949152543,1189,sub,"Â· Investigate, respond to, and manage inquiries or events;",59,<first>,<why>
5. Work with and respond to law enforcement and regulators;,Â· Work with and respond to law enforcement and regulators;,96.61016949152543,1249,sub,Â· Work with and respond to law enforcement and regulators;Â·,61,<first>,<why>
"6. Research matters relating to our product and business, such as security threats and vulnerabilities, or conducting internal audit, data analysis, and research."," Research matters relating to our prod and business, such as security threats and
                vulnerabilities, or conducting internal audit, data analysis, an",90.12345679012346,1311,sub," Research matters relating to our prod and business, such as security threats and                vulnerabilities, or conducting internal audit, data analysis, and research. If you                do not provide some of the information mentioned below, you may not be able to                continue using the product and/or services that we provide, and if you do not agree                that the information to be collected after your installation or use of the product,",471,<first>,<why>
"6. Research matters relating to our product and business, such as security threats and vulnerabilities, or conducting internal audit, data analysis, and research."," Research matters relating to our prod and business, such as security threats and
                vulnerabilities, or conducting internal audit, data analysis, an",90.12345679012346,1311,sub,"                you may stop using or uninstall our product and/or services, or contact with us for                advice; for the other types of information, your refusal to provide or opt-out                option may cause you unable to access certain specific features or get the best                experience.",315,<first>,<why>
1)Device information,1)Device information,100.0,2106,main,"1)Device informationWe collect device-specific information (such as your hardware model, Android version,                device manufacturer details and model name, GAID, and mobile network state ).                Different device identifiers vary in how permanent they are, whether they can be                reset by users, and how they can be accessed. A given device may have several                different unique device identifiers. Unique device identifiers can be used for",481,<first>,<what>
1)Device information,1)Device information,100.0,2106,main,"                various purposes, including security and fraud detection, syncing services such as a                userâ€™s email inbox, remembering the userâ€™s preferences and providing relevant                advertising.)",226,<first>,<what>
2)Log information,2)Log information,100.0,2822,main,"2)Log informationWhen you use our services or view the content provided by us, we automatically                collect and store certain information in server logs. This includes:Â",180,<first>,<what>
"· Details of how you used our service, such as your search queries.","· Details of how you used our service, such as your search queries.",100.0,3005,sub,"· Details of how you used our service, such as your search qu",61,<first>,<what>
"· Device event information such as crashes, system activity and hardware settings.","eries.
Â· Device event information such as crashes, system activity and hardware
 ",89.02439024390245,3066,sub,"eries.Â· Device event information such as crashes, system activity and hardware                settings.Â· Our collection of aforesaid information is for analyzing our product functions and                improving our productâ€™s user experience.",247,<first>,<what>
3)Permissions on your device,"
3)Permissions on you device",96.42857142857143,3317,main,3)Permissions on yo,19,<first>,<what>
"1) In providing our product’s functions and services, we may need you to allow certain “permissions” on your device, which will enable to information collection and usage relevant to those functions.","u device
Â·1)In providing our productâ€™s functions and services, we may need you to allow
                certain â€œpermissionsâ€ on your device, which will enable to information collection
      ",81.4070351758794,3337,sub,"u deviceÂ·1)In providing our productâ€™s functions and services, we may need you to allow                certain â€œpermissionsâ€ on your device, which will enable to information collection                and usage relevant to those functions. The permission we needed include the internal                storage and sd card permissions in order to classify and manage files on your                device.Â· ",409,<first>,<how-gathered>
