decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy PolicyFunDevs,21,<error>,<error>
About,About,100.0,23,main,About,5,<error>,<error>
Policy,Policy,100.0,29,main,PolicyPrivacy Policy,20,<error>,<error>
Important Disclosures Related to Mobile Data Collection and Usage,Important Disclosures Related to Mobile Data Collection and Usage,100.0,51,main,Important Disclosures Related to Mobile Data Collection and Usage,65,<error>,<error>
"When this app is in use, we collect and share with our business partners certain device and location data:","When this app is in use, we collect and share with our business partners certain device and location data:",100.0,117,sub,"When this app is in use, we collect and share with our business partners certain device and location data:  Precise location data, Wi-Fi signals or Bluetooth Low Energy devices in your proximity, device-based advertising identifiers, app names and/or identifiers, internet or other electronic network activity information, and information about your mobile device such as type of device, operating system version and type, device settings, time zone, carrier, and IP address.",475,<first>,<how-gathered>
That data may be used for the following purposes:,"
That data may be used for the following purposes",97.95918367346938,592,sub,That data may be used for the following purposes:  ,51,<first>,<error>
(a) to customize ads in apps and other advertising;,(a) to customize ads in apps and other advertising;,100.0,645,sub,(a) to customize ads in apps and other advertising;  ,53,<first>,<how-used>
(b) to measure effectiveness of those ads;,(b) to measure effectiveness of those ads;,100.0,698,sub,(b) to measure effectiveness of those ads; ,43,<first>,<how-used>
(c) for app and user analytics;,(c) for app and user analytics;,100.0,741,sub,(c) for app and user analytics; ,32,<first>,<how-used>
"(d) for disease prevention, security, anti-crime and law enforcement;","(d) for disease prevention, security, anti-crime and law enforcement;",100.0,773,sub,"(d) for disease prevention, security, anti-crime and law enforcement;",69,<first>,<how-used>
"(e) for market, civic or other research regarding aggregated traffic patterns;"," (e) for market, civic or other research regarding aggregated traffic patterns",98.71794871794873,842,sub," (e) for market, civic or other research regarding aggregated traffic patterns,",79,<first>,<how-used>
(f) help improve the performance of your wireless network and apps;, (f) help improve the performance of your wireless network and apps,98.50746268656717,921,sub," (f) help improve the performance of your wireless network and apps, and ",73,<first>,<how-used>
(g) to generate proprietary pseudonymized identifiers tied to the information collected for the above purposes.,(g) to generate proprietary pseudonymized identifiers tied to the information collected for the above purposes.,100.0,994,sub,(g) to generate proprietary pseudonymized identifiers tied to the information collected for the above purposes.You may opt out of the above usage by going to ‘Settings’ then click ‘View / Update Consent’ in the app.You can find our partners privacy policy and also opt out of each partner in the below link.Google AdMobSmaatoMobFoxumlaut communications GmbHOpensignalOutlogic,375,<first>,<how-used>
(g) to generate proprietary pseudonymized identifiers tied to the information collected for the above purposes.,(g) to generate proprietary pseudonymized identifiers tied to the information collected for the above purposes.,100.0,994,sub,"We’ve partnered with Opensignal to help improve the performance and reliability of this app and your wireless networks while respecting your privacy.Opensignal does not collect any information that directly identifies you or your device, and does not sell any personal data about you. Opensignal is the independent global standard for helping telecom ecosystem companies around the world better understand and improve network coverage to improve connectivity for all.",467,<first>,<how-used>
(g) to generate proprietary pseudonymized identifiers tied to the information collected for the above purposes.,(g) to generate proprietary pseudonymized identifiers tied to the information collected for the above purposes.,100.0,994,sub,"Opensignal may collect data relating to the wireless network performance your device experiences, that may include the following types of personal information and/or personal data: Geolocation data, identifiers (e.g. network names, resettable IDs, BSSIDs, and other access point information), and app state. Opensignal uses this data to gather information on network experience and create aggregated reports and/or data solutions including anonymized location, for example by plotting network performance on a map to convey coverage.",533,<first>,<how-used>
(g) to generate proprietary pseudonymized identifiers tied to the information collected for the above purposes.,(g) to generate proprietary pseudonymized identifiers tied to the information collected for the above purposes.,100.0,994,sub,You can learn more about Opensignal’s privacy policyhere. You have the right to ,80,<first>,<how-used>
Opt-out,opt-out,100.0,2463,main,opt-out of data sharing with ,29,<third>,<other>
Opensignal,Opensignal,100.0,2492,main,Opensignal at any time. To do so please use the opt-out measures provided in your mobile application or this privacy statement.support@fundevs.com,146,<third>,<other>
Copyright,Copyright,100.0,2640,main,Copyright © 2016 FunDevs,24,<contact>,<other>
