decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,ï»¿Home,7,<error>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"Privacy PolicyEULAPrivacy PolicyDmitsoft (or â€œweâ€) respect your preferences concerning the treatment of Information that we may collect. This Privacy Policy explains what kind of information we collect, use, share and the security of your information in relation to our mobile applications (â€œApplicationsâ€ or â€œAppsâ€) and mobile services (â€œServicesâ€). Please take a moment to familiarize yourself with our privacy practices.",439,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"BY INSTALLING THE APPS ON YOUR MOBILE DEVICE, ENTERING INTO, CONNECTING TO, ACCESSING AND/OR USING THE APPS, YOU AGREE TO THE TERMS AND CONDITIONS SET FORTH IN THIS PRIVACY POLICY, INCLUDING TO THE POSSIBLE COLLECTION AND PROCESSING OF YOUR INFORMATION AND YOU ARE CONSENTING TO THE USE OF COOKIES AND OTHER TRACKING TECHNOLOGIES ON YOUR DEVICE. PLEASE NOTE: IF YOU OR, AS APPLICABLE, YOUR LEGAL GUARDIAN, DISAGREE TO ANY TERM PROVIDED HEREIN, YOU MAY NOT INSTALL, ACCESS AND/OR USE THE APPS AND YOU ARE REQUESTED TO PROMPTLY ERASE THEM, AND ANY PART THEREOF, FROM YOUR MOBILE DEVICE.",584,<generic>,<error>
WHAT INFORMATION WE COLLECT,WHAT INFORMATION WE COLLECT,100.0,1037,main,"WHAT INFORMATION WE COLLECTOur primary purpose in collecting information is to provide you with a safe, efficient and customized experience and to provide you with Services and features that better meet your needs or requests.We collect information about you, including:",270,<generic>,<error>
Age,Age,100.0,1310,sub,Age: We log your age as indicated by you in the age gate upon downloading the App.,82,<audience>,<error>
Log Information,Log Information,100.0,1393,sub,"Log Information: We log information about your use of the App, including the type of device you use, your mobile operating system, the features you use, access times and your IP address.",186,<first>,<error>
Device Information,Device Information,100.0,1580,sub,"Device Information: We collect information about the device you use to access the App, including unique device identifiers (i.e. Device ID and advertising ID) and mobile network information.",190,<first>,<error>
Usage Information,Usage Information,100.0,1771,sub,"Usage Information: We collect information relating to your use of the App, including your game progress, scores, achievements.",126,<first>,<error>
Microphone sensor information,Microphone sensor information,100.0,1898,sub,Microphone sensor information: We collect the sound level from the microphone sensor data.,90,<first>,<error>
HOW WE USE YOUR INFORMATION WE COLLECT,HOW WE USE YOUR INFORMATION WE COLLECT,100.0,1989,main,HOW WE USE YOUR INFORMATION WE COLLECT How we use your information we collect,77,<error>,<error>
Age is being processed,Age is being processed,100.0,2067,sub,"Age is being processed:â€¢to identify whether you are a child or adult for data protection purposes to determine the legal requirements for our processing of your data.Our processing for the above purpose is necessary for compliance purposes, see Article 6(1)(c) of the GDPR. 1",277,<first>,<error>
"Log-, device-, usage- and microphone sensor- information are being processed","Log-, device-, usage- and microphone sensor- information are being processed",100.0,2347,sub,"Log-, device-, usage- and microphone sensor- information are being processed:â€¢to provide and deliver the products and services you request and send you related information as requested by you / as agreed with you;â€¢to provide and maintain the App and the game experience;",274,<first>,<error>
"Log-, device-, usage- and microphone sensor- information are being processed","Log-, device-, usage- and microphone sensor- information are being processed",100.0,2347,sub,"Our processing for the above purposes is necessary for the performance of a contract to which you are party in order to support the operation of the App, facilitate the delivery of requested products and services and enable maintenance and update of the App, see Article 6(1)(b) of the GDPR.â€¢to personalize and improve the App and provide tailored content and features;â€¢to monitor and analyze trends, usage and activities in connection with the App;and",456,<first>,<error>
"Log-, device-, usage- and microphone sensor- information are being processed","Log-, device-, usage- and microphone sensor- information are being processed",100.0,2347,sub,"â€¢to provide children (as this term is construed under GDPR in EU, COPPA in the US and relevant applicable legislation in other jurisdictions) with reasonable contextual advertisements in the App.Our processing for the above purposes is justified by our legitimate interests in providing advertisements and content of interest to you and improving our services in accordance with Article 6(1)(f) of the GDPR (also known as ""the balancing-of-interest rule"").",458,<first>,<error>
"Log-, device-, usage- and microphone sensor- information are being processed","Log-, device-, usage- and microphone sensor- information are being processed",100.0,2347,sub,â€¢to provide non-child users that have given us consent to share their advertising IDs with our ad network partners (as further specified under Sharing of Information) for the purpose of serving them with personalized advertisement in the App (behavioral advertising).,269,<first>,<error>
"Log-, device-, usage- and microphone sensor- information are being processed","Log-, device-, usage- and microphone sensor- information are being processed",100.0,2347,sub,Our processing for the above purpose is justified by our legitimate interests in providing advertisements and content of interest to you in accordance with Article 6(1)(f) of the GDPR. The disclosure of your advertising ID to third parties for the purposes of behavioral advertising is based on your consent in accordance with Article 6(1)(a) of the GDPR (see more below under Sharing of Information).,401,<first>,<error>
HOW WE STORE THE INFORMATION WE COLLECT,HOW WE STORE THE INFORMATION WE COLLECT,100.0,4216,main,"HOW WE STORE THE INFORMATION WE COLLECTWe will store your personal information for as long as necessary in order to provide you with the App or otherwise fulfil the purposes as described above, unless further storage is required in order to establish, exercise or defend a legal claim or to comply with applicable law, including accounting rules. Your information are deleted or anonymized as soon as it no longer serves one of the above mentioned purposes.",457,<retention>,<error>
HOW WE SHARE THE INFORMATION WE COLLECT,HOW WE SHARE THE INFORMATION WE COLLECT,100.0,4675,main,"HOW WE SHARE THE INFORMATION WE COLLECTWe disclose information about you to the following categories of recipients based on the legal bases in Sections 6(1)(b), 6(1)(c) and 6(1)(f) of the GDPR (see a description of the legal bases above):",238,<third>,<error>
HOW WE SHARE THE INFORMATION WE COLLECT,HOW WE SHARE THE INFORMATION WE COLLECT,100.0,4675,main,"We accept advertisements from Third Parties ad networks which may be displayed in our Apps. We may share certain information with third-party advertisers, ad networks and ad platforms (â€œAdvertising Entitiesâ€) to develop and deliver targeted advertising in the Apps. We may also allow Advertising Entities to collect personal information within the Services which they may share with us, including your device identifier, device type, device brand, device model, network type, device language, and IP address. Advertising entities may also collect information related to the performance of the advertisements, such as how many times an advertisement is shown, how long an advertisement is viewed, and any click-throughs of an advertisement.",743,<third>,<error>
HOW WE SHARE THE INFORMATION WE COLLECT,HOW WE SHARE THE INFORMATION WE COLLECT,100.0,4675,main,"If you have given your consent in accordance with Section 6(1)(a) of the GDPR, we share your advertising ID to advertising network companies for the purpose of them serving behavioral advertisements to you within the App. We use or may use the following advertising network companies:Googlehttps://policies.google.com/technologies/partner-sites;https://support.google.com/admob/answer/7665968;Facebookhttps://www.facebook.com/about/privacy/update;AppBrain",455,<third>,<error>
HOW WE SHARE THE INFORMATION WE COLLECT,HOW WE SHARE THE INFORMATION WE COLLECT,100.0,4675,main,"http://www.appbrain.com/info/help/privacy/sdk-privacy.html;Unityhttps://unity3d.com/legal/privacy-policy;Vunglehttps://vungle.com/opt-out/;AdColonyhttps://www.adcolony.com/privacy-policy/#targetingchoices.The recipients' use of the disclosed information will not be covered by this Privacy Policy. If you have questions concerning the processing carried out by such third parties, you should review their privacy policy.",420,<third>,<error>
HOW WE SHARE THE INFORMATION WE COLLECT,HOW WE SHARE THE INFORMATION WE COLLECT,100.0,4675,main,"In connection with our processing, we use data processors such as server hosting providers, technical service providers for supporting internal operations, user login services and analytics service providers.  To get more information about how your data is being collected and processed you can visit the site â€œHow Google uses data when you use our partners' sites or appsâ€ located athttps://google.com/policies/privacy/partners/",433,<third>,<error>
CHILDREN,CHILDREN,100.0,6991,main,CHILDREN,8,<audience>,<error>
CHILDREN,CHILDREN,100.0,6991,main,"Our applications are for a general audience. In order to comply with the legislation, you will be presented to an age screen, when launching the App. When presented with this age screen, it is important that you state the correct age. Based on your age information and your device settings, we do not process personal data of children under the minimum age limit that is prescribed by the legislation in the individual jurisdictions for behavioral advertisement. If such personal data have been processed without our knowledge, we will, after having become aware of the incident, immediately take reasonable measures to stop such processing and promptly delete any such data from our records. We do not store the year of birth of users who have identified themselves as below the age of 13 in our Apps, but only the information that their device ID did not pass the age gate.",875,<audience>,<error>
CHILDREN,CHILDREN,100.0,6991,main,"The only personal information we collect from users who have identified themselves as below the age of 13 for the purposes of offering our services are persistent identifiers (such as device ID, advertising ID, IP address). Such persistent identifiers are used and shared with third parties solely for providing support for the internal operations meaning to place contextual advertisement (including frequency capping), to perform network communications to protect the security or integrity of the user or the App, to ensure legal or regulatory compliance.",557,<audience>,<error>
CHILDREN,CHILDREN,100.0,6991,main,"When using the persistent identifiers we will not contact users under the age of 13, display behavioral advertising to them, nor do any user tracking or profiling. In addition, we strive that all of our advertising partners adhere to the same standards for the collection, usage and disclosure of childrenâ€™s personal information as we do, but we can not be responsible if they breach the commitments they gave to us regarding the collection of information. In case of such breaches you agree that our liability is limited to the amounts we are able to receive as indemnification for the breaches from our advertising partner. For the detailed information about disclosure to third parties please see section How do we share the information we collect and data to third parties of this Privacy Policy.",802,<audience>,<error>
OPT-OUT,OPT-OUT,100.0,9237,main,OPT-OUTYou are always free to opt out from the future collection of your personal information by Dmitsoft in accordance with this Privacy Policy by uninstalling all the Apps from each of your computing devices.Opting Out of IBA:1. Via third party IBA providersâ€¢For FB Ads please visithttps://www.facebook.com/settings?tab=ads;â€¢For Google (AdMob) please visithttps://www.google.com/ads/preferences/html/mobile-about.html;â€¢For Vungle please visithttps://vungle.com/opt-out/;â€¢For AdColony please visit,506,<choice>,<error>
OPT-OUT,OPT-OUT,100.0,9237,main,"https://www.adcolony.com/privacy-policy/#targetingchoices.If you choose to opt out by following one of the third party IBA providerâ€™s opt out mechanisms, you should stop receiving ads based on your interest via the selected third party IBA provider, but you may continue to receive interest-based or targeted ads via other IBA providers. For opting out from receiving interest-based or targeted ads through all IBA providers, please see opt out options 2. and 3. below.",471,<choice>,<error>
OPT-OUT,OPT-OUT,100.0,9237,main,"2. Via â€œDo Not Track Settingsâ€ in mobile phoneFor Android devices with OS 2.2 and up and Google Play Services version 4.0 and up:Open your Google Settings app > Ads > Enable â€œOpt Out of Interest-Based Advertisingâ€3. Via our appsWe have created an opt-out option within some of our Apps. You may choose it by visiting ''Info Screen'' and ticking the ''Withdraw Consent''. Choosing this option will mean that you will still be served ads, but they will not be tailored to your preferences.",495,<choice>,<error>
OPT-OUT,OPT-OUT,100.0,9237,main,"When using the persistent identifiers we will not contact users under the age of 13, display behavioral advertising to them, nor do any user tracking or profiling. In addition, we strive that all of our advertising partners adhere to the same standards for the collection, usage and disclosure of childrenâ€™s personal information as we do, but we can not be responsible if they breach the commitments they gave to us regarding the collection of information. In case of such breaches you agree that our liability is limited to the amounts we are able to receive as indemnification for the breaches from our advertising partner. For the detailed information about disclosure to third parties please see section How do we share the information we collect and data to third parties of this Privacy Policy.",802,<choice>,<error>
LINKS TO THIRD-PARTY WEBSITES AND SERVICES,LINKS TO THIRD-PARTY WEBSITES AND SERVICES,100.0,11534,main,LINKS TO THIRD-PARTY WEBSITES AND SERVICES,42,<third>,<error>
LINKS TO THIRD-PARTY WEBSITES AND SERVICES,LINKS TO THIRD-PARTY WEBSITES AND SERVICES,100.0,11534,main,"The Apps may contain links to other websites and online services, including third-party advertisements. If you choose to click through to one of these other websites or online services, please note that any information you may provide will be subject to the privacy policy and other terms and conditions of that websites or service, and not to this Privacy Policy. We do not control third-party websites or services, and the fact that a link to such a website or service appears in the Apps does not mean that we endorse them or have approved their policies or practices relating to user information. Before providing any information to any third-party website or service, we encourage you to review the privacy policy and other terms and conditions of that website or service. You agree that Dmitsoft will have no liability for any matters relating to a third-party website or service that you provide information to, including their collection and handling of that information.",979,<third>,<error>
YOUR RIGHTS,YOUR RIGHTS,100.0,12557,main,"YOUR RIGHTSIf you wish to use any of the rights described below, you may contact us at any time by emailing us at dmitosfta@gmail.com.",134,<access>,<error>
Right to request access,Right to request access,100.0,12693,sub,"Right to request accessYou have the right to request access into the data that we are processing on you, see Article 15 of the GDPR, including information about:â€¢ the purposes of the processingâ€¢ the categories of personal data concernedâ€¢ the recipients or categories of recipient to whom the personal data have been or will be disclosed",342,<access>,<error>
Right to request access,Right to request access,100.0,12693,sub,"â€¢ the envisaged period for which the personal data will be stored Furthermore, you have the right to obtain a copy of the personal data undergoing processing. Please note that the access may be restricted due to intellectual property or trade secrets.",253,<access>,<error>
The right to object,The right to object,100.0,13294,sub,The right to object,19,<access>,<error>
The right to object,The right to object,100.0,13294,sub,"You have the right to object to our processing of your personal data on grounds relating to your particular situation when the data are processed based on the balancing-ofinterest rule in Section 6(1)(f) of the GDPR, see Article 21 of the GDPR. In this case, we will cease the processing unless there are compelling legitimate grounds for the processing which override your interests, rights and freedoms or if the processing is necessary for the establishment, exercise or defense of legal claims. You have the right to object to our processing of your personal data for direct marketing purposes at any time. We will cease the processing of your personal data for this purpose after the objection. Please note that if you exercise this right, your user license to use the App will cease automatically.",803,<access>,<error>
Right to rectification and erasure,Right to rectification and erasure,100.0,14118,sub,"Right to rectification and erasureYou have the right to have inaccurate personal data rectified, see Article 16 of the GDPR. Furthermore, you have the right to have your personal data erased where one of the following grounds applies, see Article 17 of the GDPR:â€¢ the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed,â€¢ if you have withdrawn your consent and there are no other legal grounds for the processing,",484,<access>,<error>
Right to rectification and erasure,Right to rectification and erasure,100.0,14118,sub,"â€¢ if you have objected to the processing and there are no overriding legitimate grounds for the processing,â€¢ the personal data have to be erased for compliance with a legal obligation in Union or Member State law,â€¢ the personal data have been unlawfully processed orâ€¢ the personal data have been collected in relation to the offer of information society services.",371,<access>,<error>
Right to rectification and erasure,Right to rectification and erasure,100.0,14118,sub,"Please note that your right to erasure may be limited if the data are necessary for compliance with a legal obligation or for the establishment, exercise or defense of legal claims.",181,<access>,<error>
The right to restriction,The right to restriction,100.0,15163,sub,"The right to restrictionYou have the right to obtain restriction of processing in certain circumstances, see Article 18 of the GDPR. If you have the right to restriction, we will only process your data with your consent or for the establishment, xercise or defense of a legal claim or to protect a person or important grounds of public interest.",345,<access>,<error>
The right to withdraw consent,The right to withdraw consent,100.0,15510,sub,"The right to withdraw consentIf we have asked for your consent to our processing of your data, you have the right to withdraw your consent at any time, see Article 7 of the GDPR.If you withdraw your consent, we will cease processing of the data for which you have withdrawn consent, unless we have a legal obligation to keep some or parts of your data. Please note that if you withdraw your consent, your user license to use the App will cease automatically. The withdrawal of your consent does not affect the lawfulness of processing based on your consent before its withdrawal.",579,<access>,<error>
The right to data portability,The right to data portability,100.0,16092,sub,"The right to data portabilityYou have the right to receive the personal data you have provided us with which we process in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller if the processing is based on consent or contract performance, see Article 20 of the GDPR.",333,<access>,<error>
COMPLIANCE WITH LAWS AND LAW ENFORCEMENT,COMPLIANCE WITH LAWS AND LAW ENFORCEMENT,100.0,16427,main,"COMPLIANCE WITH LAWS AND LAW ENFORCEMENTDmitsoft reserves the right to share your information with third parties if we believe such action is necessary in order to: (1) conform with the requirements of the law or to comply with legal process served upon us; (2) protect or defend our legal rights or property (3) investigate, prevent or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person or violations of the terms and conditions of using our Apps and Services.",545,<region>,<error>
CHANGES TO OUR PRIVACY POLICY,CHANGES TO OUR PRIVACY POLICY,100.0,16974,main,CHANGES TO OUR PRIVACY POLICYThis Privacy Policy may be updated from time to time for any reason. We will notify you of any changes to our Privacy Policy by posting the new Privacy Policy onhttps://sites.google.com/site/dmitsoftgames/privacy-policy.Your continued use of the Apps and Services following the posting of changes will mean you accept those changes.,361,<change>,<error>
CONTACT US,CONTACT US,100.0,17340,main,"CONTACT USIf you have any questions regarding privacy while using the Apps, or have questions about our practices, please contact us via email at dmitosfta@gmail.com© 2023. All rights reserved. Design byDmitsoft.",212,<contact>,<error>
