decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy – ,17,<generic>,<error>
Home,Home,100.0,17,main,Home of C25KHome,16,<generic>,<error>
Forums,Forums,100.0,35,main,Forums,6,<generic>,<error>
Success Stories,Success Stories,100.0,42,main,Success Stories,15,<generic>,<error>
Blog,Blog,100.0,58,main,Blog,4,<generic>,<error>
Apps,Apps,100.0,63,main,Apps,4,<generic>,<error>
Support,Support,100.0,68,main,Support,7,<generic>,<error>
Press,Press,100.0,76,main,Press,5,<generic>,<error>
Contact,Contact,100.0,82,main,Contact,7,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,90,main,Privacy PolicyHomePrivacy PolicyPrivacy PolicyZen Labs LLC (“us” or “we”) is committed to protecting your online and mobile privacy. This Privacy Policy discloses the privacy practices for the Zen Labs LLC apps and website. We encourage you to read this Privacy Policy carefully to learn what information we collect from you and how we use that information.,357,<generic>,<error>
Outlogic,Outlogic,100.0,452,main,Outlogic,8,<generic>,<error>
California Users,California Users,100.0,461,sub,"California Users:If you are located in California, then under the CCPA, you have a right to opt-out of the sale of your information. To do this, please head over to Outlogic’s“Opt-out/Do Not Sell” Form.Outlogic collects and passes to third parties a variety of information for use as described below:",300,<third>,<error>
California Users,California Users,100.0,461,sub,"When this app is in use (or running in the background) we collect and share with our business partners certain device and location data: Precise location data of the device, WiFi signals or Bluetooth Low Energy devices in your proximity, device-based advertising identifiers, app names and/or identifiers, and information about your mobile device such as type of device, operating system version and type, device settings, time zone, carrier, and IP address. That data may be used for the following purposes: (a) to customize and measure ads in apps and other advertising; (b) for app and user analytics; (c) for disease prevention, and cybersecurity,; (d) for market, civic or other research regarding aggregated human foot and traffic patterns, and (e) to generate proprietary pseudonymized identifiers tied to the information collected for the above purposes.",862,<third>,<error>
California Users,California Users,100.0,461,sub,"You may opt out of the above usage by (1) follow the instructions inOutlogic’s Privacy Policy, or (2) for a platform-based opt-out of interest-based or “personalized” advertising, go to your device settings and opt out of interest-based or personalized advertising (iOS: Settings → General → Privacy → Advertising →Limit Ad-Tracking; Android: Settings →",353,<third>,<error>
California Users,California Users,100.0,461,sub,"Google → Ads → Opt out of Ads Personalization). You may also prevent location from being collected by this or other apps through your location permission settings.What’s Collected:Precise location information (such as your device GPS coordinates), relative location information (from WiFi signals or Bluetooth Low Energy devices in your proximity, for example), device-based advertising identifiers, information about your mobile device such as type of device, operating system version and type, device settings, time zone, carrier and IP address.",547,<third>,<error>
California Users,California Users,100.0,461,sub,When We Collect It:When the app is in use or running in the background.How We Use and Share It:,95,<third>,<error>
California Users,California Users,100.0,461,sub,"We and other third parties may use the information (a) to customize ads in this or other apps (for instance, if your device is often located at or near music venues, you might receive offers for music tickets); (b) to measure effectiveness of those ads; (c) for disease prevention and research, security, anti-crime and law enforcement; or (d) for market, civic or other research regarding aggregated traffic patterns (for instance, a company that analyzes shopping trends might want to learn whether more or fewer devices are seen near malls or in other shopping districts).",575,<third>,<error>
Sense360,Sense360,100.0,3209,main,Sense360,8,<third>,<error>
California Users,California Users,100.0,3218,sub,"California Users:If you are located in California, then under the CCPA, you have a right to opt-out of the collection of your information. Sense360 does not “sell” and in the past 12 months have not “sold” any “personal information” they have collected from a Sense360 Enabled App, as those terms are defined under the CCPA. To opt-out, please head over to Sense360’s“Opt-out” Form.",382,<third>,<error>
California Users,California Users,100.0,3218,sub,"For users in North America, some of Zen Labs LLC’s apps may share your device’s precise geolocation and other details about your device (like hardware characteristics, a variety of sensor data, and a list of installed third-party applications) with our partner Sense360 on an ongoing basis, including when the apps are closed. This information is sent with the device’s advertising identifier or another unique device-specific code. Sense360 may use all of this information for market research and other research regarding aggregated patterns, and as further described in its",575,<third>,<error>
California Users,California Users,100.0,3218,sub,"Privacy Policy, which has more detail on the entire process. For example, Sense360 analyzes restaurant visit trends to help their clients create new food and coupon offerings to better serve customers’ needs. You can use your device settings to (i) disable or limit precise geolocation collection for the entire device or particular apps, which may affect the functionality of certain app features and/or (ii) disable or limit use of the advertising identifier (which will block that identifier’s transmission to Sense360).",523,<third>,<error>
ADDENDUM FOR CALIFORNIA RESIDENT'S PRIVACY RIGHTS,ADDENDUM FOR CALIFORNIA RESIDENT’S PRIVACY RIGHTS,97.95918367346938,4705,main,ADDENDUM FOR CALIFORNIA RESIDENT’S PRIVACY RIGHTS,49,<error>,<error>
