decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Settle UpTipsBlogSupportOur teamWeb appPrivacy policyYour privacy is important for us. We are transparent, comply with privacy regulations such as GDPR, and provide this privacy policy in an understandable language free of legalese.",232,<error>,<error>
Who collects the data?,Who collects the data?,100.0,240,main,Who collects the data?,22,<first>,<who>
The legal entity which owns Settle Up apps is:,The legal entity which owns Settle Up apps is:,100.0,263,sub,"The legal entity which owns Settle Up apps is:Step Up Labs Inc.1611 E. 2nd StreetCasper, WY, 82601United StatesYou can find people behind it atstepuplabs.io. We are all based in the Czech Republic, Europe.",205,<first>,<error>
What data do we collect and why?,What data do we collect and why?,100.0,476,main,What data do we collect and why?,32,<first>,<what>
Full name,Full name,100.0,509,sub,Full nameto identify users who have access to your group,56,<first>,<what>
Email address,Email address,100.0,567,sub,"Email addressto identify users who have access to your group, to identify your account, to back up your data, to generate an email with data export from the app, for marketing campaigns (which you can opt out of)",212,<first>,<what>
Profile picture(s),Profile picture(s),100.0,781,sub,Profile picture(s)to visually enhance the app and to easily distinguish the users and members of a group,104,<first>,<what>
"Your Settle Up data: transactions, members, groups, history of changes","Your Settle Up data: transactions, members, groups, history of changes",100.0,887,sub,"Your Settle Up data: transactions, members, groups, history of changesfor the basic functionality and backup",108,<first>,<what>
"Analytics data: anonymized logs of your behaviour, clicks on elements, time spent on screens etc.","Analytics data: anonymized logs of your behaviour, clicks on elements, time spent on screens etc.",100.0,997,sub,"Analytics data: anonymized logs of your behaviour, clicks on elements, time spent on screens etc.to make data-driven decisions about the development of the app and detecting UX issues",183,<first>,<what>
"Crash reporting data: details about the crash with diagnostic information about your device, network, language etc.","Crash reporting data: details about the crash with diagnostic information about your device, network, language etc.",100.0,1182,sub,"Crash reporting data: details about the crash with diagnostic information about your device, network, language etc.to fix crashes",129,<first>,<what>
Where are the data stored?,Where are the data stored?,100.0,1313,main,"Where are the data stored?All our data are stored in Google Cloud Platform. We specifically use services called Firebase and Google AppEngine. Geographically, the data are stored in the United States.",200,<retention>,<where>
How are the data secured?,How are the data secured?,100.0,1515,main,"How are the data secured?Google Cloud Platform is trusted by many businesses worldwide and they have one of the best security in the industry. On top of that, we provide our data only via HTTPS (an encrypted connection). This way, your data cannot be intercepted on the way, for example when connected to an unsecured WiFi network. We take security very seriously and take every measure to prevent data leaks. If you suspect any security issue, contact us immediately atprivacy@settleup.io.",490,<security>,<how-used>
What is shared with third-parties?,What is shared with third-parties?,100.0,2009,main,What is shared with third-parties?,34,<third>,<what>
We don’t share your data with any third parties except:,We don’t share your data with any third parties except:,100.0,2044,sub,We don’t share your data with any third parties except:,55,<third>,<who>
Google,Google,100.0,2100,sub,"Googleprovider of our backend services (database, file storage, analytics, crash reporting, web hosting, Google Play app statistics);",133,<third>,<error>
Apple,Apple,100.0,2235,sub,AppleiTunes Connect app statistics;,35,<third>,<error>
Microsoft,Microsoft,100.0,2272,sub,MicrosoftWindows Store app statistics;when required by law or necessary to comply with a valid legal process;in relation to a sale of all or part of our business.,162,<third>,<error>
How long are the data stored?,How long are the data stored?,100.0,2438,main,"How long are the data stored?Indefinitely, unless the service is shut down.",75,<retention>,<how-used>
How to delete all your data?,How to delete all your data?,100.0,2515,main,"How to delete all your data?You can delete all your data in the Android app: open My Profile from left menu and select Delete account at the bottom. Note that groups may be shared with others, so you need to delete groups where you are owner or transfer ownership to others first. If you don't have access to the Android app, contact us atprivacy@settleup.io.",359,<choice>,<how-used>
How to export all your data?,How to export all your data?,100.0,2878,main,"How to export all your data?The Android app has a built-in CSV export for individual groups. If you need to export more data, contact us atprivacy@settleup.io.",159,<choice>,<how-used>
How to raise a complaint?,How to raise a complaint?,100.0,3041,main,How to raise a complaint?Contact us atprivacy@settleup.io.,58,<choice>,<other>
What happens when the service is shut down?,What happens when the service is shut down?,100.0,3103,main,"What happens when the service is shut down?We will try hard to avoid that, but we offer no guarantees for data losses. In the case of an expected service shutdown, we will contact all users via email announcing this at least one month before shutdown so you will be able to export all your data.",295,<retention>,<other>
Who is EU Representative Contact and Data Protection Officer?,Who is EU Representative Contact and Data Protection Officer?,100.0,3400,main,Who is ,7,<contact>,<who>
EU Representative Contact,EU Representative Contact,100.0,3407,sub,EU Representative Contact and ,30,<contact>,<who>
Data Protection Officer,Data Protection Officer,100.0,3437,sub,"Data Protection Officer?EU Representative Contact is David Vávra, contact:david@stepuplabs.ioData Protection Officer is Tomáš Bezouška, contact:tomas@stepuplabs.ioCopyright 2022 Step Up Labs, Inc | All Rights ReservedHelp with translationsAPI for developersBitcoin LightningPrivacy PolicyTerms of service",304,<contact>,<who>
