decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
PRIVACY POLICY FOR MOBILE APPLICATIONS,PRIVACY POLICY FOR MOBILE APPLICATIONS,100.0,0,main,PRIVACY POLICY FOR MOBILE APPLICATIONSÂThis privacy policy governs your use of the software application (â€œApplicationâ€) for mobile devices that was created by Agmo Studio Sdn Bhd (974707-M).Â,195,<generic>,<error>
User Provided Information,User Provided Information,100.0,199,main,"User Provided InformationÂThe Application obtains the information you provide when you download and register the Application.Â Registration with us is optional. However, please keep in mind that you may not be able to use some of the features offered by the Application unless you register with us.",298,<first>,<what>
User Provided Information,User Provided Information,100.0,199,main,"When you register with us and use the Application, you generally provideÂ (a) your name, email address, user name, password and other registration information; (b) transaction-related information, such as when you make purchases, respond to any offers, or download or use applications from us; (c) information you provide us when you contact us for help; (d) credit card information for purchase and use of the Application, and; (e) information you enter into our system when using the Application, such as text, image, video, contact information and project management information.",582,<first>,<what>
User Provided Information,User Provided Information,100.0,199,main,"ÂWe may also use the information you provided us to contact your from time to time to provide you with important information, required notices and marketing promotions.Â",169,<first>,<what>
Automatically Collected Information,Automatically Collected Information,100.0,1255,main,"Automatically Collected InformationÂÂIn addition, the Application may collect certain information automatically, including, but not limited to, the type of mobile device you use, your mobile devices unique device ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browsers you use, and information about the way you use the Application.ÂÂThis Application does not collect precise information about the location of your mobile device.ÂÂ",484,<first>,<what>
Automatically Collected Information,Automatically Collected Information,100.0,1255,main,"Only aggregated, anonymized data is periodically transmitted to external services to help us improve the Application and our service.Â We will share your information with third parties only in the ways that are described in this privacy statement.We may disclose User Provided and Automatically Collected Information:Â·Â Â Â Â Â Âas required by law, such as to comply with a subpoena, or similar legal process;Â·Â Â Â Â Â Â",423,<first>,<what>
Automatically Collected Information,Automatically Collected Information,100.0,1255,main,"when we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud, or respond to aÂ government request;Â·Â Â Â Â Â Âwith our trusted services providers who work on our behalf, do not have anÂ independent use of the information we disclose to them, and have agreed to adhereÂ to the rules set forth in this privacy statement.",403,<first>,<what>
Automatically Collected Information,Automatically Collected Information,100.0,1255,main,You can stop all collection of information by the Application easily by uninstalling the Application. You may use the standard uninstall processes as may be available as part of your mobile device or via the mobile application marketplace or network.ÂÂ,252,<first>,<what>
"Data Retention Policy, Managing Your Information","Data Retention Policy, Managing Your Information",100.0,2837,main,"Data Retention Policy, Managing Your InformationÂWe will retain User Provided data for as long as you use the Application and for a reasonable time thereafter. We will retain Automatically Collected information for up to 48 months and thereafter may store it in aggregate. If youâ€™d like us to delete User Provided Data that you have provided via the Application, please contact us at[email protected]",402,<retention>,<what>
"Data Retention Policy, Managing Your Information","Data Retention Policy, Managing Your Information",100.0,2837,main,and we will respond in a reasonable time. Please note that some or all of the User Provided Data may be required in order for the Application to function properly.Â,164,<retention>,<what>
Children,Children,100.0,3409,main,"ChildrenÂWe do not use the Application to knowingly solicit data from or market to children under the age of 13. If a parent or guardian becomes aware that his or her child has provided us with information without their consent, he or she should contact us at[email protected]. We will delete such information from our files within a reasonable time.Â",351,<audience>,<when>
Security,Security,100.0,3766,main,SecurityÂ,9,<security>,<why>
Security,Security,100.0,3766,main,"We are concerned about safeguarding the confidentiality of your information. We provide physical, electronic, and procedural safeguards to protect information we process and maintain. For example, we limit access to this information to authorized employees and contractors who need to know that information in order to operate, develop or improve our Application. Please be aware that, although we endeavor provide reasonable security for information we process and maintain, no security system can prevent all potential security breaches.",539,<security>,<why>
Security,Security,100.0,3766,main,Â,1,<security>,<why>
Changes,Changes,100.0,4319,main,"ChangesThis Privacy Policy may be updated from time to time for any reason. We will notify you of any changes to our Privacy Policy by posting the new Privacy Policy here. You are advised to consult this Privacy Policy regularly for any changes, as continued use is deemed approval of all changes.Â",298,<change>,<when>
Your Consent,Your Consent,100.0,4620,main,Your Consent,12,<choice>,<how-gathered>
Your Consent,Your Consent,100.0,4620,main,"By using the Application, you are consenting to our processing of your information as set forth in this Privacy Policy now and as amended by us. ""Processing,â€ means using cookies on a computer/hand held device or using or touching information in any way, including, but not limited to, collecting, storing, deleting, using, combining and disclosing information, all of which activities will take place in the Malaysia. If you reside outside theÂ MalaysiaÂ your information will be transferred, processed and stored there underÂ MalaysiaÂ privacy standards.Â",559,<choice>,<how-gathered>
Your Consent,Your Consent,100.0,4620,main,Â,1,<choice>,<how-gathered>
Contact us,Contact us,100.0,5195,main,"Contact usIf you have any questions regarding privacy while using the Application, or have questions about our practices, please contact us via email atÂ[email protected].",171,<contact>,<how-used>
