decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy – SquarespaceSkip to Main ContentSquarespace LogoAccount DashboardLog OutGet StartedProductsCreate a websiteWebsite Overview→Website Templates→For Portfolios→For Blogs→Analytics→Hire an Expert→Enterprise Solutions→Get a DomainFind a Domain→Transfer a Domain→Sell AnythingEcommerce Overview→Templates for Sellers→Sell Products→Sell Services→Schedule Appointments→Courses & Memberships→Store Management→Commerce Extensions→Build your BrandMarketing Overview→Email Marketing→SEO Tools→Creator Tools→,511,<error>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,Video Maker→Logo Maker→From SquarespaceAcuity Scheduling→The scheduling solution for appointment-based servicesBio Sites→Share your online world in one linkUnfold→Everything to stand out on socialTock→The hospitality industry's best platform for reservations and eventsTemplatesResourcesMade with SquarespaceSquarespace BlogHelp CenterForumWebinarsFor ProfessionalsLog InLog OutGet StartedSquarespace LogoProductsTemplatesResourcesLog            InAccount DashboardLog OutGet StartedCreate a website,499,<error>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,Website Overview→Website Templates→For Portfolios→For Blogs→Analytics→Hire an Expert→Enterprise Solutions→Get a DomainFind a Domain→Transfer a Domain→Sell AnythingEcommerce Overview→Templates for Sellers→Sell Products→Sell Services→Schedule Appointments→Courses & Memberships→Store Management→Commerce Extensions→Build your BrandMarketing Overview→Email Marketing→SEO Tools→Creator Tools→Video Maker→Logo Maker→From SquarespaceAcuity Scheduling→The scheduling solution for appointment-based servicesBio Sites→,509,<error>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Share your online world in one linkUnfold→Everything to stand out on socialTock→The hospitality industry's best platform for reservations and eventsMade with Squarespace→Squarespace Blog→Help Center→Forum→Webinars→For Professionals→A collection of inspirational websites made by real Squarespace users.Stories and solutions for the modern entrepreneur.In-depth guides and videos about the platform, our services, and how to get started.",436,<error>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"An online community for Squarespace users and professionals to discuss best practices and seek advice.Free, online sessions where you’ll learn the basics and refine your Squarespace skills.Earn rewards for building custom websites your clients can easily manage with Circle.The Fine PrintThe Fine Print",302,<error>,<error>
Terms of Service,Terms of Service,100.0,2430,main,Terms of ServicePrivacy PolicySpecific Privacy NoticesProduct Specific TermsDomain Registration AgreementData Processing AddendumAcceptable Use Policy,150,<error>,<other>
Cookie Policy,Cookie Policy,100.0,2587,main,Cookie Policy,13,<error>,<other>
Trademark Policy,Trademark Policy,100.0,2601,main,Trademark Policy,16,<error>,<error>
Image Terms,Image Terms,100.0,2618,main,Image Terms,11,<error>,<other>
Developer Terms,Developer Terms,100.0,2630,main,Developer Terms,15,<error>,<other>
Developer Policy,Developer Policy,100.0,2646,main,Developer Policy,16,<error>,<other>
Imprint,Imprint,100.0,2663,main,Imprint,7,<error>,<other>
Circle Terms,Circle Terms,100.0,2671,main,Circle TermsTerms of ServicePrivacy Policy,42,<error>,<error>
Specific Privacy Notices,Specific Privacy Notices,100.0,2716,main,Specific Privacy Notices,24,<error>,<what>
Product Specific Terms,Product Specific Terms,100.0,2741,main,Product Specific Terms,22,<error>,<what>
Domain Registration Agreement,Domain Registration Agreement,100.0,2764,main,Domain Registration Agreement,29,<error>,<other>
Data Processing Addendum,Data Processing Addendum,100.0,2794,main,Data Processing Addendum,24,<error>,<what>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"Acceptable Use PolicyCookie PolicyTrademark PolicyImage TermsDeveloper TermsDeveloper PolicyImprintCircle TermsPrivacy PolicyEffective Date: December 13, 2022Thanks for visiting Squarespace! Squarespace (“Squarespace”, “we”, “us” or “our”) respects your privacy. When it comes to your personal information, we believe in transparency, not surprises. That’s why we’ve set out here what personal information we collect, what we do with it and your choices and rights.",465,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"By using any of Squarespace’s Services, you confirm you have agreed to theTerms of Serviceand read and understood this Privacy Policy and ourCookie Policy.Certain jurisdictions require us to provide you with specific additional information. Please seethis pagefor such additional information if you are in: (I) California; or (II) Virginia1. Some key terms",356,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"In our Privacy Policy, when we refer to “Users”, we mean our customers who use our Services, including visitors to our sites. We explain who we are in the “Who is Squarespace?” section below. The users, visitors and customers of, our Users’ sites are “End Users”. Any other capitalized terms not defined in this Privacy Policy have the meanings in ourTerms of Service.2. How does this Privacy Policy apply?",406,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"This Privacy Policy describes what we do with personal information that we collect and use for our own purposes (i.e., where we are a controller), such as your account information and information about how you use and interact with our Services, including information you submit to our customer support as well as certain information relating to your End Users. This Privacy Policy does not apply to personal information of our employees or job applicants (except to the extent employees or job applicants are Users).",517,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"We use cookies and similar technologies. OurCookie Policydescribes what we do in that regard.With respect to personal information in Squarespace’s possession, we play a few different roles under global data privacy laws. In order to understand your and Squarespace’s obligations, it’s important to understand the difference between Squarespace Controlled PI and User Controlled PI.",381,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,“Squarespace Controlled PI” means personal information for which Squarespace determines the purposes and means of processing. This Privacy Policy andthis additional information pageonly address Squarespace Controlled PI.,220,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"“User Controlled PI” means personal information for which a User determines the purposes and means of processing. For User Controlled PI, Squarespace acts as a data processor, service provider or similar term under applicable law. User Controlled PI includes User Content and End Users' personal information described in Section 12 that we host and process on behalf of our Users. Our Users tell us what we do with User Controlled PI on our Users’ instructions. Our Users are responsible for ensuring that their collection and processing of User Controlled PI complies with applicable law. If you are a User looking for contractual provisions about how Squarespace will treat and secure your User Controlled PI, please see our",726,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"Data Processing Addendum.If you are an End User of one of our User’s sites and want to know how a User handles your information, you should check the site's privacy policy, if applicable. If you want to know about what we do with Squarespace Controlled PI for our own purposes, read on.3. Personal information we collectWe collect various personal information regarding you or your device. This includes the following:",418,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"Information you provide to create an Account, specifically email address, first name and last name.Information you provide if you sign up for Paid Services. For most Paid Services, this will include your billing address as well as a portion of your payment information which is provided to us from our payment processor (such as the last four digits, the country of issuance and the expiration date of the payment card).",420,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"The emails and other communications that you send us or otherwise contribute, such as customer support inquiries or posts to our customer message boards or forums. Please be aware that information on public parts of our sites is available to others.Information you share with us in connection with surveys, contests or promotions.",330,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"Information from your use of the Services or Users’ sites. This includes: IP addresses, preferences, web pages you visited prior to coming to our or our Users’ sites, information about your browser, network or device (such as browser type and version, operating system, internet service provider, preference settings, unique device IDs and language and other regional settings), information about how you interact with the Services and our Users’ sites (such as timestamps, clicks, scrolling, browsing times, searches, transactions, referral pages, load times, and problems you may encounter, such as loading errors).",617,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,"Information we get from our partners to support our marketing initiatives, improve our Services and better monitor, manage and measure our ad campaigns, such as details about when a partner of ours shows you one of our ads on or via its advertising platform.Other information you submit to us directly or through Third Party Services if you use a Third Party Service to create an Account (based on your privacy settings with such Third Party Service).4. How we collect personal information",489,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,We obtain personal information from various sources. We do this in three main ways:You provide some of it directly (such as by registering for an Account).We record some of it automatically when you use our Services or Users’ sites (including with technologies like cookies).We receive some of it from third parties (like when you register for an account using a Third Party Service or when you make payments to us using our payment processor or via a mobile app store).We’ve described this in more detail below.,512,<error>,<other>
Acceptable Use Policy,Acceptable Use Policy,100.0,2819,main,a. Personal information you provide,35,<error>,<other>
