decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Política IPTV - EnglishSearch this siteSkip to main contentSkip to navigationPolítica IPTVPortuguêsEnglishHindiEspañolPolítica IPTVPortuguêsEnglishHindiEspañolMorePortuguêsEnglishHindiEspañolIPTV Privacy PolicyPrivacy Policybuilt the IPTV Tv Online, Series, Movies, Watch TV app as an Ad Supported app. This SERVICE is provided by at no cost and is intended for use as is.",372,<error>,<error>
,,-1.0,0,,"This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy.",462,<error>,<error>
,,-1.0,0,,"The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at IPTV Tv Online, Series, Movies, Watch TV unless otherwise defined in this Privacy Policy.",205,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,1064,main,Information Collection and Use,30,<first>,<what>
"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Advertising Identifier collection.","For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Advertising Identifier collection.",100.0,1095,sub,"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Advertising Identifier collection. ",196,<error>,<error>
The information that I request will be retained on your device and is not collected by me in any way.,The information that I request will be retained on your device and is not collected by me in any way.,100.0,1291,sub,The information that I request will be retained on your device and is not collected by me in any way.,101,<retention>,<error>
The app does use third party services that may collect information used to identify you.,The app does use third party services that may collect information used to identify you.,100.0,1393,sub,The app does use third party services that may collect information used to identify you.,88,<error>,<error>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,1482,sub,Link to privacy policy of third party service providers used by the appGoogle Play ServicesAdMobFirebase Analytics,114,<third>,<error>
Log Data,Log Data,100.0,1600,main,Log Data,8,<first>,<what>
"I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data.","I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data.",100.0,1609,sub,"I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data. ",181,<error>,<error>
"This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.","This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",100.0,1790,sub,"This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",254,<error>,<error>
Cookies,Cookies,100.0,2045,main,Cookies,7,<first>,<what>
Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers.,Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers.,100.0,2053,sub,Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers. ,102,<error>,<error>
These are sent to your browser from the websites that you visit and are stored on your device's internal memory.,These are sent to your browser from the websites that you visit and are stored on your device's internal memory.,100.0,2155,sub,These are sent to your browser from the websites that you visit and are stored on your device's internal memory.,112,<error>,<error>
This Service does not use these “cookies” explicitly.,This Service does not use these “cookies” explicitly.,100.0,2268,sub,This Service does not use these “cookies” explicitly. ,54,<error>,<error>
"However, the app may use third party code and libraries that use “cookies” to collect information and improve their services.","However, the app may use third party code and libraries that use “cookies” to collect information and improve their services.",100.0,2322,sub,"However, the app may use third party code and libraries that use “cookies” to collect information and improve their services. ",126,<error>,<error>
You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device.,You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device.,100.0,2448,sub,You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. ,114,<choice>,<error>
"If you choose to refuse our cookies, you may not be able to use some portions of this Service.","If you choose to refuse our cookies, you may not be able to use some portions of this Service.",100.0,2562,sub,"If you choose to refuse our cookies, you may not be able to use some portions of this Service.",94,<access>,<error>
Service Providers,Service Providers,100.0,2657,main,Service Providers,17,<first>,<what>
I may employ third-party companies and individuals due to the following reasons:,I may employ third-party companies and individuals due to the following reasons:,100.0,2675,sub,I may employ third-party companies and individuals due to the following reasons:,80,<error>,<error>
To facilitate our Service;,To facilitate our Service;,100.0,2756,sub,To facilitate our Service;,26,<error>,<error>
To provide the Service on our behalf;,To provide the Service on our behalf;,100.0,2783,sub,To provide the Service on our behalf;,37,<error>,<error>
To perform Service-related services; or,To perform Service-related services; or,100.0,2821,sub,To perform Service-related services; or,39,<error>,<error>
To assist us in analyzing how our Service is used.,To assist us in analyzing how our Service is used.,100.0,2861,sub,To assist us in analyzing how our Service is used.,50,<error>,<error>
I want to inform users of this Service that these third parties have access to your Personal Information.,I want to inform users of this Service that these third parties have access to your Personal Information.,100.0,2912,sub,I want to inform users of this Service that these third parties have access to your Personal Information. ,106,<error>,<error>
