decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy - FertilityFriend.comSign UpLogoutMy ChartPrivacy StatementLast Updated July 2022US Customers:Special statement concerning Roe vs. WadeFertilityFriend.com is committed to respecting your privacy. Since we started offering Trying To Conceive tools on the web in 1998, we have been extremely sensitive to the private nature of this type of information.Guiding Principle",382,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"We do not share your data with any third party except if absolutely necessary to operate the service or because of legal or regulatory requirements.FertilityFriend.com is fully funded by its VIP service fees and has been so since we started. It does not rely on any type of data trading for any of its funding or any other purpose. In other words, you are not the product. Clear and straightforward, our charting service is what we sell and nothing else.",454,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"An immediate consequence of this principle is FertilityFriend.com does not provide advertising, sponsorship, recommendations or product reviews on the service.",159,<generic>,<error>
Data Provided by Users,Data provided by users,100.0,1008,main,Data provided by users,22,<first>,<what>
Registration Information,Registration Information,100.0,1031,sub,Registration Information:,25,<first>,<what>
Registration Information,Registration Information,100.0,1031,sub,"This includes your email address and date of birth. Please note that we do not ask for or store your real name, address or precise location or any other personal identification data. The email address is used as the primary identifier of the account. We generate a random password and ask for a recovery word/phrase. We also store your current timezone to make sure the time sensitive data is tuned to your local time. The password can be changed by the user if desired. The date of birth is used to verify the age requirement (18+) as well as for specific tailoring of the analysis.",583,<first>,<what>
Charting Data,Charting Data,100.0,1641,sub,"Charting Data:The object of the service being the analysis of your charting data, we collect the data you enter and use it to present you with interpretation and analysis as per the service purpose.",198,<first>,<what>
Charting Home Page,Charting Home Page,100.0,1841,sub,Charting Home Page:Users can create a charting home page which they can customize with specific messages. This is optional.,123,<first>,<error>
Forum Posts,Forum Posts,100.0,1966,sub,"Forum Posts:Users can participate in our private forums and post messages and images. Please note that contrary to most internet forums, posts and images have a limited 90 day life span and are deleted after that time. Posts are not available to search engines and cannot be accessed by non members.",299,<first>,<what>
Community Galleries,Community Galleries,100.0,2267,sub,Community Galleries:Fertility Friend's users can optionally contribute anonymized data to community galleries and let other users benefit from their experiences.,161,<first>,<what>
Charting Course,Charting Course,100.0,2430,sub,Charting Course:If you registered for the optional charting course your course registration data is kept as proof of consent according to Canada anti-spam laws.,160,<first>,<what>
Order History,Order history,100.0,2592,sub,"Order history:We do not store online any financial data or actual names or addresses, just an order id and product id. The App Stores (Apple and Google) do not share any specific information about the customer's identity with Fertility Friend. Customers who can and elect to order via Stripe.com, Paddle.com or PayPal.com need to refer to these services' privacy policies.",372,<first>,<what>
Customer Service Emails,Customer Service Emails,100.0,2966,sub,Customer Service Emails:We keep all correspondence related to customer support and service. These emails are used for historical purposes to give context to requests and help resolve issues.,190,<first>,<what>
Restricted Accounts,Restricted Accounts,100.0,3158,sub,Restricted Accounts:Fertility Friend offers a Restricted Account option (seeRestricted Mode details and limitations) which allows members to permanently remove their email address from the account and limit the birth date data to just the year. This option removes contact information and personally identifying data from FertilityFriend.com’s permanent storage.,362,<first>,<what>
Automatically Collected Data,Automatically Collected Data,100.0,3524,main,Automatically Collected Data,28,<security>,<what>
Server Logs,Server Logs,100.0,3553,sub,"Server Logs:As customary in the industry, we collect server logs to operate the service. These logs are kept for less than 30 days and are used to identify errors and resolve internal issues. They include IP addresses used to trace issues and investigate abuse/fraud situations.",278,<security>,<what>
Web Cookies,Web Cookies,100.0,3833,sub,"Web Cookies:Fertility Friend only uses first party cookies (the cookies are only read or written by Fertility Friend for its own usage). These cookies are used for session management and preferences storage.Important Note:Fertility Frienddoes notuse any third party analytics or marketing services (such as ad networks, social network targeting, usage analytics services or similar) and thus does not share any usage data or other information with such services. The mobile platform providers (Apple for iOS and Google for Android) provide basic usage data in aggregate format as they do for all apps on their platform.",619,<tracking>,<what>
Data Sharing,Data sharing,100.0,4458,sub,Data sharingFertilityFriend.com does not share your data (anonymized or not) with any third party except if necessary to operate the service or because of legal/regulatory requirements. That includes your personal identification data as well as other data that you record on the service.,287,<third>,<why>
FertilityFriend.com will cooperate fully with verified law enforcement authorities and government agencies whenever duly requested to do so.,FertilityFriend.com will cooperate fully with verified law enforcement authorities and government agencies whenever duly requested to do so.,100.0,4747,sub,FertilityFriend.com will cooperate fully with verified law enforcement authorities and government agencies whenever duly requested to do so.Fertility Friend relies on a few services and contractors to run its business. These services are used for basic infrastructure and include cloud computing providers and network services to accelerate the application performance. These services are contracted for specific purposes as customary in the industry.,451,<error>,<error>
FertilityFriend.com will cooperate fully with verified law enforcement authorities and government agencies whenever duly requested to do so.,FertilityFriend.com will cooperate fully with verified law enforcement authorities and government agencies whenever duly requested to do so.,100.0,4747,sub,"Fertility Friend does not store financial data (credit card number...). This data is solely handled by the payment processor (Apple App Store, Google Play Store, Stripe.com, Paddle.com and PayPal.com depending on the choice/availability of /to the user).",254,<error>,<error>
Data Usage,Data Usage,100.0,5455,main,Data Usage,10,<retention>,<how-used>
FertilityFriend.com uses data collected to:,FertilityFriend.com uses data collected to:,100.0,5466,sub,"FertilityFriend.com uses data collected to:Provide the user with chart analysis and tracking features as per the service purpose.Provide the user with customer service, customer education and answer your charting questions.Improve and develop new analysis tools and provide its users with the most accurate calculations.Occasionally FertilityFriend.com publishes aggregate statistical studies and non identifying data in the form of articles published on its site, scientific articles, conferences or books.",507,<error>,<error>
Data Transfer,Data Transfer,100.0,5978,main,Data TransferFertilityFriend.com uses a cloud architecture with servers in the United States of America. Development and customer support is handled from our headquarters in Canada.,181,<retention>,<how-gathered>
Account Closure,Account Closure,100.0,6161,main,Account Closure,15,<retention>,<how-gathered>
If you close your account your data will cease to be accessible via the apps immediately.,If you close your account your data will cease to be accessible via the apps immediately.,100.0,6177,sub,If you close your account your data will cease to be accessible via the apps immediately. ,90,<error>,<error>
Your charting/pregnancy data will be deleted permanently within 7 days.,Your charting/pregnancy data will be deleted permanently within 7 days.,100.0,6267,sub,Your charting/pregnancy data will be deleted permanently within 7 days. ,72,<error>,<when>
Your community posts are deleted within 90 days as per usual rules to minimize community disruption.,Your community posts are deleted within 90 days as per usual rules to minimize community disruption.,100.0,6339,sub,Your community posts are deleted within 90 days as per usual rules to minimize community disruption. ,101,<error>,<when>
"We may need to keep some data to handle fraud, abuse, regulatory, legal or contractual obligations.","We may need to keep some data to handle fraud, abuse, regulatory, legal or contractual obligations.",100.0,6440,sub,"We may need to keep some data to handle fraud, abuse, regulatory, legal or contractual obligations. ",100,<error>,<error>
This does not include your charting/pregnancy data.,This does not include your charting/pregnancy data.,100.0,6540,sub,This does not include your charting/pregnancy data.,51,<error>,<error>
