decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyFranky Apps built the Private Read for WhatsApp app as an Ad Supported app. Franky Apps also offers a pro version as an in-app purchase which removes the advertisements and brings new exclusive features.If you choose to use this Service, then you agree to the collection and use of information in relation                    to this policy.",368,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,373,main,Information Collection and UsePrivate Read for WhatsApp does not explicitly collect any of its user data.The app does use third party services that may collect information used to identify you.,193,<generic>,<error>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,569,main,Link to privacy policy of third party service providers used by the app,71,<third>,<error>
Google Play Services,Google Play Services,100.0,641,sub,Google Play Services,20,<third>,<error>
AdMob,AdMob,100.0,662,sub,AdMob,5,<third>,<error>
Firebase Analytics,Firebase Analytics,100.0,668,sub,Firebase Analytics,18,<third>,<error>
Facebook Audience Network,Facebook Audience Network,100.0,687,sub,Facebook Audience Network,25,<third>,<error>
Log Data,Log Data,100.0,713,main,"Log DataFranky Apps wants to inform you that whenever you use this Service, in a case of an                    error in the app Franky Apps collects data and information (through third party products) on your phone                    called Log Data. This Log Data may include information such as your device Internet Protocol (â€œIPâ€) address,                    device name, operating system version, the configuration of the app when utilizing my Service,",460,<first>,<error>
Log Data,Log Data,100.0,713,main,"                    the time and date of your use of the Service, and other statistics.",87,<first>,<error>
Compliance with the General Data Protection Regulation (GDPR),Compliance with the General Data Protection Regulation (GDPR),100.0,1266,main,"Compliance with the General Data Protection Regulation (GDPR)Private Read for WhatsApp does not explicitly collect nor store any of its user data on any server. All the data used by the application                    are stored only on the physical devices of their owners.As seen in the previous ""Information Collection and Use"" section, Private Read does connect with trusted third-parties providing advertisements and analytics data.",436,<first>,<error>
Compliance with the General Data Protection Regulation (GDPR),Compliance with the General Data Protection Regulation (GDPR),100.0,1266,main,"Those third parties are Facebook & Google. They are compliant with the GDPR and their privacy policy can be accessed from the URLs posted in the previous ""Information Collection and Use"" section.",195,<first>,<error>
Links to Other Sites,Links to Other Sites,100.0,1902,main,"Links to Other SitesThis Service may contain links to other sites. If you click on a third-party link, you will be directed                    to that site. Note that these external sites are not operated by me. Therefore, Franky Apps strongly                    advises you to review the Privacy Policy of these websites. Franky Apps has no control over                    and assume no responsibility for the content, privacy policies, or practices of any third-party sites                    or services.",507,<not>,<error>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,2415,main,"Changes to This Privacy PolicyFranky Apps may update its Privacy Policy from time to time. Thus, you are advised to review                    this page periodically for any changes. Franky Apps will notify you of any changes by posting                    the new Privacy Policy on this page. These changes are effective immediately after they are posted on                    this page.",386,<change>,<error>
Contact Us,Contact Us,100.0,2806,main,"Contact UsIf you have any questions or suggestions about this Privacy Policy, do not hesitate to contact                    us on frankyapps16@gmail.com",152,<contact>,<error>
This privacy policy page was created at,This privacy policy page was created at,100.0,2961,main,This privacy policy page was created at,39,<generic>,<error>
privacypolicytemplate.net,privacypolicytemplate.net,100.0,3001,sub,privacypolicytemplate.net,25,<error>,<error>
and modified/generated by,and modified/generated by,100.0,3027,main,and modified/generated by,25,<generic>,<error>
App Privacy Policy Generator,"
App Privacy Policy Generato",96.42857142857143,3052,sub,App Privacy Policy Generator,28,<generic>,<error>
