decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy of Full Screen Caller IDPrivacy Policy ofFull Screen Caller IDThis Application collects some Personal Data from its Users.This document can be printed for reference by using the print command in the settings of any browser.,238,<generic>,<error>
Policy Summary,Policy summary,100.0,243,main,"Policy summaryPersonal Data processed for the following purposes and using the following services:Access to third party accountsFacebook account accessPermissions: Access Friend Lists; Friends' PhotosAdvertisingAdMobPersonal Data: Cookies; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); Usage DataAnalyticsGoogle AnalyticsPersonal Data: Cookies; Usage DataGoogle Analytics for Firebase",425,<generic>,<other>
Policy Summary,Policy summary,100.0,243,main,"Personal Data: Cookies; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); Usage DataContacting the UserContact formPersonal Data: email addressDevice permissions for Personal Data accessDevice permissions for Personal Data accessPersonal Data: Camera permission; Contacts permission; Phone permission; SMS permission; Social media accounts permission; Storage permissionHosting and backend infrastructureFirebase Hosting",457,<generic>,<other>
Policy Summary,Policy summary,100.0,243,main,"Personal Data: various types of Data as specified in the privacy policy of the serviceFirebase Cloud StoragePersonal Data: Usage Data; various types of Data as specified in the privacy policy of the serviceInfrastructure monitoringCrashlyticsPersonal Data: geographic position; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); various types of Data as specified in the privacy policy of the serviceFirebase Crash Reporting and Firebase Performance Monitoring",496,<generic>,<other>
Policy Summary,Policy summary,100.0,243,main,Personal Data: various types of Data as specified in the privacy policy of the serviceManaging contacts and sending messagesFirebase Notifications and Firebase Cloud MessagingPersonal Data: various types of Data as specified in the privacy policy of the serviceRegistration and authenticationFirebase AuthenticationPersonal Data: email address; profile pictureSocial featuresInviting and suggesting friendsPersonal Data: various types of DataPublic profilePersonal Data: email address; picture,493,<generic>,<other>
Policy Summary,Policy summary,100.0,243,main,"Firebase Dynamic Links and Firebase InvitesPersonal Data: various types of Data as specified in the privacy policy of the serviceInformation on opting out of interest-based advertisingIn addition to any opt-out feature provided by any of the services listed in this document, Users may follow the instructions provided byYourOnlineChoices(EU),  theNetwork Advertising Initiative(US) and  theDigital Advertising Alliance(US),DAAC(Canada),DDAI(Japan)",448,<generic>,<other>
Policy Summary,Policy summary,100.0,243,main,  or other similar initiatives. Such initiatives allow Users to select their tracking preferences for most of the advertising tools. The Owner thus recommends that Users make use of these resources in addition to the information provided in this document.The Digital Advertising Alliance offers an application calledAppChoicesthat helps Users to control interest-based advertising on mobile apps.,396,<generic>,<other>
Policy Summary,Policy summary,100.0,243,main,"Users may also opt-out of certain advertising features through applicable device settings, such as the device advertising settings for mobile phones or ads settings in general.Contact informationOwner and Data ControllerChristophe Nys63 rue de la houssiette76690 Authieux-Ratieville (France)Owner contact email:contact@isodroid.comFull policyOwner and Data ControllerChristophe Nys63 rue de la houssiette76690 Authieux-Ratieville (France)Owner contact email:contact@isodroid.com",478,<generic>,<other>
Types of Data Collected,Types of Data collected,100.0,3511,main,"Types of Data collectedAmong the types of Personal Data that this Application collects, by itself or through third parties, there are:      Cookies; Usage Data; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); Contacts permission; Camera permission; Phone permission; SMS permission; Storage permission; Social media accounts permission; email address; various types of Data; picture; geographic position; profile picture.",460,<first>,<what>
Types of Data Collected,Types of Data collected,100.0,3511,main,"Complete details on each type of Personal Data collected are provided in the dedicated sections of this privacy policy or by specific explanation texts displayed prior to the Data collection.Personal Data may be freely provided by the User, or, in case of Usage Data, collected automatically when using this Application.",320,<first>,<what>
