decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy PolicyYou may be trying to access this site from a secured browser on the server. Please enable scripts and reload this page.PersonalCorporateSMEAboutPrices of Financing and Savings Products|||8001230000عربيOur WebsitesAlbilad Capital​Albilad Capital is the investment banking arm of Bank AlbiladEnjazEnjaz Payment Services CompanyMukafaat Albilad​Mukafaat Albilad is the loyalty program that lets you earn points and redeem them for exciting rewardsPersonalCorporateSMEAbout,483,<error>,<error>
,,-1.0,0,,Prices of Financing and Savings ProductsعربيxAccountsCurrent AccountOpen your current account onlineSaving AccountInvestment Wakalah ProgramAlbilad Account with Monthly ReturnsTamayuz AccountsPrivate BankingPrices of Financing and Savings ProductsCardsAll CardsTamkeen plus Credit Cardmada CardsCredit CardsPrepaid CardsCard OffersMukafaat AlbiladPersonal FinancingOverview on Personal Financing OptionsFinancing CalculatorFinancing Murabaha via  Albilad AppPersonal Shares FinancingTop upRefinancing Program,508,<error>,<error>
,,-1.0,0,,Financing Against MortgageBuyoutReal Estate FinancingOverview on Real Estate Financing OptionsFinancing CalculatorAlbilad FinancingEskan FinancingAuto FinancingOverview on Auto Financing OptionsFinancing CalculatorAuto LeaseAuto Financing (Murabaha)Digital ChannelsAlbilad NetAlbilad AppAlbilad PhoneEnjaz Services Through Albilad Electronic ChannelsAlbilad Multi Currency ATMCard issuance self-services“Sarie” Service for instant paymentsE-VouchersComplains and SuggestionsContact UsLoginAlbilad Net,500,<error>,<error>
,,-1.0,0,,Albilad Branches and ATMs☰Privacy PolicyRollup Imageبنك البلاد | Bank AlbiladEnglishPage Content,96,<error>,<error>
Our Commitment to Privacy,Our Commitment to Privacy,100.0,1667,main,Our Commitment to Privacy​,26,<generic>,<other>
Our Commitment to Privacy,Our Commitment to Privacy,100.0,1667,main,"Welcome to BANK ALBILAD web site (the ""Site""). For the purposes of this Policy, the terms ""we"" ""us"", ""our"", "" Company"" and ""Companies"" refer to BANK ALBILAD, and all of our affiliates. ""You"" refers to you, as a user of this Site. Explained in this section is our policy regarding any personal information you might supply to us when you visit the Site. Our Privacy Policy (the ""Policy"") was developed as an extension of our commitment to combine the highest-quality products and services with the highest level of integrity in dealing with our customers and partners. This Policy is designed to assist you in understanding how we collect, use and safeguard the personal information you provide to us. This statement will be continuously assessed against new technologies, business practices and our customer's needs.",816,<generic>,<other>
Your Consent,Your Consent,100.0,2511,main,"Your ConsentBy using this Site, you consent to our collection and use of your personal information as described in this Privacy Policy. Therefore, we reserve the right to change this Privacy Policy without specific notice to you, along with related procedures, at any time.",273,<generic>,<other>
"Collection, Use and Retention of Client Information","Collection, Use and Retention of Client Information",100.0,2786,main,"Collection, Use and Retention of Client InformationWhen you visit our Site you may provide us with two types of information: ",125,<first>,<what>
1. Personal Information,1) personal information,95.65217391304348,2912,sub,"1) personal information you knowingly choose to disclose that is collected on an individual basis; these information might be used for the reason of providing and operating the products and services you have requested and for other related purposes that may include but not limited to, understanding customer's financial needs, updating and enhancing your records with us, informing you with other interesting products and services that you may desire to have, and for reasons required by applicable laws and authorities; and ",526,<error>,<what>
2. The Site Use Information,2) The Site use information,96.2962962962963,3438,sub,"2) The Site use information collected on an aggregate basis as you and others browse our Site. This allows us to follow the routing of the users through interesting areas of the Site. Information that we collected, from your visiting to the interesting areas of the Site, are including but not limited to quantity of entering the Site Page and visiting interested areas, and duration of user sessions. Moreover, such kind of gathering information does not identify individuals in particular. Nevertheless, this information is used to serve the users in a better mean and it helps us to improve the Site from time to time",620,<error>,<what>
3. Destruction of Documents and Paper Transactions,"3
) Destruction of documents and paper transaction",96.0,4059,sub,3) Destruction of documents and paper transactions that have passed a period of ten years from the date of closing or termination of the contractual relationship or from the date of executing the last transaction on the accounts,228,<error>,<when>
Information Sent to the Site,Information Sent to the Site,100.0,4289,main,Information Sent to the Site,28,<first>,<how-gathered>
Information Sent to the Site,Information Sent to the Site,100.0,4289,main,"All information or materials were sent and submitted to the Site and does not breach nor go against existing laws and regulations shall become the property of Bank AlBilad. The Bank is not liable for the confidentiality of such information and materials, unless there is a Non-Disclosure Agreement with the Bank or as required by prevailing laws and regulations, or in response to a valid order by a court or other government body. Yet, Bank AlBilad has the right to use all information and materials such as ideas, experience, and techniques for any purpose and means. We would like to take this opportunity to notify you that there is a non-full security for internet usage. Due to this, you undertake the entire liabilities and risks for sending, providing and submitting any information or materials to our Site.",816,<first>,<how-gathered>
Mobile Applications,Mobile applications,100.0,5135,sub,Mobile applications is uploading users' Contact List information.Mobile applications is uploading users' Images information.,124,<error>,<how-gathered>
E-mail,E-mail,100.0,5261,sub,"E-mailWe may provide aggregate information about our customers, services, Site traffic patterns and related Site information, to the extent allowed by laws, to our affiliates or reputable third parties, but this information will not include personally identifying data, except as otherwise provided in this Privacy Policy. Moreover, we may disclose information when legally compelled to do so by law and/or in order to protect our legal rights.",444,<error>,<how-gathered>
Other Web Sites Linked to Our Site,Other Web Sites Linked to Our Site,100.0,5707,main,Other Web Sites Linked to Our Site,34,<error>,<how-gathered>
Other Web Sites Linked to Our Site,Other Web Sites Linked to Our Site,100.0,5707,main,"We are not responsible for the practices employed by web sites linked to or from our Site nor the information or content contained therein. Often links to other web sites are provided solely as pointers to information on topics that maybe useful to the users of our Site. Please remember that when you use a link to go from our Site to another web site, our Privacy Policy is no longer in effect. Browsing and interaction on any other website, including web sites which have a link to our Site, is subject to that web site's terms and conditions. Please read the terms and conditions before proceeding.",602,<error>,<how-gathered>
Children's Privacy,Children's Privacy,100.0,6345,main,"Children's PrivacyOur Site is not intended for the use of children. We do not knowingly market to, or solicit data from children.",129,<audience>,<why>
Unlawful Use,Unlawful Use,100.0,6476,main,"Unlawful UseYou are prohibited to use the Site for any purpose which is unlawful, abusive, libelous, obscene or threatening.",124,<not>,<why>
Indemnification,Indemnification,100.0,6602,main,"Indemnification​You agree to defend, indemnify and hold harmless Bank Albilad, its affiliates and their respective directors, officers, employees and agents from and against all claims and expenses, including attorneys' fees, arising out of your violation of this Policy or misuse of the Services or this Site, including such violation or misuses conducted by your employee or agent, if applicable.",398,<not>,<other>
Additional Condition,Additional Condition,100.0,7002,main,Additional ConditionAll terms and conditions stated in any part of this site or in the Bank publications shall form an integral part of this Policy.,148,<not>,<other>
Applicable Law,Applicable Law,100.0,7152,main,Applicable LawThis Privacy Policy shall be construed and in accordance with applicable laws and regulations of the Kingdom of Saudi Arabia.,139,<region>,<other>
Contact Us,Contact Us,100.0,7293,main,"Contact UsSocial MediaAlbilad WhatsAppImmediately reach us through Albilad WhatsApp and get things done faster with no hassle.Message UsAlbilad PhoneTo call Bank Albilad from Saudi Arabia: 8001230000, and from outside the Saudi Arabia: 009669200010028001230000Our BranchesFind the nearest Albilad branch or ATM to you. Get step-by-step directions and estimated time of arrival.Find UsAbout AlbiladInvestor RelationsCareersContact UsOur WebsitesQuick LinksComplaints and SuggestionsPrivacy PolicyTerms of Use",507,<contact>,<other>
Contact Us,Contact Us,100.0,7293,main,"Security StatementVendors ServicesHow to report fraudBanking Consumer Protection PrinciplesNewsletterGet our latest offers and productsRegisterMobile AppAll Rights Reserved © 2023Bank Albilad is a Saudi joint stock company, with National Unified No. 7001473102, Head Office: Al Mutamarat 8229, Building No 2, RIYADH 3952 - 12711, KSA. Under monitoring and supervision of Saudi Central Bank and licensed by Royal decree 48/M on 1425/9/21H (4/11/2004 G).EnglishCurrently selected# الرئيسية - Home #privacy-policy",510,<contact>,<other>
