decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,UPX ,4,<error>,<error>
Privacy Statement,Privacy Statement,100.0,4,main,"Privacy StatementPrivacy StatementUpdated February 1, 2022",58,<error>,<error>
Summary,Summary,100.0,66,main,Summary,7,<error>,<error>
We at UPX take your privacy seriously.,We at UPX take your privacy seriously.,100.0,74,sub,We at UPX take your privacy seriously. ,39,<error>,<error>
"This privacy statement explains what data we collect, how we store and transfer it and how we use it.","This privacy statement explains what data we collect, how we store and transfer it and how we use it.",100.0,113,sub,"This privacy statement explains what data we collect, how we store and transfer it and how we use it. ",102,<error>,<error>
"The exact set of the data we collect, its purpose and your opt-out choices depend on the product or service you use.","The exact set of the data we collect, its purpose and your opt-out choices depend on the product or service you use.",100.0,215,sub,"The exact set of the data we collect, its purpose and your opt-out choices depend on the product or service you use. Please refer to the relevant product or service sections of this privacy statement to learn more specific details.We DO NOT COLLECT, STORE or TRANSFER ANY PERSONAL DATA.",286,<error>,<error>
"The exact set of the data we collect, its purpose and your opt-out choices depend on the product or service you use.","The exact set of the data we collect, its purpose and your opt-out choices depend on the product or service you use.",100.0,215,sub,"When we post changes to this privacy statement, we will include the date when the statement was last updated. If we significantly change this statement or how we use your personal information, we will notify you either by prominently posting a notice prior to implementing the change or by sending you a notification directly. We encourage you to respect review this statement periodically.",390,<error>,<error>
What data do we collect?,What data do we collect?,100.0,897,main,What data do we collect?,24,<first>,<error>
The information we collect may include: non-personal technical data,The information we collect may include: non-personal technical data,100.0,922,sub,"The information we collect may include: non-personal technical data, for example who manufactured your device, your screen's resolution, your mobile operator's region and code. A complete list of the data we collect and purpose of collection may vary between our products and services.",285,<first>,<error>
How do we collect data?,How do we collect data?,100.0,1209,main,How do we collect data?,23,<first>,<error>
"Generally, we collect data:","Generally, we collect data:",100.0,1233,sub,"Generally, we collect data:",27,<first>,<error>
When you provide it explicitly to us;,When you provide it explicitly to us;,100.0,1262,sub,"When you provide it explicitly to us; for example, when you submit a form on our websites",89,<first>,<error>
"When you install and run our products, use our services, or visit our websites","When you install and run our products, use our services, or visit our websites",100.0,1352,sub,"When you install and run our products, use our services, or visit our websitesWhen we collect your data, we associate it with a unique ID and a unique device ID that are generated when you install an UPX product or begin using one of our services. These identifiers are anonymized and cannot be linked to you as an individual person. We also take measures to remove any possible connections between these IDs and other types of personal data.",442,<first>,<error>
"When you install and run our products, use our services, or visit our websites","When you install and run our products, use our services, or visit our websites",100.0,1352,sub,"This privacy statement does not cover third-party apps you access and use through our products and services, nor does it cover links to other websites. We do not control the privacy and security practices and policies of these third parties and their sites. We encourage you to read the privacy statements of the third-party apps and websites you use.",351,<first>,<error>
How do we protect your data?,How do we protect your data?,100.0,2151,main,How do we protect your data?,28,<security>,<error>
We treat your data as required by law.,We treat your data as required by law.,100.0,2180,sub,We treat your data as required by law.Only a limited number of UPX employees have access to the data we collect. We review and update our working procedures regularly to improve your privacy and ensure that our internal policies are followed. We immediately correct any non-conformance regarding these policies.,311,<error>,<error>
We treat your data as required by law.,We treat your data as required by law.,100.0,2180,sub,Our commitment to your privacy does not extend to third-party products and services you may access from UPX products and services. We encourage you to read the privacy statements of the third-party products and services you use.,228,<error>,<error>
How do we share your data?,How do we share your data?,100.0,2725,main,How do we share your data?,26,<third>,<error>
We cannot share your data because we do not have individual data pointing to you:,We cannot share your data because we do not have indivudual data pointing to you:,98.76543209876543,2752,sub,"We cannot share your data because we do not have indivudual data pointing to you:Because we are an international company with data-centers around the world, your data may be transferred to countries which do not have the same level of data protection laws as those in the country where you are located. We will ensure that your data is protected to a strict standard.",367,<error>,<error>
What else should I know?,What else should I know?,100.0,3123,main,What else should I know?,24,<generic>,<error>
We aim to be transparent as to what data we collect and how we use it.,We aim to be transparent as to what data we collect and how we use it.,100.0,3148,sub,We aim to be transparent as to what data we collect and how we use it. ,71,<error>,<error>
Your rights are not limited to consent and opt-out choices only.,Your rights are not limited to consent and opt-out choices only.,100.0,3219,sub,"Your rights are not limited to consent and opt-out choices only. If you've provided personal information to us, you may change or modify this information at any time.We do not retain personal data.",197,<choice>,<error>
