decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy,14,<generic>,<other>
AR,AR,100.0,15,main,AR,2,<error>,<other>
Search,Search,100.0,18,main,Search,6,<error>,<other>
Browse your profile,Browse your profile,100.0,25,main,Browse your profile,19,<error>,<other>
About Alhosn,About Alhosn,100.0,45,main,About Alhosn,12,<error>,<other>
User Journey,User Journey,100.0,58,main,User JourneyUser Journey,24,<error>,<error>
Vaccinations,Vaccinations,100.0,84,main,Vaccinations,12,<error>,<other>
Coming soon,Coming soon,100.0,97,main,Coming soon,11,<error>,<other>
Media Center,Media Center,100.0,109,main,Media Center,12,<error>,<other>
Timeline,Timeline,100.0,122,main,Timeline,8,<error>,<other>
Help,Help,100.0,131,main,Help,4,<error>,<other>
Start typing to search ...,Start typing to search  ..,96.15384615384616,136,main,Start typing to search  ...,27,<error>,<other>
COVID-19,COVID-19,100.0,164,main,COVID-19,8,<error>,<other>
Media Center,Media Center,100.0,173,main,Media Center,12,<error>,<error>
User Journey,User Journey,100.0,186,main,User Journey,12,<error>,<error>
FAQs,FAQs,100.0,199,main,FAQs,4,<error>,<other>
Search,Search,100.0,204,main,Search,6,<error>,<other>
Privacy Policy,Privacy Policy,100.0,211,main,Privacy PolicyPrivacy Policy,28,<error>,<error>
"Welcome to Alhosn UAE App (“Alhosn”). Alhosn is provided and controlled by the Ministry of Health & Prevention. (“Ministry of Health & Prevention”, “we” or “us”).","Welcome to Alhosn UAE App (“Alhosn”). Alhosn is provided and controlled by the Ministry of Health & Prevention. (“Ministry of Health & Prevention”, “we” or “us”).",100.0,241,main,Welcome to ,11,<error>,<error>
Alhosn,Alhosn,100.0,252,main,"Alhosn UAE App (“Alhosn”). Alhosn is provided and controlled by the Ministry of Health & Prevention. (“Ministry of Health & Prevention”, “we” or “us”).Alhosn is the official COVID-19 results and status app for the UAE.It is safe, secure, and designed to safeguard both your health and your privacy. We are committed to protecting and respecting your privacy.Your privacy is important to theMinistry of Health & Prevention",421,<error>,<other>
Alhosn,Alhosn,100.0,252,main,"and maintaining your trust is paramount. This Statement discloses the information practices used by Ministry of Health & Prevention, including what type of information is gathered and tracked, how the information is used and may be shared.This privacy statement applies to theMinistry of Health & Prevention",307,<error>,<other>
Alhosn,Alhosn,100.0,252,main,"portal, affiliated websites, microsites, marketing initiatives, services, mobile applications that collect data, as well as their offline services. From time to time, we may supplement this Statement with additional information.Cookies & Similar TechnologiesTheMinistry of Health & Prevention",292,<error>,<other>
Alhosn,Alhosn,100.0,252,main,"site(s) use ""cookies,"" small text files on your smart phone, tablet, or computer hard drive that can be read by a web server. Such cookies are personally non-identifiable and store your preferences and settings; help with sign-in; analyze site operations. You have a variety of tools to control cookies and similar technologies, including Browser controls to block and delete cookies or you can opt out.",403,<error>,<other>
Information We Collect,Information We Collect,100.0,1688,main,"Information We CollectMinistry of Health & Preventioncollects many kinds of information in order to operate effectively and provide you better services and user experience. We collect information when you register, sign in, and use our sites and services. We collect this information in a variety of ways, including from web forms, call center, cookies to name a few.How We Use Your ",383,<first>,<what>
Personal Information,Personal Information,100.0,2074,sub,"Personal InformationMinistry of Health & Preventionuses the information we collect to operate, improve, and personalize the products and services we offer. Examples include, informing you about relevant news, promotions, events, customer service surveys, market research or in connection with certain transactions or query.Communication PreferencesYou can stop the delivery of future promotional e-mail fromMinistry of Health & Prevention",438,<first>,<what>
Personal Information,Personal Information,100.0,2074,sub,"by following the instructions in the e-mail you receive. Depending on the respective service, you may also have the option of proactively making choices about the receipt of promotional e-mail, telephone calls, and postal mail for particularMinistry of Health & Preventionsites or services.Personal InformationWe collect and may combine your personal information from other sources to help us improve its overall accuracy and completeness. If you request something fromMinistry of Health & Prevention",500,<first>,<what>
Personal Information,Personal Information,100.0,2074,sub,", we will use or share the information you provide with others, for instance,Ministry of Health & Prevention's partners, other government departments involved in fulfilment.PersonalizationWe may use information we collect to provide a personalized experience on our Web sites, such as personalizing content, user preferences, languages, which you may be interested and making navigation easier.Providing Support",411,<first>,<what>
How We Use Your Personal Information,We may use your personal information,88.88888888888889,3441,sub,"We may use your personal information to support for services you have obtained or wish to obtain from us. We may also provide ""Live Chat"" sessions or while providing technical support, we may sometimes have incidental access to data that. We will use personal information you provide via these sessions in accordance with this Privacy Statement.",345,<first>,<why>
Social Media,Social Media,100.0,3787,sub,"Social MediaMinistry of Health & Preventionalso provides social media services such as Twitter, Facebook, forums, wikis, blogs and to name a few.Any other content you post, such as pictures, information, opinions, or any other type of personal information that you make available to other participants on these social platforms or applications, is not subject to this Privacy Statement. The content you post on any such social media sites may be made broadly available to others inside and outside",497,<first>,<error>
Social Media,Social Media,100.0,3787,sub,Ministry of Health & Prevention.,32,<first>,<error>
Protect the Rights and Property of Ministry of Health & Prevention,Protect the Rights and Property of Ministry of Health & Prevention,100.0,4322,sub,"Protect the Rights and Property of Ministry of Health & PreventionWe may also use or share your information to protect the rights or property ofMinistry of Health & Prevention, our partners, suppliers, or others when we have reasonable grounds to believe that such rights or property have been or could be affected. We reserve the right to disclose your personal information as required by law and when disclosure is necessary to protect our rights, or the rights of others, or to comply with a judicial proceeding, court order, or legal process served on our Web sites.",570,<third>,<how-used>
Information Security & Accuracy,Information Security & Accuracy,100.0,4896,sub,"Information Security & AccuracyMinistry of Health & Preventionimplements reasonable physical, administrative and technical safeguards to help us protect your personal information from unauthorized access, use and disclosure, but can make no guarantee or take any liability.",273,<security>,<error>
Retention,Retention,100.0,5172,sub,RetentionWe will retain your registration information for as long as your account is active or as needed to provide you services or as necessary.,145,<retention>,<when>
Links to Non- Ministry of Health & Prevention Web Sites and Third Party Applications,Links to Non- Ministry of Health & Prevention Web Sites and Third Party Applications,100.0,5319,sub,"Links to Non- Ministry of Health & Prevention Web Sites and Third Party ApplicationsTo allow you to interact with other Web sites on which you may have accounts (such as social media sites), we may provide links or embed third-party apps that allow you to login, post content. We may also provide you with general links to non-Ministry of Health & Prevention",358,<third>,<error>
Links to Non- Ministry of Health & Prevention Web Sites and Third Party Applications,Links to Non- Ministry of Health & Prevention Web Sites and Third Party Applications,100.0,5319,sub,"Web sites via social media, newsletters etc. Your use of these links and apps is subject to the third parties' privacy policies, and you should become familiar with the third party sites' privacy policies before using them.Ministry of Health & Preventionis not responsible for the privacy practices or the content of those other Web sites.",339,<third>,<error>
How Alhosn handles User Data,How Alhosn handles User Data,100.0,6022,sub,"How Alhosn handles User DataAlhosn only access personal and sensitive data required to directly support the public health emergency, and will only use the data collected to support COVID-19-related efforts or epidemiological research.Alhosn requires 2 user parameters i.e. Valid Emirates Identification number / UID number and a valid mobile number to be able to pull the user’s PCR test details and vaccination details from a centralized Government authority database.",469,<third>,<how-gathered>
How Alhosn handles User Data,How Alhosn handles User Data,100.0,6022,sub,Alhosn backend does not disclose any user information i.e. Emirates ID number / UID number or their mobile numbers to any third party vendors. User privacy is safe guarded and is one of the top priorities of Alhosn application.,227,<third>,<how-gathered>
Privacy Questions,Privacy Questions,100.0,6722,sub,"Privacy QuestionsIf you have questions or complaints regarding our privacy policy or practices, please contact theMinistry of Health & Preventionat the address listed below:Attention:Ministry of Health & PreventionO. Box: 1853Muhaisnah 2, Near Etisalat academy , Sheikh Mohammed Bin Zayed Road ,Dubai, UAEMinistry Tel: +971 4 2301000Ministry Fax: +971 4 2301800Alhosn App Tel: 800 HOSN (800 4676)Alhosn App E-mail:info@alhosnapp.ae",431,<choice>,<error>
Privacy Questions,Privacy Questions,100.0,6722,sub,"Alhosn app aims to enhance health by enabling the digitization of healthcare processes, leading to a safer and healthier future for everyone",140,<choice>,<error>
Important links,Important links,100.0,7307,sub,"Important linksTimelineUser JourneyMedia CenterHelpContact usinfo@alhosnapp.aeFollow us for more infoFor the latest news and events, please subscribe to our NewsletterSubscribe© 2024. Copy rightsPrivacy PolicyTerms and Conditions×home.career_message",249,<access>,<error>
