decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyGuro Labs (""Guro Labs"" or ""we"") respect your preferences concerning the treatment of Information that we may collect. This Privacy Policy explains what kind of information we collect, use, share and the security of your information in relation to our mobile applications (""Applications"" or ""Apps"") and mobile services (""Services""). Please take a moment to familiarize yourself with our privacy practices.",418,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"BY INSTALLING THE APPS ON YOUR MOBILE DEVICE, ENTERING INTO, CONNECTING TO, ACCESSING AND/OR USING THE APPS, YOU AGREE TO THE TERMS AND CONDITIONS SET FORTH IN THIS PRIVACY POLICY, INCLUDING TO THE POSSIBLE COLLECTION AND PROCESSING OF YOUR INFORMATION. PLEASE NOTE: IF YOU OR, AS APPLICABLE, YOUR LEGAL GUARDIAN, DISAGREE TO ANY TERM PROVIDED HEREIN, YOU MAY NOT INSTALL, ACCESS AND/OR USE THE APPS AND YOU ARE REQUESTED TO PROMPTLY ERASE THEM, AND ANY PART THEREOF, FROM YOUR MOBILE DEVICE.",492,<generic>,<error>
What information we collect,What information we collect,100.0,913,main,"What information we collectOur primary purpose in collecting information is to provide you with a safe, efficient and customized experience and to provide you with Services and features that better meet your needs or requests.",226,<first>,<error>
1. Personal Information,1. Personal Information,100.0,1141,sub,"1. Personal InformationWe do NOT collect any Personal Information about you. ""Personal Information"" means personally identifiable information, such as your name, email address, physical address, calendar entries, contact entries, files, photos, etc.",249,<error>,<what>
2. Non-Personal Information,2. Non-Personal Information,100.0,1392,sub,"2. Non-Personal InformationWe may collect non-personal information about your use of our Apps and aggregated information regarding the usages of the Apps. ""Non-Personal Information"" means information that is of an anonymous nature, such as the type of mobile device you use, your mobile devices unique device ID, your mobile operating system, and information about the way you use the Applications.",398,<error>,<what>
How we use your information we collect,How we use your information we collect,100.0,1792,main,How we use your information we collect,38,<first>,<error>
1. Personal Information,1. Personal Information,100.0,1831,sub,1. Personal Information.We do NOT collect and use Personal Information in any way.,82,<error>,<how-used>
2. Non-personal Information,2. Non-personal Information,100.0,1915,sub,"2. Non-personal Information.If collected, non-personal information is used internally to monitor and improve the Services, to perform analyses of the behavior of our users, to measure user demographics and interests, to describe our services to third parties such as advertisers and to analyze how and where best to use our resources. We do not combine Non-Personal Information with Personal Information.",404,<error>,<how-used>
How we share the information we collect,How we share the information we collect,100.0,2321,main,How we share the information we collect,39,<third>,<error>
1. Personal Information,1. Personal Information,100.0,2361,sub,1. Personal Information.We do NOT collect and share Personal Information in any way.,84,<error>,<how-gathered>
2. Non-personal information,2. Non-personal information,100.0,2447,sub,2. Non-personal information.,28,<error>,<how-gathered>
2. Non-personal information,2. Non-personal information,100.0,2447,sub,"We accept advertisements from Third Parties ad networks which may be displayed in our Apps. We may share certain information with third-party advertisers, ad networks and ad platforms (""Advertising Entities"") to develop and deliver targeted advertising in the Apps. We may also allow Advertising Entities to collect non-personal information within the Services which they may share with us, including your device identifier, device type, device brand, device model, network type, device language, and IP address. Advertising entities may also collect non-personal information related to the performance of the advertisements, such as how many times an advertisement is shown, how long an advertisement is viewed, and any click-throughs of an advertisement.",756,<error>,<how-gathered>
Links to third-party websites and services,Links to third-party websites and services,100.0,3233,main,Links to third-party websites and services,42,<third>,<when>
Links to third-party websites and services,Links to third-party websites and services,100.0,3233,main,"The Apps may contain links to other websites and online services, including third-party advertisements. If you choose to click through to one of these other websites or online services, please note that any information you may provide will be subject to the privacy policy and other terms and conditions of that websites or service, and not to this Privacy Policy. We do not control third-party websites or services, and the fact that a link to such a website or service appears in the Apps does not mean that we endorse them or have approved their policies or practices relating to user information. Before providing any information to any third-party website or service, we encourage you to review the privacy policy and other terms and conditions of that website or service. You agree that Guro Labs will have no liability for any matters relating to a third-party website or service that you provide information to, including their collection and handling of that information.",980,<third>,<when>
Changes to our Privacy Policy,Changes to our Privacy Policy,100.0,4257,main,Changes to our Privacy PolicyThis Privacy Policy may be updated from time to time for any reason. We will notify you of any changes to our Privacy Policy by posting the new Privacy Policy onhttp://www.gurolabs.se/privacy/. Your continued use of the Apps and Services following the posting of changes will mean you accept those changes.,335,<retention>,<other>
Contact us,Contact us,100.0,4596,main,"Contact usIf you have any questions regarding privacy while using the Apps, or have questions about our practices, please contact us via email atprivacy@gurolabs.se",164,<contact>,<other>
