decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyDevPlank built the ""Rastreio Correios (rastreamento correios)"" app as an Ad Supported app. This SERVICE is provided by    DevPlank at no cost and is intended for use as is.This page is used to inform visitors regarding our policies with the collection, use, and disclosure    of Personal Information if anyone decided to use our Service.If you choose to use our Service, then you agree to the collection and use of information in",457,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"    relation to this policy. The Personal Information that we collect is used for providing and improving    the Service. We will not use or share your information with anyone except as described    in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is    accessible at ""Rastreio Correios (rastreamento correios)"" unless otherwise defined in this Privacy Policy.",433,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,902,main,Information Collection and Use,30,<generic>,<what>
"For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information.","For a better experience, while using our Service, we may require you to provide us with certain
    personally identifiable informat",96.96969696969697,933,sub,"For a better experience, while using our Service, we may require you to provide us with certain    personally identifiable information. ",136,<first>,<why>
The information that we request will be retained by us and used as described in this privacy policy.,The information that we request will be retained by us and used as described in this privacy policy.,100.0,1070,sub,The information that we request will be retained by us and used as described in this privacy policy.The app does use third party services that may collect information used to identify you.,188,<first>,<how-used>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,1260,main,Link to privacy policy of third party service providers used by the app,71,<third>,<what>
Google Play Services,Google Play Services,100.0,1332,sub,Google Play Services,20,<third>,<error>
AdMob,AdMob,100.0,1353,sub,AdMob,5,<third>,<error>
Firebase Analytics,Firebase Analytics,100.0,1359,sub,Firebase Analytics,18,<third>,<error>
Fabric,Fabric,100.0,1378,sub,Fabric,6,<third>,<error>
Crashlytics,Crashlytics,100.0,1385,sub,Crashlytics,11,<third>,<error>
Log Data,Log Data,100.0,1397,main,Log Data,8,<generic>,<what>
"We want to inform you that whenever you use our Service, in a case of an error in the app we collect data and information (through third party products) on your phone called Log Data.","We want to inform you that whenever you use our Service, in a case of
    an error in the app we collect data and information (through third party products) on your phone
    called L",95.62841530054644,1406,sub,"We want to inform you that whenever you use our Service, in a case of    an error in the app we collect data and information (through third party products) on your phone    called Log Data. ",190,<third>,<why>
"This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing our Service, the time and date of your use of the Service, and other statistics.","This Log Data may include information such as your device Internet Protocol (“IP”) address,
    device name, operating system version, the configuration of the app when utilizing our Service,
    the time and date of your use of the Service, and other sta",96.86274509803921,1598,sub,"This Log Data may include information such as your device Internet Protocol (“IP”) address,    device name, operating system version, the configuration of the app when utilizing our Service,    the time and date of your use of the Service, and other statistics.",261,<third>,<error>
Cookies,Cookies,100.0,1862,main,Cookies,7,<tracking>,<what>
