decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Lovense privacy policyen001681739231517trueThank you!ProductsFemaleDolceOsci 2Lush 3AmbiNoraFerriHyphyExomoonGravityFlexerMaleMax 2Edge 2DiamoGushCalorRealSize CondomsUnisexDomi 2Hush 2GeminiLovense Sex MachineCompareAppsLovense RemoteOur Flagship App With Dynamic FeaturesLive Streams and VideosVibeMateUse Lovense Toys With Adult ContentTophyFind your perfect playmateCammingAboutDownloadSetup GuidesCommunityLovense WebcamPossibilitiesStoreLog InSign UpRecommendationsExplore MoreAccessoriesValue PacksFAQ,508,<error>,<error>
,,-1.0,0,,"Link copied.Lovense Privacy PolicyEffective: November 11, 2022",62,<error>,<error>
,,-1.0,0,,"As your Service provider, HYTTO PTE. LTD., its related corporations and affiliates, (""we"", ""our"" or ""us"") respects your legal rights of privacy when collecting, storing, using and transmitting Personal Information (as defined below) and this Privacy Policy explains our privacy practices. It is our policy and obligation to comply with the requirements of the laws of Singapore, in particular, the Personal Data Protection Act 2012 (""the Act""). In doing so, we will ensure compliance by our Associates to the strictest standard of security and confidentiality.",560,<error>,<error>
,,-1.0,0,,"Please read the following carefully to understand our policy and practices regarding how your Personal Information will be treated. This Privacy Policy applies to all registered and unregistered Users of Lovense Sites and may from time to time be revised, or otherwise changed where necessary.",293,<error>,<error>
,,-1.0,0,,"By being one of our Users or visitors to our Sites you agree to be bound by all the terms and conditions set out in this Privacy Policy and THAT YOU GIVE US YOUR CONSENT to collect, use and disclose such Personal Information. If you do not accept the terms of this Privacy Policy or disagree with any subsequent amendments, changes, or updates we made, you MUST NOT access the Sites and not use any Service provided by us. You hereby agree your only recourse in this case is to cease and desist from further use of the Service.",527,<error>,<error>
,,-1.0,0,,"Please note that our Privacy Policy has also been updated to comply with the requirements under the EU General Data Protection Regulation (the ""GDPR""), the California Consumer Privacy Act (the “CCPA”) and other personal data protection regulations.Warning: The Lovense website and Lovense suite of software, including but not limited to computer and mobile software (collectively, the ""App"") may contain or be used to transmit sexually explicit material that is intended for individuals 18 years of age or older. If you are under the age of 18, if such material offends you, or if it is illegal to view such material in your jurisdiction, do not continue.",655,<error>,<error>
,,-1.0,0,,THIS DOCUMENT CONTAINS IMPORTANT TERMS AND CONDITIONS WHICH AFFECT YOUR RIGHT TO PRIVACY AND YOUR EXPECTATIONS AS TO YOUR PRIVACY. USING THE APP CONSTITUTES ACCEPTANCE BY YOU OF THIS PRIVACY POLICY.,198,<error>,<error>
,,-1.0,0,,"The terms ""you"", ""your"", and ""yours"" refer to all users, and/or any user of the App. The terms ""its"", ""we"", ""us"", ""our"" and ""Lovense"" refer wholly or in part to HYTTO PTE. LTD., its related subsidiaries and affiliates (collectively, the ""Company"" or ""Lovense""). Your privacy is an important factor that we considered in the development of our Services. As such, we are committed to being transparent and open. This Privacy Policy explains generally how we collect, store and process the information, which may include personally identifiable data (""Personal Data""). The Privacy Policy applies to all Personal Data processed by us, including Personal Data collected or submitted through our products, services, and software applications include but are not limited to Lovense Connect, Lovense Browser, and Lovense Extension or through other channels online and offline as further described below (collectively, the ""Services""). The ""Lovense Privacy Policy"" shall be referred to as the ""Privacy Policy"" hereinafter.",1013,<error>,<error>
,,-1.0,0,,"BY USING OUR WEBSITE, PURCHASING OUR PRODUCTS, OR DOWNLOADING OUR APPLICATIONS, YOU ARE CONSENTING TO THE TERMS AND CONDITIONS OF THIS PRIVACY POLICY AND OUR COLLECTION AND USE OF PERSONAL INFORMATION AS OUTLINED BELOW. IF YOU DO NOT AGREE TO THE TERMS AND CONDITIONS OF THIS PRIVACY POLICY, PLEASE DO NOT USE THE SERVICES.1.",325,<error>,<error>
Information That We May Collect,INFORMATION THAT WE MAY COLLECT,100.0,4208,main,"INFORMATION THAT WE MAY COLLECTWe may collect different types of personal and other identifiable information based on your use of the Services. Wherever the Company collects Personal Data we make an effort to provide a link to this Privacy Policy. When you create an account, use our website, purchase our products, and otherwise use our Services including when you use some of the functions of our mobile software applications offline, we may collect the following types of information from yo",494,<generic>,<what>
