decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,ï»¿,3,<error>,<error>
Privacy Policy,Privacy Policy,100.0,4,main,Privacy Policy,14,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,4,main,"This privacy policy   (""Privacy Policy"")  in this context governs the access and usage of the Corona Virus Alert App (COVA). COVA Punjab Mobile App is an initiative of Government of Punjab to manage the COVID-19 related data and information dissemination. The Policy describes and determines how COVA (referred to as Government of Punjab or We/Us or Our) handles and/or deals with your (referred to as You or Your or User or individual on whose behalf App is used) personal, usage and location information in accordance with the applicable laws of India (hereinafter collectively referred to as ""Personal Informational"".",620,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,4,main,"COVA refers to the services being provided through COVA App. Through COVA, you can access Preventive care information, advisories and apply for restricted services during COVID-19. You can use COVA application to locate nearby Medical Institutions, nearby patient/hotspot and district wise Nodal officers. It also aims to share alerts with you and to Administrative staff by locating the COVID-19 suspects and healthy individuals in order to avoid the spread of disease. You can also reach out to state Helpline using this App. The COVA App can also be used to monitor, co-ordinate & facilitate the Field Staff, who have been deputed on Official duty so as to ensure effective executions of the assigned tasks.",710,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,4,main,"The services offered via this App is to ease citizens to access related government emergency services (during COVID-19) or Government to govern the pandemic situations.This Privacy Policy inter alia determines and explains:What all types of information are collected from you?Your personal, demographic, location, device and other similar information may be collected. T",370,<generic>,<error>
Information Collection,he information collect,86.36363636363636,1724,main,"he information collected by us shall depend on the services made available on the application and may vary from time to time, which will be informed through changes in this policy.Your usage details may be used for the necessary analytics purpose in order to provide you with location-based services, enhance your experience, alert you in case you come in close proximity of COVID-19 suspect and alerts Administrative officers in case Home Quarantined person/COVID-19 suspect moves away from his/her base location.",514,<first>,<what>
Information Collection,he information collect,86.36363636363636,1724,main,How d,5,<first>,<what>
How We Use Individual's Personal Information and/or Collected Usage Data/Statistics,o we use Individualâ€™s Personal Information and/or collected usage data/statistics,96.3855421686747,2245,main,"o we use Individualâ€™s Personal Information and/or collected usage data/statistics?Individualâ€™s Personal Information shall help us customize the service(s) offering and use the same in case one turn COVID-19 positive/suspect.Device and location information shall help us in better analyzing the data, adapting the content/display as per your device, make better statistics, and/or recommending/delivering you the services/information according to your location, usage etc. Location tracking data and Bluetooth based contact tracing is used to alert individual and administrative staff.",588,<first>,<what>
How We Use Individual's Personal Information and/or Collected Usage Data/Statistics,o we use Individualâ€™s Personal Information and/or collected usage data/statistics,96.3855421686747,2245,main,"Contact Tracing via Bluetooth is envisaged in case the individuals keep their bluetooth active. In case someone, who is positive or suspect of COVID-19 comes near to you, you get an alert for same (without disclosing the identity to each other).Permission of Bluetooth, Camera (Click Picture), READ_EXTERNAL_STORAGE, WRITE_EXTERNAL_STORAGE permission are required to provide your related services like:Camera, Images, Audio and Video:",434,<first>,<what>
How We Use Individual's Personal Information and/or Collected Usage Data/Statistics,o we use Individualâ€™s Personal Information and/or collected usage data/statistics,96.3855421686747,2245,main,"COVA Punjab uses camera to capture the pictures of documents or to set up your profile picture. Access to Images, Audio and Video is required for the users to be able to upload the files as and when required by the user for services in the application.Location & Bluetooth:",273,<first>,<what>
