decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy Policy - IVYMOBI - android tools developerIVYMOBIHOMEPRODUCTSIVY FITNESSREVIEWSABOUT USJOIN USEnglishSHOW MENUEnglish繁體中文IVY LauncherAppLockGalleryLockCleanerBatteryClockCallRecordIVYMOBIHOMEPRODUCTSAppLockBatteryCleanerGalleryLockPRIVACY POLICYABOUT USJOIN USLanguageEnglish繁體中文HIDE MENUIVYMobiWe provide the simplest & safest apps for you.Privacy PolicyPrivacy PolicyModified on July 21, 2016",402,<error>,<error>
Introduction,Introduction,100.0,440,main,"IntroductionIVYMOBI values your privacy. This Privacy Policy informs you of your choices and our practices regarding any Information you provided to us and we collect.The use of our services may collect and use of your Information on our services (including our websites and mobile applications). IMPORTANT, you should not install IVYMOBI products in the event that you do not consent with this privacy policy.",410,<generic>,<error>
Information We Collect,Information We Collect,100.0,853,main,"Information We CollectNon-Personal Information:We collect your non-personal information when you are using our applications or visiting our website, including your device information, operation system, logs. For example, we may collect IMEI code when you try to reset password.",277,<first>,<error>
Information We Collect,Information We Collect,100.0,853,main,"We may collect the information you provided to us. Please make sure that you will not send us or disclose any sensitive information such as information related to racial or ethnic origin, political opinions, religious or other beliefs, health information, sexual orientation, criminal background or membership of past organizations, including trade union memberships.",367,<first>,<error>
How We Use Information,How We Use Information,100.0,1501,main,"How We Use InformationWe will not sell, trade, or transfer your information to any third party. We will not combine Non-Personal Information with Personal Information, such as combining your unique User Device number with your name.We may use your Information for the following purposes:1.to provide our services to you;",320,<first>,<error>
How We Use Information,How We Use Information,100.0,1501,main,"2.to assure the safety of products and services we offer via using your information on identification-check, customer services, security, fraud-detection, archives and backups when we are providing you with our services;3.to help us develop new services and improve our existing services;",288,<first>,<error>
How We Use Information,How We Use Information,100.0,1501,main,"4.to better understand how you access and use our services, for the purposes of improving and personalizing our services to better respond your desires and preferences, including language and location setting, personalized services, help and instructions, or other responses to you and other customers on other aspects of our services;5.to evaluate the effect of advertisements and other marketing scheme we put in our services and improve it;6.to verify software or administer software upgrades;",496,<first>,<error>
How We Use Information,How We Use Information,100.0,1501,main,7.to allow you to participate in surveys about our products and services.,73,<first>,<error>
Information Security,Information Security,100.0,2688,main,Information Security,20,<security>,<error>
Information Security,Information Security,100.0,2688,main,"We are concerned about safeguarding the confidentiality of your information. We provide physical, electronic, and procedural safeguards to protect information we process and maintain. For example, we limit access to this information to authorized employees and contractors who need to know that information in order to operate, develop or improve our Application. Please be aware that, although we endeavor provide reasonable security for information we process and maintain, no security system can prevent all potential security breaches.",539,<security>,<error>
Changes,Changes,100.0,3249,main,Changes,7,<change>,<error>
Changes,Changes,100.0,3249,main,"Our Privacy Policy may change which will not reduce your rights under this Privacy Policy from time to time, we will post any privacy policy changes on this page, so please review it periodically. If you do not agree to any modifications to this Policy, you could immediately stop all use of all the Services. Your continued use of the Site following the posting of any modifications to this Policy will constitute your acceptance of the revised Policy. Please note that none of our employees or agents has the authority to vary any of our Policies.",549,<change>,<error>
Contact Us,Contact Us,100.0,3807,main,"Contact UsIf you have any questions about this Policy, or to report any violations of the Policy, please contact us at support@ivymobile.com.© 2015-2016 IVYMOBILE  All Rights Reserved.Privacy Policy|Contact Us|Help",214,<contact>,<error>
