decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"privacypolicyDreamers SoftwareLast updated on November 10, 2014.At Dreamers Software we recognize that privacy is important. This Privacy statement (“",150,<error>,<error>
Privacy Policy,Privacy Policy,100.0,153,main,"Privacy Policy”) applies to your use of the DREAMERS SOFTWARE applications on all platforms (“Application” or “Applications”), the related services we provide (“Services”) and the Site.DREAMERS SOFTWARE (“DREAMERS SOFTWARE,” or “we”, “us” or “our”) has created this Policy to explain how information is collected and utilized.",326,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,153,main,"This Policy covers our collection, use and disclosure of your information through the Applications, the Services and the Site. It does not cover any collection, use or disclosure by third parties products that we do not control or own, such as AdMob, GoogleAnalytics, or any third party features or services made available via the Application, the Services or the Site. All trademarks, trade names, and logos of third parties featured on the Applications, the Services or the Site belong to their respective owners.",515,<generic>,<error>
User Provided Information,User Provided Information,100.0,997,main,User Provided InformationThe Appl,33,<generic>,<what>
Information Not Required,ication does not require,75.0,1031,sub,ication does not require to the user to provide information.,60,<generic>,<what>
Automatically Collected Information,Automatically Collected Information,100.0,1092,main,"Automatically Collected InformationIn addition, the Application may collect certain information automatically, including, but not limited to, the ",146,<first>,<what>
Type of Mobile Device,type of mobile device,100.0,1239,sub,"type of mobile device you use, ",31,<first>,<what>
Device Event Information,device event information,100.0,1270,sub,"device event information such as crashes, system activity, hardware settings,  your ",84,<first>,<what>
Mobile Device Unique Device ID,mobile devices unique device I,96.66666666666667,1354,sub,"mobile devices unique device ID, the ",37,<first>,<what>
IP Address,IP address,100.0,1391,sub,"IP address of your mobile device, your ",39,<first>,<what>
Mobile Operating System,mobile operating system,100.0,1430,sub,"mobile operating system, the type of ",37,<first>,<what>
Mobile Internet Browsers,mobile Internet browsers,100.0,1467,sub,"mobile Internet browsers you use, ",34,<first>,<what>
Browser Language,browser language,100.0,1501,sub,"browser language, the ",22,<first>,<what>
Date and Time of Request,date and time of your re,79.16666666666666,1523,sub,date and time of your request and ,34,<first>,<what>
Referral URL,referral URL,100.0,1557,sub,"referral URL, ",14,<first>,<what>
Cookies,cookies,100.0,1571,sub,cookies that may uniquely identify your browser an,50,<tracking>,<what>
Information About Usage,d information about the,82.6086956521739,1621,sub,"d information about the way you use the Application.This Application does not collect precise information about the location of your mobile device.We will share your information with third parties only in the ways that are described in this privacy statement.We may disclose User Provided and Automatically Collected Information:ï‚§ as required by law, such as to comply with a subpoena, or similar legal process;ï‚§ when we believe in good faith that disclosure is necessary t",477,<first>,<what>
Protection of Rights,o protect our rights,80.0,2103,sub,"o protect our rights, protect your safety or the safety of others, investigate fraud, or respond to a government request;ï‚§ with our ",134,<choice>,<why>
Trusted Service Providers,trusted services provider,96.0,2238,sub,"trusted services providers who work on our behalf, do not have an independent use of the information we disclose to them, and have agreed to adhere to the rules set forth in this privacy statement.ï‚§ if DREAMERS SOFTWARE is involved in a ",239,<third>,<other>
